date, pm25, pm10, no2, so2
2020/1/2, 14, 5, 1, 
2020/1/3, 16, 2, , 
2020/1/4, 6, 4, 1, 
2020/1/5, 13, 2, 1, 
2020/1/6, 7, 1, 1, 
2020/1/7, 4, 2, 1, 
2020/1/8, 7, 4, , 
2020/1/9, 13, 9, 3, 
2020/1/10, 27, 3, 1, 
2020/1/11, 11, 2, , 
2020/1/12, 4, 3, 1, 
2020/1/13, 8, 4, 1, 
2020/1/14, 13, 3, 1, 
2020/1/15, 10, 5, 1, 
2020/1/16, 15, , , 
2019/10/31, 7, 4, 1, 
2019/11/1, 7, 5, 1, 
2019/11/2, 11, 3, 3, 
2019/11/3, 20, 5, 1, 
2019/11/4, 8, 2, 2, 
2019/11/5, 16, 6, 3, 
2019/11/6, 12, 5, 2, 
2019/11/7, 16, 9, 4, 
2019/11/8, 14, 5, 6, 
2019/11/9, 26, 6, 7, 
2019/11/10, 8, 2, 3, 
2019/11/11, 6, 2, 1, 
2019/11/12, 9, 2, 6, 
2019/11/13, 7, 2, 7, 
2019/11/14, 18, 5, 6, 
2019/11/15, 10, 3, 1, 
2019/11/16, 16, 5, 3, 
2019/11/17, 13, 3, 3, 
2019/11/18, 8, 3, 6, 
2019/11/19, 22, 6, 3, 
2019/11/20, 32, 8, 2, 
2019/11/21, 21, 6, 3, 
2019/11/22, 23, 12, 3, 
2019/11/23, 37, 19, 3, 
2019/11/24, 39, 18, 2, 
2019/11/25, 52, 34, 3, 
2019/11/26, 35, 9, 3, 
2019/11/27, 6, 2, 5, 
2019/11/28, 10, 2, 5, 
2019/11/29, 8, 2, 2, 
2019/11/30, 7, 2, 1, 
2019/12/1, 5, 2, , 
2019/12/2, 7, 2, 1, 
2019/12/3, 9, 3, 6, 
2019/12/4, 3, 1, , 
2019/12/5, 12, 3, 1, 
2019/12/6, 9, 3, 1, 
2019/12/7, 4, 1, 3, 
2019/12/8, 3, 1, 1, 
2019/12/9, 2, 1, , 
2019/12/10, 6, 1, , 
2019/12/11, 7, 2, 2, 
2019/12/12, 11, 3, 3, 
2019/12/13, 43, 11, 4, 
2019/12/14, 23, 6, 3, 
2019/12/15, 14, 3, 3, 
2019/12/16, 10, 3, 5, 
2019/12/17, 4, 2, 3, 
2019/12/18, 6, 2, 5, 
2019/12/19, 5, 2, 1, 
2019/12/20, 9, 3, 8, 
2019/12/21, 22, 5, 4, 
2019/12/22, 16, 4, 4, 
2019/12/23, 24, 6, 9, 
2019/12/24, 14, 3, 2, 
2019/12/25, 8, 2, 1, 
2019/12/26, 9, 2, 1, 
2019/12/27, 13, 3, 1, 
2019/12/28, 44, 16, 11, 
2018/7/1, 9, 3, , 1
2018/7/2, 9, 5, 2, 
2018/7/3, 18, 4, 2, 
2018/7/4, 11, 5, 1, 
2018/7/5, 17, 5, 1, 
2018/7/6, 19, 5, , 
2018/7/7, 22, 4, , 
2018/7/8, 16, 4, 1, 
2018/7/9, 13, 5, 1, 
2018/7/10, 18, 6, 2, 
2018/7/11, 22, 8, 2, 
2018/7/12, 22, 10, 2, 
2018/7/13, 33, 11, 1, 
2018/7/14, 45, 7, 1, 
2018/7/15, 30, 9, 2, 
2018/7/16, 41, 10, 2, 
2018/7/17, 57, 8, 2, 
2018/7/18, 44, 8, 2, 
2018/7/19, 25, 11, 2, 
2018/7/20, 41, 8, 1, 
2018/7/21, 36, 9, , 
2018/7/22, 37, 9, 1, 
2018/7/23, 33, 11, 3, 
2018/7/24, 39, 12, 2, 
2018/7/25, 41, 15, 3, 
2018/7/26, 48, 12, 2, 
2018/7/27, 42, 9, 1, 
2018/7/28, 31, 8, 1, 
2018/7/29, 27, 11, 3, 
2018/7/30, 36, 11, 3, 
2018/7/31, 23, 15, 3, 
2018/8/1, 44, 15, 1, 
2018/8/2, 55, 9, 1, 
2018/8/3, 54, 4, , 
2018/8/4, 24, 3, , 
2018/8/5, 19, 3, , 
2018/8/6, 17, 4, , 
2018/8/7, 5, 6, 2, 
2018/8/8, 11, 12, 2, 
2018/8/9, 25, 17, 2, 
2018/8/10, 46, 7, , 
2018/8/11, 18, 3, 1, 
2018/8/12, 5, 4, 1, 
2018/8/13, 7, 5, 1, 
2018/8/14, 10, 6, 3, 
2018/8/15, 19, 7, 2, 
2018/8/16, 19, 6, 1, 
2018/8/17, 16, 6, 1, 
2018/8/18, 16, 4, , 
2018/8/19, 8, 5, 1, 
2018/8/20, 7, 3, , 
2018/8/21, 7, 4, 1, 
2018/8/22, 6, 6, 1, 
2018/8/23, 16, 11, 2, 
2018/8/24, 31, 7, 1, 
2018/8/25, 24, 5, 1, 
2018/8/26, 14, 5, 2, 
2018/8/27, 13, 7, 4, 
2018/8/28, 16, 9, 5, 
2018/8/29, 20, 8, 5, 
2018/6/4, 5, 8, , 1
2018/6/5, 9, 6, , 1
2018/6/6, 8, 4, , 1
2018/6/7, 9, 7, , 1
2018/6/8, 11, 4, 1, 1
2018/6/9, 10, 4, 1, 1
2018/6/10, 12, 5, 2, 1
2018/6/11, 21, 10, 2, 1
2018/6/12, 5, 5, , 1
2018/6/13, 10, 6, 1, 1
2018/6/14, 15, 14, 2, 1
2018/6/15, 27, 18, 2, 1
2018/6/16, 27, 9, 1, 
2018/6/17, 27, 10, 2, 
2018/6/18, 12, 14, 2, 
2018/6/19, 12, 6, 2, 
2018/6/20, 5, 4, , 
2018/6/21, 10, 6, 2, 
2018/6/22, 7, 4, 1, 
2018/6/23, 13, 4, , 
2018/6/24, 10, 4, , 
2018/6/25, 24, 7, 1, 
2018/6/26, 21, 5, 1, 
2018/6/27, 14, 5, , 
2018/6/28, 15, 8, 2, 
2018/6/29, 6, 2, , 
2018/6/30, 6, 3, , 
2020/1/1, , 4, 2, 
2019/10/1, , 4, 1, 
2019/10/2, , 5, 1, 
2019/10/3, , 6, 1, 
2019/10/4, , 4, , 
2019/10/5, , 4, , 
2019/10/6, , 4, , 
2019/10/7, , 4, 2, 
2019/10/8, , 5, 3, 
2019/10/9, , 8, 2, 
2019/10/10, , 9, 5, 
2019/10/11, , 5, 2, 
2019/10/12, , 4, 1, 
2019/10/13, , 4, , 
2019/10/14, , 7, 3, 
2019/10/15, , 7, 3, 
2019/10/16, , 2, 4, 
2019/10/17, , 2, 2, 
2019/10/18, , 3, 3, 
2019/10/19, , 4, 3, 
2019/10/20, , 3, 1, 
