date, pm25, pm10, o3, no2, so2, co
2020/1/2, 160, 136, 7, 9, 1, 11
2020/1/3, 157, 134, 5, 11, 1, 11
2020/1/4, 161, 134, 4, 7, 2, 14
2020/1/5, 151, 127, 12, 9, 2, 17
2020/1/6, 130, 152, 6, 7, 7, 13
2020/1/7, 182, 119, 5, 6, 27, 15
2020/1/8, 138, 310, 3, 7, 12, 10
2020/1/9, 161, 125, 5, 9, 15, 17
2020/1/10, 123, 189, 20, 6, 14, 18
2020/1/11, 162, 117, 7, 3, 14, 15
2020/1/12, 139, 132, 6, 5, 13, 12
2020/1/13, 167, 151, 4, 5, 15, 12
2020/1/14, 168, 86, 3, 8, 12, 9
2020/1/15, 88, 85, 6, 7, 12, 9
2020/1/16, 109, , , , , 
2019/12/3, 175, 89, 15, 12, 5, 17
2019/12/4, 105, 132, 13, 8, 3, 12
2019/12/5, 143, 138, 15, 12, 2, 12
2019/12/6, 177, 163, 16, 14, 3, 14
2019/12/7, 167, 101, 14, 7, 3, 9
2019/12/8, 150, 162, 14, 13, 2, 9
2019/12/9, 180, 124, 17, 11, 4, 15
2019/12/10, 146, 122, 16, 10, 4, 13
2019/12/11, 155, 161, 17, 13, 9, 12
2019/12/12, 162, 108, 36, 7, 2, 11
2019/12/13, 137, 92, 25, 6, 2, 8
2019/12/14, 125, 108, 25, 6, 3, 10
2019/12/15, 139, 114, 26, 7, 2, 10
2019/12/16, 146, 132, 18, 8, 2, 15
2019/12/17, 138, 131, 21, 10, 3, 17
2019/12/18, 125, 119, 18, 11, 3, 15
2019/12/19, 121, 131, 21, 9, 2, 14
2019/12/20, 140, 146, 11, 9, 2, 19
2019/12/21, 138, 125, 6, 5, 2, 18
2019/12/22, 140, 144, 15, 12, 3, 15
2019/12/23, 142, 152, 16, 9, 3, 15
2019/12/24, 148, 159, 8, 5, 2, 14
2019/12/25, 161, 120, 6, 8, 2, 11
2019/12/26, 122, 125, 5, 6, 1, 14
2019/12/27, 127, 109, 7, 5, 2, 12
2019/12/28, 108, 92, 3, 5, 3, 13
2019/12/29, 103, , , , , 
2020/1/1, , 146, 7, 9, 2, 12
2019/12/2, , 291, 13, 18, 32, 16
