date, pm25, pm10, o3, no2, so2
2020/1/2, 40, 17, 32, 2, 
2020/1/3, 48, 12, 36, 2, 2
2020/1/4, 39, 6, 34, 1, 1
2020/1/5, 24, 6, 29, 2, 
2020/1/6, 20, 12, 14, 2, 1
2020/1/7, 29, 8, 34, 2, 
2020/1/8, 23, 8, 32, 3, 1
2020/1/9, 28, 8, 35, 2, 2
2020/1/10, 30, 7, 25, 2, 
2020/1/11, 22, 10, 17, 3, 2
2020/1/12, 29, 6, 35, 2, 2
2020/1/13, 30, 10, 26, 2, 2
2020/1/14, 35, 10, 33, 2, 
2020/1/15, 32, 8, 8, 2, 2
2020/1/16, 33, , , , 
2019/10/1, 39, 14, 33, 1, 
2019/10/2, 27, 12, 39, 1, 1
2019/10/3, 32, 8, 34, 1, 1
2019/10/4, 34, 10, 34, 1, 2
2019/10/5, 28, 12, 29, 1, 1
2019/10/6, 32, 7, 32, 1, 1
2019/10/7, 34, 8, 33, 2, 2
2019/10/8, 33, 7, 37, 1, 1
2019/10/9, 27, 10, 35, 2, 3
2019/10/10, 33, 12, 22, 1, 3
2019/10/11, 35, 6, 30, 1, 2
2019/10/12, 19, 10, 33, , 2
2019/10/13, 29, 10, 25, 1, 2
2019/10/14, 36, 6, 24, 1, 1
2019/10/15, 24, 6, 35, 1, 1
2019/10/16, 20, 10, 26, 2, 2
2019/10/17, 27, 11, 18, 2, 2
2019/10/18, 31, 9, 11, 1, 1
2019/10/19, 22, 6, 30, 1, 1
2019/10/20, 24, 7, 13, 1, 1
2019/10/21, 24, 7, 30, 1, 1
2019/10/22, 32, 8, 30, 1, 1
2019/10/23, 24, 8, 27, 2, 2
2019/10/24, 22, 5, 26, 1, 
2019/10/25, 20, 6, 25, 1, 
2019/10/26, 22, 11, 30, 1, 2
2019/10/27, 48, 9, 35, 2, 2
2019/10/28, 43, 13, 20, 1, 2
2019/10/29, 33, 26, 31, 1, 1
2019/10/30, 52, 27, 34, 2, 3
2019/10/31, 64, 19, 37, 2, 2
2019/11/1, 43, 10, 34, 1, 
2019/11/2, 36, 18, 24, 1, 3
2019/11/3, 54, 11, 32, 1, 2
2019/11/4, 38, 8, 31, 1, 
2019/11/5, 19, 10, 31, 2, 2
2019/11/6, 34, 12, 21, 2, 3
2019/11/7, 35, 10, 18, 2, 1
2019/11/8, 35, 10, 31, 2, 1
2019/11/9, 32, 6, 29, 1, 1
2019/11/10, 26, 14, 42, 2, 2
2019/11/11, 40, 9, 41, 2, 1
2019/11/12, 40, 10, 30, 3, 2
2019/11/13, 39, 10, 29, 2, 1
2019/11/14, 38, 7, 29, 2, 1
2019/11/15, 25, 12, 33, 2, 1
2019/11/16, 36, 13, 32, 2, 1
2019/11/17, 46, 13, 42, 2, 2
2019/11/18, 38, 12, 30, 2, 1
2019/11/19, 32, 5, 32, 2, 1
2019/11/20, 23, 5, 22, 2, 
2019/11/21, 21, 8, 8, 2, 1
2019/11/22, 25, 9, 15, 2, 1
2019/11/23, 34, 10, 6, 1, 1
2019/11/24, 28, 11, 20, 2, 2
2019/11/25, 31, 6, 24, 2, 
2019/11/26, 19, 11, 15, 2, 1
2019/11/27, 36, 8, 27, 1, 
2019/11/28, 21, 4, 26, 2, 
2019/11/29, 20, 5, 27, 2, 
2019/11/30, 23, 5, 28, 1, 2
2019/12/1, 29, 9, 31, 2, 2
2019/12/2, 23, 7, 31, 2, 1
2019/12/3, 32, 7, 30, 2, 1
2019/12/4, 32, 7, 34, 2, 2
2019/12/5, 23, 6, 32, 2, 2
2019/12/6, 21, 8, 17, 2, 1
2019/12/7, 22, 7, 34, 2, 
2019/12/8, 31, 9, 26, 3, 1
2019/12/9, 35, 16, 22, 2, 4
2019/12/10, 46, 24, 14, 2, 2
2019/12/11, 39, 12, 31, 2, 1
2019/12/12, 35, 5, 26, 2, 1
2019/12/13, 20, 9, 29, 2, 2
2019/12/14, 31, 8, 25, 2, 
2019/12/15, 32, 8, 20, 2, 1
2019/12/16, 27, 15, 9, 2, 2
2019/12/17, 38, 14, 19, 3, 
2019/12/18, 31, 12, 23, 2, 
2019/12/19, 39, 11, 34, 2, 2
2019/12/20, 33, 14, 24, 2, 2
2019/12/21, 35, 11, 25, 1, 1
2019/12/22, 34, 7, 30, 1, 
2019/12/23, 29, 10, 28, 2, 2
2019/12/24, 38, 12, 21, 3, 1
2019/12/25, 32, 18, 16, 3, 
2019/12/26, 26, 5, 31, 1, 
