date, pm25, pm10, o3, no2, so2
2020/1/2, 40, 10, 26, 3, 1
2020/1/3, 34, 11, 29, 7, 3
2020/1/4, 24, 11, 31, 7, 1
2020/1/5, 20, 23, 21, 21, 2
2020/1/6, 41, 26, 25, 10, 2
2020/1/7, 41, 27, 24, 13, 2
2020/1/8, 31, 32, 31, 7, 2
2020/1/9, 51, 17, 16, 5, 1
2020/1/10, 41, 9, 23, 3, 2
2020/1/11, 21, 14, 20, 12, 
2020/1/12, 50, 18, 14, 19, 3
2020/1/13, 56, 18, 12, 13, 2
2020/1/14, 52, 19, 15, 9, 2
2020/1/15, 58, 11, 19, 3, 
2020/1/16, 35, , , , 
2019/11/7, 31, 36, 26, 7, 2
2019/11/8, 43, 45, 22, 14, 2
2019/11/9, 73, 38, 23, 9, 2
2019/11/10, 54, 17, 23, 6, 2
2019/11/11, 27, 17, 23, 2, 1
2019/11/12, 38, 32, 22, 6, 1
2019/11/13, 51, 31, 19, 13, 2
2019/11/14, 52, 40, 27, 11, 2
2019/11/15, 59, 25, 20, 23, 4
2019/11/16, 44, 25, 28, 11, 1
2019/11/17, 53, 48, 22, 10, 2
2019/11/18, 66, 31, 19, 17, 3
2019/11/19, 36, 31, 21, 15, 3
2019/11/20, 38, 11, 30, 9, 2
2019/11/21, 31, 11, 20, 2, 2
2019/11/22, 27, 16, 15, 4, 1
2019/11/23, 43, 23, 26, 5, 1
2019/11/24, 54, 22, 21, 11, 2
2019/11/25, 35, 21, 24, 10, 2
2019/11/26, 42, 9, 19, 9, 2
2019/11/27, 26, 10, 25, 5, 1
2019/11/28, 33, 8, 12, 9, 1
2019/11/29, 26, 11, 6, 7, 1
2019/11/30, 28, 5, 22, 4, 2
2019/12/1, 10, 16, 23, 2, 2
2019/12/2, 36, 19, 20, 11, 2
2019/12/3, 37, 27, 23, 11, 1
2019/12/4, 44, 40, 22, 14, 2
2019/12/5, 58, 17, 12, 24, 4
2019/12/6, 42, 26, 21, 8, 2
2019/12/7, 60, 34, 20, 16, 2
2019/12/8, 87, 21, 19, 13, 2
2019/12/9, 45, 18, 25, 6, 2
2019/12/10, 41, 33, 22, 15, 2
2019/12/11, 50, 30, 19, 17, 2
2019/12/12, 51, 37, 24, 12, 2
2019/12/13, 57, 22, 13, 23, 3
2019/12/14, 56, 16, 20, 4, 2
2019/12/15, 46, 11, 18, 7, 1
2019/12/16, 36, 27, 27, 5, 1
2019/12/17, 76, 20, 20, 10, 1
2019/12/18, 56, 24, 19, 16, 2
2019/12/19, 39, 23, 24, 14, 1
2019/12/20, 50, 28, 24, 13, 2
2019/12/21, 71, 21, 22, 17, 1
2019/12/22, 62, 24, 17, 13, 1
2019/12/23, 54, 17, 22, 15, 2
2019/12/24, 32, 14, 27, 7, 2
2019/12/25, 31, 25, 33, 5, 2
2019/12/26, 65, 28, 19, 4, 1
2019/12/27, 64, 21, 9, 10, 3
2019/12/28, 59, , 2, 11, 
2019/7/1, 42, 15, 33, 7, 1
2019/7/2, 43, 15, 35, 6, 1
2019/7/3, 38, 13, 40, 6, 1
2019/7/4, 47, 16, 20, 7, 1
2019/7/5, 56, 7, 17, 7, 
2019/7/6, 25, 9, 26, 5, 1
2019/7/7, 29, 13, 27, 4, 1
2019/7/8, 46, 12, 28, 4, 
2019/7/9, 38, 7, 31, 7, 1
2019/7/10, 20, 8, 33, 4, 1
2019/7/11, 17, 11, 42, 8, 1
2019/7/12, 23, 12, 40, 11, 1
2019/7/13, 34, 10, 27, 8, 1
2019/7/14, 31, 5, 24, 3, 1
2019/7/15, 8, 10, 36, 5, 1
2019/7/16, 26, 16, 25, 4, 1
2019/7/17, 25, 17, 26, 3, 1
2019/7/18, 30, 14, 27, 4, 1
2019/7/19, 27, 14, 27, 4, 1
2019/7/20, 28, 4, 34, 3, 1
2019/7/21, 8, 5, 28, 2, 
2019/7/22, 10, 7, 32, 4, 
2019/7/23, 14, 11, 44, 8, 1
2019/7/24, 32, 16, 36, 9, 1
2019/7/25, 36, 20, 42, 6, 1
2019/7/26, 35, 27, 44, 5, 1
2019/7/27, 54, 19, 43, 4, 1
2019/7/28, 48, 9, 35, 4, 1
2019/7/29, 22, 16, 35, 6, 1
2019/7/30, 28, 7, 26, 7, 1
2019/7/31, 13, 10, 31, 4, 
2019/8/1, 24, 13, 31, 7, 1
2019/8/2, 28, 15, 46, 9, 2
2019/8/3, 37, 18, 44, 8, 1
2019/8/4, 52, 20, 38, 7, 1
2019/8/5, 49, 14, 35, 6, 1
2019/8/6, 26, 11, 35, 10, 1
2019/8/7, 23, 10, 37, 8, 1
2019/8/8, 25, 15, 36, 7, 1
2019/8/9, 24, 13, 37, 5, 
2019/8/10, 18, 9, 28, 7, 
2019/8/11, 25, 11, 33, 5, 
2019/8/12, 21, 6, 36, 3, 
2019/8/13, 12, 7, 34, 5, 2
2019/8/14, 9, 15, 39, 7, 1
2019/8/15, 13, 6, 35, 5, 1
2019/8/16, 17, 8, 35, 4, 1
2019/8/17, 25, 7, 43, 5, 1
2019/8/18, 20, 16, 37, 8, 1
2019/8/19, 33, 20, 30, 5, 
2019/8/20, 46, 11, 28, 9, 1
2019/8/21, 22, 9, 30, 6, 2
2019/8/22, 23, 10, 33, 6, 1
2019/8/23, 21, 6, 33, 4, 1
2019/8/24, 17, 4, 26, 3, 1
2019/8/25, 15, 3, 26, 5, 1
2019/8/26, 12, 5, 30, 4, 2
2019/8/27, 11, 9, 38, 8, 1
2019/8/28, 18, 22, 28, 6, 1
2019/8/29, 61, 10, 31, 5, 
2019/8/30, 38, 19, 30, 5, 1
2019/8/31, 60, 17, 41, 6, 1
2019/9/1, 60, 14, 29, 5, 
2019/9/2, 46, 19, 32, 4, 1
2019/9/3, 56, 19, 35, 5, 2
2019/9/4, 41, 24, 34, 6, 1
2019/9/5, 50, 32, 27, 8, 1
2019/9/6, 89, 17, 17, 7, 1
2019/9/7, 36, 13, , 5, 
2019/9/8, 45, 23, , 6, 1
2019/9/9, 59, 27, 28, 4, 1
2019/9/10, 82, 23, 34, 3, 1
2019/9/11, 58, 17, 25, 6, 1
2019/9/12, 49, 19, 29, 7, 
2019/9/13, 62, 24, 35, 6, 
2019/9/14, 78, 12, 41, 6, 1
2019/9/15, 52, 9, 44, 8, 1
2019/9/16, 33, 61, 41, 7, 1
2019/9/17, 108, , 35, 8, 1
2019/4/15, 15, 21, 40, 7, 1
2019/4/16, 28, 24, 43, 4, 1
2019/4/17, 36, 6, 33, 5, 1
2019/4/18, 15, 8, 35, 2, 
2019/4/19, 10, 26, 35, 4, 
2019/4/20, 46, 19, 42, 12, 1
2019/4/21, 22, 27, 40, 4, 1
2019/4/22, 26, 11, 35, 4, 1
2019/4/23, 32, 23, 22, 7, 1
2019/4/24, 58, 23, 21, 10, 1
2019/4/25, 48, 19, 38, 10, 2
2019/4/26, 26, 18, 42, 6, 1
2019/4/27, 32, 6, 37, 3, 1
2019/4/28, 20, 10, 34, 4, 1
2019/4/29, 34, 7, 28, 4, 1
2019/4/30, 28, 9, 23, 10, 1
2019/5/1, 27, 7, 17, 6, 1
2019/5/2, 23, 9, 28, 2, 
2019/5/3, 24, 12, 26, , 1
2019/5/4, 35, 16, 40, , 1
2019/5/5, 41, 10, 39, , 1
2019/5/6, 27, 8, 42, , 1
2019/5/7, 24, 11, 24, , 1
2019/5/8, 34, 3, 38, 8, 1
2019/5/9, 15, 5, 27, 2, 1
2019/5/10, 14, 8, 32, 5, 1
2019/5/11, 26, 7, 25, 8, 1
2019/5/12, 28, 11, 24, 7, 1
2019/5/13, 27, 15, 34, 10, 1
2019/5/14, 33, 28, 38, 8, 1
2019/5/15, 49, 23, 42, 14, 4
2019/5/16, 43, 23, 40, 5, 1
2019/5/17, 41, 12, 41, 4, 1
2019/5/18, 32, 6, 32, 6, 1
2019/5/19, 18, 4, 32, 4, 1
2019/5/20, 8, 7, 19, 3, 1
2019/5/21, 21, 20, 27, 4, 1
2019/5/22, 42, 11, 29, 7, 1
2019/5/23, 21, 15, 27, 7, 1
2019/5/24, 45, 13, 31, 4, 1
2019/5/25, 42, 9, 33, 5, 1
2019/5/26, 26, 14, 35, 5, 1
2019/5/27, 38, 16, 31, 3, 1
2019/5/28, 42, 11, 21, 4, 1
2019/5/29, 26, 10, 20, 7, 1
2019/5/30, 28, 46, 42, 5, 
2019/5/31, 109, , 41, 9, 
2019/6/6, 14, 17, 36, 6, 1
2019/6/7, 28, 18, 47, 6, 1
2019/6/8, 36, 17, 50, 9, 1
2019/6/9, 31, 12, 31, 4, 1
2019/6/10, 22, 21, 40, 5, 1
2019/6/11, 35, 7, 39, 17, 1
2019/6/12, 15, 10, 33, 5, 1
2019/6/13, 21, 14, 41, 7, 4
2019/6/14, 25, 16, 39, 4, 1
2019/6/15, 36, 12, 36, 5, 
2019/6/16, 29, 10, 36, 5, 2
2019/6/17, 16, 10, 37, 4, 
2019/6/18, 21, 5, 35, 8, 3
2019/6/19, 11, 9, 30, 7, 1
2019/6/20, 19, 8, 38, 7, 1
2019/6/21, 12, 11, 30, 5, 1
2019/6/22, 21, 5, 25, 5, 1
2019/6/23, 7, 6, 33, 4, 1
2019/6/24, 13, 13, 32, 4, 1
2019/6/25, 23, 11, 37, 6, 1
2019/6/26, 14, 36, 47, 8, 1
2019/6/27, 49, 26, 21, 5, 
2019/6/28, 48, 18, 23, 4, 
2019/6/29, 52, 14, 28, 4, 
2019/6/30, 43, 16, 35, 5, 1
2019/1/1, 20, 18, 17, 8, 
2019/1/2, 57, 45, 10, 20, 2
2019/1/3, 83, 23, 18, 19, 3
2019/1/4, 49, 21, 16, 17, 3
2019/1/5, 44, 22, 29, 14, 4
2019/1/6, 48, 10, 25, 7, 1
2019/1/7, 23, 5, 27, 3, 1
2019/1/8, 9, 7, 23, 6, 
2019/1/9, 21, 12, 15, 16, 1
2019/1/10, 12, 7, 13, 16, 1
2019/1/11, 17, 4, 15, 6, 1
2019/1/12, 20, 7, 25, 2, 
2019/1/13, 39, 8, 25, 3, 
2019/1/14, 37, 13, 14, 5, 1
2019/1/15, 49, 9, 14, 5, 
2019/1/16, 39, 7, 12, 3, 1
2019/1/17, 29, 9, 10, 8, 1
2019/1/18, 37, 5, 28, 1, 
2019/1/19, 23, 10, 22, 3, 1
2019/1/20, 17, 7, 22, 3, 1
