date, pm25, pm10, o3, no2, so2
2020/1/2, 159, 43, 14, 12, 6
2020/1/3, 109, 22, 25, 6, 3
2020/1/4, 66, 31, 24, 8, 5
2020/1/5, 85, 49, 16, 12, 8
2020/1/6, 116, 53, 15, 15, 10
2020/1/7, 129, 35, 15, 11, 5
2020/1/8, 96, 30, 12, 11, 3
2020/1/9, 85, 44, 16, 11, 6
2020/1/10, 115, 30, 13, 9, 4
2020/1/11, 85, 25, 22, 5, 4
2020/1/12, 77, 34, 18, 12, 5
2020/1/13, 93, 37, 12, 11, 5
2020/1/14, 100, 37, 11, 13, 5
2020/1/15, 98, , , , 
2019/10/1, 27, 12, 20, 9, 2
2019/10/2, 43, 14, 16, 8, 1
2019/10/3, 49, 17, 14, 11, 2
2019/10/4, 56, 15, 17, 7, 1
2019/10/5, 52, 23, 18, 7, 2
2019/10/6, 70, 26, 17, 16, 3
2019/10/7, 74, 31, 19, 12, 3
2019/10/8, 89, 18, 16, 9, 2
2019/10/9, 60, 10, 17, 7, 2
2019/10/10, 35, 8, 20, 7, 2
2019/10/11, 31, 8, 24, 7, 3
2019/10/12, 32, 7, 26, 7, 2
2019/10/13, 28, 5, 21, 17, 2
2019/10/14, 21, 4, 15, 22, 3
2019/10/15, 16, , 16, 11, 2
2019/11/4, 60, 29, 15, 13, 3
2019/11/5, 78, 39, 12, 14, 4
2019/11/6, 100, 50, 14, 20, 4
2019/11/7, 117, 45, 9, 17, 5
2019/11/8, 111, 32, 5, 12, 3
2019/11/9, 87, 40, 8, 8, 3
2019/11/10, 105, 38, 16, 11, 4
2019/11/11, 101, 54, 3, 23, 6
2019/11/12, 131, 49, 3, 15, 4
2019/11/13, 120, 26, 10, 11, 4
2019/11/14, 75, 38, 3, 14, 5
2019/11/15, 98, 29, 18, 13, 4
2019/11/16, 76, 46, 18, 14, 5
2019/11/17, 108, 42, 9, 22, 6
2019/11/18, 94, 41, 12, 23, 5
2019/11/19, 99, 54, 8, 18, 5
2019/11/20, 131, 41, 4, 18, 4
2019/11/21, 105, 41, 5, 12, 6
2019/11/22, 105, 47, 5, 12, 6
2019/11/23, 118, 39, 5, 11, 4
2019/11/24, 106, 57, 1, 11, 6
2019/11/25, 145, 56, 1, 11, 7
2019/11/26, 139, 50, 2, 16, 6
2019/11/27, 125, 31, 9, 11, 4
2019/11/28, 83, 15, 19, 7, 2
2019/11/29, 51, 31, 22, 11, 4
2019/11/30, 80, 49, 15, 17, 6
2019/12/1, 125, 45, 13, 15, 6
2019/12/2, 115, 35, 17, 16, 4
2019/12/3, 93, 35, 16, 14, 6
2019/12/4, 93, 34, 16, 12, 5
2019/12/5, 91, 28, 15, 7, 3
2019/12/6, 80, 25, 14, 7, 3
2019/12/7, 75, 18, 23, 6, 3
2019/12/8, 60, 26, 18, 10, 4
2019/12/9, 76, 36, 16, 15, 5
2019/12/10, 93, 63, 10, 23, 7
2019/12/11, 144, 70, 7, 22, 10
2019/12/12, 156, 52, 16, 16, 7
