date, pm25, pm10, o3, no2, so2, co
2019/4/1, 39, 30, 16, 5, , 
2019/4/2, 38, 32, 11, 7, , 
2019/4/3, 47, 13, 14, 3, , 
2019/4/4, 19, 14, 13, 3, , 
2019/4/5, 22, 7, 16, 1, , 
2019/4/6, 11, 5, 20, 1, , 
2019/4/7, 15, 16, 13, 5, , 
2019/4/8, 29, 6, 16, 3, , 
2019/4/9, 25, 5, 18, 1, , 
2019/4/10, 7, 11, 18, 4, , 
2019/4/11, 15, 16, 17, 4, , 
2019/4/12, 23, 5, 16, 2, , 
2019/4/13, 17, 4, 19, , , 
2019/4/14, 6, 5, 13, 2, , 
2019/4/15, 9, , , , , 
2019/4/18, 30, 6, 19, 1, , 
2019/4/19, 17, 8, 20, 1, , 
2019/4/20, 14, 11, 20, 2, , 
2019/4/21, 24, 18, 14, 3, , 
2019/4/22, 34, 9, 20, 1, , 
2019/4/23, 15, 11, 19, 1, , 
2019/4/24, 17, 23, 16, 5, , 
2019/4/25, 32, 22, 22, 2, , 
2019/4/26, 31, 7, 18, , , 
2019/4/27, 6, 8, 17, 1, , 
2019/4/28, 13, 12, 17, 2, , 
2019/4/29, 19, 14, 18, 3, , 
2019/4/30, 22, 11, 20, 1, , 
2019/5/1, 15, 12, 18, 1, , 
2019/5/2, 18, 10, 16, 1, , 
2019/5/3, 15, , , , , 
2019/5/5, 9, 15, 17, 1, , 
2019/5/6, 12, 16, 17, 2, , 
2019/5/7, 18, 16, 15, 2, , 
2019/5/8, 16, 19, 19, 3, , 
2019/5/9, 25, 22, 17, 3, , 
2019/5/10, 27, 15, 19, 1, , 
2019/5/11, 27, 10, 21, , , 
2019/5/12, 20, 14, 23, 1, , 
2019/5/13, 25, 17, 18, 3, , 
2019/5/14, 31, 7, 16, 1, , 
2019/5/15, 9, 9, 11, 2, , 
2019/5/16, 19, 6, 17, 1, , 
2019/5/17, 13, 7, 16, , , 
2019/5/18, 15, 4, 14, , , 
2019/5/19, 10, 6, 17, , , 
2019/5/20, 14, 14, 15, 2, , 
2019/5/21, 24, 17, 14, 4, , 
2019/5/22, 31, 10, 17, 2, , 
2019/5/23, 16, 13, 16, 2, , 
2019/5/24, 16, 7, 12, 1, , 
2019/5/25, 17, 8, 14, 1, , 
2019/5/26, 17, 14, 19, 2, , 
2019/5/27, 33, 21, 19, 2, , 
2019/5/28, 47, 22, 18, 2, , 
2019/5/29, 49, 23, 17, 2, , 
2019/5/30, 47, 21, 20, 2, , 
2019/5/31, 47, 11, 20, , , 
2019/6/1, 24, 9, 20, , , 
2019/6/2, 18, 10, 18, , , 
2019/6/3, 14, 12, 18, 1, , 
2019/6/4, 21, 18, 16, 2, , 
2019/6/5, 21, 9, 16, , , 
2019/6/6, 8, 9, 14, 1, , 
2019/6/7, 6, 7, 12, , , 
2019/6/8, 9, 7, 14, , , 
