date, pm25, pm10
2020/1/2, 56, 48
2020/1/3, 78, 42
2020/1/4, 73, 29
2020/1/5, 57, 10
2020/1/6, 20, 43
2020/1/7, 76, 71
2020/1/8, 114, 43
2020/1/9, 75, 35
2020/1/10, 67, 43
2020/1/11, 79, 8
2020/1/12, 22, 22
2020/1/13, 52, 42
2020/1/14, 79, 47
2020/1/15, 88, 44
2020/1/16, 79, 
2019/10/1, 9, 11
2019/10/2, 23, 13
2019/10/3, 28, 5
2019/10/4, 12, 20
2019/10/5, 41, 7
2019/10/6, 18, 5
2019/10/7, 12, 14
2019/10/8, 32, 18
2019/10/9, 40, 19
2019/10/10, 42, 15
2019/10/11, 31, 17
2019/10/12, 38, 17
2019/10/13, 36, 29
2019/10/14, 59, 39
2019/10/15, 79, 45
2019/10/16, 74, 28
2019/10/17, 58, 38
2019/10/18, 74, 55
2019/10/19, 110, 53
2019/10/20, 112, 193
2019/10/21, 141, 332
2019/10/22, 157, 453
2019/10/23, 164, 166
2019/10/24, 161, 202
2019/10/25, 137, 62
2019/10/26, 112, 59
2019/10/27, 115, 34
2019/10/28, 69, 19
2019/10/29, 36, 9
2019/10/30, 21, 24
2019/10/31, 45, 38
2019/11/1, 68, 32
2019/11/2, 59, 15
2019/11/3, 38, 20
2019/11/4, 45, 18
2019/11/5, 37, 15
2019/11/6, 31, 21
2019/11/7, 51, 18
2019/11/8, 46, 102
2019/11/9, 133, 80
2019/11/10, 132, 50
2019/11/11, 93, 20
2019/11/12, 46, 54
2019/11/13, 97, 
2019/11/15, 103, 47
2019/11/16, 83, 63
2019/11/17, 102, 80
2019/11/18, 94, 96
2019/11/19, 114, 70
2019/11/20, 93, 21
2019/11/21, 44, 8
2019/11/22, 18, 10
2019/11/23, 22, 17
2019/11/24, 37, 27
2019/11/25, 57, 36
2019/11/26, 66, 48
2019/11/27, 81, 71
2019/11/28, 96, 165
2019/11/29, 124, 30
2019/11/30, 48, 10
2019/12/1, 20, 26
2019/12/2, 52, 23
2019/12/3, 47, 15
2019/12/4, 32, 34
2019/12/5, 65, 38
2019/12/6, 71, 58
2019/12/7, 104, 39
2019/12/8, 76, 27
2019/12/9, 61, 71
2019/12/10, 88, 68
2019/12/11, 103, 57
2019/12/12, 79, 54
2019/12/13, 87, 67
2019/12/14, 98, 31
2019/12/15, 54, 22
2019/12/16, 46, 32
2019/12/17, 67, 36
2019/12/18, 67, 23
2019/12/19, 49, 48
2019/12/20, 89, 73
2019/12/21, 108, 55
2019/12/22, 91, 67
2019/12/23, 92, 47
2019/12/24, 85, 56
2019/12/25, 96, 21
2019/12/26, 50, 4
2019/12/27, 12, 13
2019/12/28, 33, 
2019/7/1, 21, 16
2019/7/2, 21, 10
2019/7/3, 19, 7
2019/7/4, 8, 9
2019/7/5, 12, 8
2019/7/6, 14, 8
2019/7/7, 16, 9
2019/7/8, 21, 6
2019/7/9, 7, 5
2019/7/10, 6, 4
2019/7/11, 9, 5
2019/7/12, 13, 6
2019/7/13, 16, 8
2019/7/14, 21, 10
2019/7/15, 29, 9
2019/7/16, 25, 12
2019/7/17, 24, 6
2019/7/18, 12, 8
2019/7/19, 14, 10
2019/7/20, 18, 11
2019/7/21, 25, 14
2019/7/22, 38, 7
2019/7/23, 15, 8
2019/7/24, 22, 8
2019/7/25, 20, 13
2019/7/26, 35, 8
2019/7/27, 22, 13
2019/7/28, 37, 23
2019/7/29, 48, 19
2019/7/30, 48, 11
2019/7/31, 27, 8
2019/8/1, 12, 10
2019/8/2, 17, 11
2019/8/3, 25, 8
2019/8/4, 19, 6
2019/8/5, 14, 10
2019/8/6, 19, 11
2019/8/7, 26, 12
2019/8/8, 28, 9
2019/8/9, 20, 7
2019/8/10, 17, 15
2019/8/11, 33, 13
2019/8/12, 34, 14
2019/8/13, 32, 16
2019/8/14, 43, 7
2019/8/15, 17, 8
2019/8/16, 17, 8
2019/8/17, 18, 6
2019/8/18, 15, 13
2019/8/19, 28, 9
2019/8/20, 20, 20
2019/8/21, 36, 10
2019/8/22, 22, 7
2019/8/23, 11, 9
2019/8/24, 17, 13
2019/8/25, 23, 10
2019/8/26, 22, 15
2019/8/27, 31, 12
2019/8/28, 24, 8
2019/8/29, 13, 15
2019/8/30, 25, 16
2019/8/31, 31, 14
2019/9/1, 32, 12
2019/9/2, 30, 28
2019/9/3, 60, 5
2019/9/4, 11, 9
2019/9/5, 21, 15
2019/9/6, 34, 17
2019/9/7, 43, 15
2019/9/8, 35, 13
2019/9/9, 25, 22
2019/9/10, 36, 28
2019/9/11, 47, 24
2019/9/12, 42, 31
2019/9/13, 50, 10
2019/9/14, 20, 12
2019/9/15, 17, 17
2019/9/16, 19, 18
2019/9/17, 19, 12
2019/9/18, 14, 5
2019/9/19, 8, 6
2019/9/20, 13, 4
2019/9/21, 10, 7
2019/9/22, 19, 4
2019/9/23, 9, 12
2019/9/24, 25, 19
2019/9/25, 35, 16
2019/9/26, 34, 41
2019/9/27, 76, 30
2019/9/28, 71, 34
2019/9/29, 70, 13
2019/9/30, 34, 6
2019/4/1, 37, 25
2019/4/2, 38, 35
2019/4/3, 63, 47
2019/4/4, 83, 60
2019/4/5, 94, 44
2019/4/6, 80, 39
2019/4/7, 75, 20
2019/4/8, 46, 26
2019/4/9, 52, 35
2019/4/10, 78, 35
2019/4/11, 75, 30
2019/4/12, 68, 19
2019/4/13, 51, 14
