date, pm25, pm10, o3, no2, so2, co
2020/1/2, 49, 42, 40, 16, 4, 3
2020/1/3, 73, 44, 37, 16, 5, 3
2020/1/4, 79, 47, 31, 13, 4, 4
2020/1/5, 80, 52, 38, 18, 5, 5
2020/1/6, 99, 40, 33, 18, 4, 4
2020/1/7, 83, 43, 52, 14, 4, 6
2020/1/8, 67, 45, 44, 8, 3, 6
2020/1/9, 80, 51, 39, 12, 4, 4
2020/1/10, 89, 53, 32, 9, 3, 4
2020/1/11, 89, 25, 20, 10, 2, 6
2020/1/12, 51, 39, 44, 8, 3, 5
2020/1/13, 74, 54, 45, 12, 4, 5
2020/1/14, 102, 58, 38, 8, 2, 6
2020/1/15, 125, 41, 33, 10, 3, 5
2020/1/16, 89, , , , , 
2019/10/1, 65, 63, 87, 6, 4, 5
2019/10/2, 147, 53, 61, 6, 3, 4
2019/10/3, 128, 45, 63, 6, 4, 3
2019/10/4, 112, 45, 56, 7, 4, 3
2019/10/5, 93, 46, 50, 4, 3, 2
2019/10/6, 74, 46, 51, 6, 5, 3
2019/10/7, 76, 45, 64, 6, 4, 3
2019/10/8, 77, 45, 60, 7, 3, 4
2019/10/9, 83, 38, 63, 7, 5, 3
2019/10/10, 68, 44, 76, 7, 4, 3
2019/10/11, 84, 47, 65, 8, 5, 4
2019/10/12, 95, 47, 57, 7, 5, 4
2019/10/13, 91, 44, 45, 5, 2, 2
2019/10/14, 58, 43, 45, 4, 3, 2
2019/10/15, 55, 43, 51, 7, 5, 2
2019/10/16, 61, 39, 54, 6, 3, 2
2019/10/17, 60, 45, 71, 7, 3, 2
2019/10/18, 73, 50, 79, 8, 4, 3
2019/10/19, 82, 46, 77, 7, 3, 3
2019/10/20, 70, 48, 83, 8, 5, 3
2019/10/21, 81, 42, 59, 7, 3, 2
2019/10/22, 67, 46, 59, 8, 4, 3
2019/10/23, 79, 50, 73, 9, 5, 3
2019/10/24, 87, 47, 84, 6, 4, 3
2019/10/25, 81, 52, 67, 7, 4, 3
2019/10/26, 88, 45, 50, 8, 3, 4
2019/10/27, 91, 29, 49, 10, 5, 4
2019/10/28, 53, 40, 50, 8, 4, 5
2019/10/29, 49, 95, 71, 9, 5, 4
2019/10/30, 123, 71, 55, 9, 5, 3
2019/10/31, 91, 50, 52, 7, 4, 2
2019/11/1, 61, 41, 46, 6, 5, 2
2019/11/2, 54, 68, 76, 9, 7, 3
2019/11/3, 96, 58, 69, 6, 3, 3
2019/11/4, 82, 58, 66, 7, 5, 3
2019/11/5, 82, 44, 62, 7, 3, 2
2019/11/6, 67, 46, 50, 8, 4, 2
2019/11/7, 68, 42, 60, 7, 4, 3
2019/11/8, 71, 49, 59, 6, 3, 3
2019/11/9, 73, 37, 52, 9, 3, 2
2019/11/10, 58, 56, 69, 16, 6, 4
2019/11/11, 96, 59, 84, 9, 5, 3
2019/11/12, 103, 61, 61, 10, 4, 3
2019/11/13, 96, 64, 55, 6, 3, 3
2019/11/14, 89, 49, 44, 6, 3, 2
2019/11/15, 55, 41, 38, 11, 3, 2
2019/11/16, 54, 49, 46, 16, 4, 3
2019/11/17, 76, 63, 54, 14, 6, 4
2019/11/18, 106, 68, 41, 6, 4, 3
2019/11/19, 83, 57, 31, 8, 4, 2
2019/11/20, 70, 48, 38, 7, 3, 2
2019/11/21, 59, 41, 30, 11, 5, 3
2019/11/22, 62, 24, 35, 8, 4, 2
2019/11/23, 52, 33, 43, 8, 5, 2
2019/11/24, 66, 42, 38, 5, 2, 2
2019/11/25, 60, 26, 31, 5, 2, 2
2019/11/26, 48, 31, 36, 8, 4, 3
2019/11/27, 57, 33, 25, 7, 2, 3
2019/11/28, 51, 42, 39, 8, 4, 2
2019/11/29, 57, 42, 33, 12, 4, 2
2019/11/30, 64, 51, 41, 18, 4, 4
2019/12/1, 91, 45, 38, 7, 2, 4
2019/12/2, 62, 60, 49, 7, 3, 3
2019/12/3, 95, 67, 52, 8, 4, 3
2019/12/4, 89, 44, 42, 9, 4, 3
2019/12/5, 85, 21, 29, 6, 5, 2
2019/12/6, 42, 31, 39, 7, 4, 2
2019/12/7, 49, 44, 46, 8, 5, 3
2019/12/8, 69, 48, 44, 12, 4, 3
2019/12/9, 79, 55, 45, 22, 5, 4
2019/12/10, 101, 57, 53, 20, 5, 4
2019/12/11, 109, 62, 51, 11, 5, 4
2019/12/12, 104, 48, 40, 10, 5, 2
2019/12/13, 67, 62, 45, 21, 7, 4
2019/12/14, 104, 48, 50, 9, 4, 2
2019/12/15, 71, 51, 44, 20, 6, 3
2019/12/16, 90, 58, 31, 28, 9, 3
2019/12/17, 111, 54, 31, 17, 5, 6
2019/12/18, 110, 27, 24, 10, 3, 4
2019/12/19, 52, 24, 24, 8, 3, 3
2019/12/20, 42, 21, 26, 12, 4, 3
2019/12/21, 45, 30, 30, 14, 5, 3
2019/12/22, 64, 37, 35, 12, 4, 4
2019/12/23, 65, 44, 33, 15, 5, 5
2019/12/24, 85, 29, 34, 11, 5, 4
2019/12/25, 55, 45, 40, 14, 4, 4
2019/12/26, 97, 35, 37, 9, 2, 6
2019/12/27, 60, 46, 41, 10, 4, 4
2019/12/28, 77, 39, 24, 9, 3, 2
2019/12/29, 61, , , , , 
2019/7/1, 25, 5, 27, 6, 3, 1
2019/7/2, 47, 5, 22, 4, 3, 1
2019/7/3, 17, , 20, 3, 2, 1
2019/7/4, 22, , 28, 4, 3, 1
2019/7/5, 30, , 32, 5, 2, 1
2019/7/6, 41, , 27, 5, 3, 
2019/7/7, 39, , 26, 5, 5, 1
2019/7/8, 44, , 28, 5, 4, 1
2019/7/9, 52, 17, 25, 5, 3, 1
2019/7/10, 29, 17, 28, 5, 4, 1
2019/7/11, 31, 28, 25, 5, 4, 1
