date, pm25, pm10, o3, no2, so2, co
2020/1/2, 79, 85, 28, 3, 11, 9
2020/1/3, 51, 78, 32, 3, 11, 8
2020/1/4, 76, 80, 30, 3, 9, 8
2020/1/5, 84, 76, 31, 3, 17, 7
2020/1/6, 42, 77, 28, 3, 14, 8
2020/1/7, 60, 70, 30, 3, 10, 8
2020/1/8, 49, 97, 34, 3, 10, 8
2020/1/9, 75, 96, 38, 3, 9, 9
2020/1/10, 45, 89, 42, 3, 6, 8
2020/1/11, 53, 79, 30, 3, 4, 10
2020/1/12, 47, 94, 39, 3, 4, 8
2020/1/13, 53, 93, 39, 3, 7, 10
2020/1/14, 78, 95, 36, 11, 11, 8
2020/1/15, 77, 94, 27, 20, 4, 11
2020/1/16, 39, , , , , 
2019/10/1, 42, 21, 4, 1, 3, 7
2019/10/2, 38, 23, 4, 2, 1, 7
2019/10/3, 41, 22, 4, 2, 1, 4
2019/10/4, 41, 26, 4, 2, 2, 6
2019/10/5, 33, 21, 5, 2, 1, 4
2019/10/6, 37, 19, 5, 2, 2, 5
2019/10/7, 39, 25, 3, 2, 2, 6
2019/10/8, 40, , , , , 
2019/10/13, 30, 18, 5, 2, 1, 5
2019/10/14, 37, 18, 4, 2, 1, 5
2019/10/15, 40, 23, 5, 2, 1, 6
2019/10/16, 36, 21, 4, 2, 2, 6
2019/10/17, 40, 21, 4, 2, 2, 6
2019/10/18, 33, 18, 5, 2, 1, 5
2019/10/19, 42, 17, 4, 2, 1, 4
2019/10/20, 33, 15, 4, 2, 1, 5
2019/10/21, 38, 15, 4, 2, 2, 6
2019/10/22, 32, 23, 4, 2, 1, 6
2019/10/23, 44, 26, 4, 2, 2, 5
2019/10/24, 37, 16, 4, 2, 1, 4
2019/10/25, 35, 14, 4, 2, 2, 4
2019/10/26, 33, 14, 4, 2, 1, 5
2019/10/27, 28, 25, 5, 2, 1, 6
2019/10/28, 35, 23, 5, 2, 1, 7
2019/10/29, 36, 17, 5, 2, 2, 5
2019/10/30, 33, 13, 5, 2, 2, 4
2019/10/31, 27, 18, 4, 2, 2, 6
2019/11/1, 33, 24, 4, 1, 2, 9
2019/11/2, 37, 24, 5, 2, 1, 5
2019/11/3, 31, 18, 4, 2, 1, 4
2019/11/4, 42, 28, 5, 2, 1, 6
2019/11/5, 43, 32, 5, 2, 1, 5
2019/11/6, 32, 30, 5, 2, 2, 6
2019/11/7, 37, 26, 4, 2, 1, 6
2019/11/8, 34, 24, 4, 2, 3, 6
2019/11/9, 43, 23, 5, 2, 1, 6
2019/11/10, 40, 20, 5, , 1, 5
2019/11/11, 34, 30, 5, 2, 3, 7
2019/11/12, 38, 36, 5, 2, 1, 8
