date, pm25, pm10, so2
2020/1/2, 81, 86, 5
2020/1/3, 175, 127, 5
2020/1/4, 231, 36, 3
2020/1/5, 150, 6, 2
2020/1/6, 24, 20, 2
2020/1/7, 65, 56, 6
2020/1/8, 124, 89, 5
2020/1/9, 181, 134, 5
2020/1/10, 240, 97, 4
2020/1/11, 166, 23, 3
2020/1/12, 65, 84, 4
2020/1/13, 179, 99, 3
2020/1/14, 191, 112, 5
2020/1/15, 206, 154, 2
2020/1/16, 267, , 
2019/12/12, 131, 33, 1
2019/12/13, 89, 33, 2
2019/12/14, 77, 64, 3
2019/12/15, 138, 77, 2
2019/12/16, 169, 82, 3
2019/12/17, 170, 69, 2
2019/12/18, 156, 94, 2
2019/12/19, 188, 58, 2
2019/12/20, 132, 19, 1
2019/12/21, 47, 9, 1
2019/12/22, 30, 9, 2
2019/12/23, 37, 23, 1
2019/12/24, 75, 28, 3
2019/12/25, 76, 12, 2
2019/12/26, 45, 9, 2
2019/12/27, 37, 6, 3
2019/12/28, 25, , 
2020/1/1, , 32, 5
2019/12/11, , 52, 2
