date, pm25
2020/1/2, 103
2020/1/3, 96
2020/1/4, 111
2020/1/5, 130
2020/1/6, 93
2020/1/7, 87
2020/1/8, 103
2020/1/15, 110
2020/1/16, 135
2019/10/1, 164
2019/10/2, 183
2019/10/3, 247
2019/10/4, 175
2019/10/5, 169
2019/10/6, 166
2019/10/7, 137
2019/10/8, 123
2019/10/9, 143
2019/10/10, 138
2019/10/11, 157
2019/10/12, 159
2019/10/13, 163
2019/10/14, 159
2019/10/15, 149
2019/10/16, 155
2019/10/17, 143
2019/10/18, 127
2019/10/19, 140
2019/10/20, 143
2019/10/21, 112
2019/10/22, 118
2019/10/23, 156
2019/10/24, 134
2019/10/25, 129
2019/10/26, 95
2019/10/27, 83
2019/10/28, 71
2019/10/29, 87
2019/10/30, 99
2019/10/31, 116
2019/11/1, 95
2019/11/2, 119
2019/11/3, 130
2019/11/4, 112
2019/11/5, 97
2019/11/6, 95
2019/11/7, 115
2019/11/8, 125
2019/11/9, 154
2019/11/10, 155
2019/11/11, 123
2019/11/12, 126
2019/11/13, 160
2019/11/14, 151
2019/11/15, 142
2019/11/16, 148
2019/11/17, 101
2019/11/18, 114
2019/11/19, 91
2019/11/20, 83
2019/11/21, 86
2019/11/22, 128
2019/11/23, 116
2019/11/24, 125
2019/11/25, 112
2019/11/26, 95
2019/11/27, 112
2019/11/28, 122
2019/11/29, 85
2019/11/30, 96
2019/12/1, 141
2019/12/2, 134
2019/12/3, 117
2019/12/4, 97
2019/12/5, 130
2019/12/6, 109
2019/12/7, 125
2019/12/8, 111
2019/12/9, 98
2019/12/10, 101
2019/12/11, 120
2019/12/12, 128
2019/12/13, 100
2019/12/14, 112
2019/12/15, 127
2019/12/16, 114
2019/12/17, 108
2019/12/18, 101
2019/12/19, 132
2019/12/20, 108
2019/12/21, 112
2019/12/22, 122
2019/12/23, 113
2019/12/24, 128
2019/12/25, 126
2019/12/26, 137
2019/12/27, 152
2019/12/28, 120
2019/7/1, 108
2019/7/2, 121
2019/7/3, 93
2019/7/4, 106
2019/7/5, 112
2019/7/6, 119
2019/7/7, 124
2019/7/8, 109
2019/7/9, 85
2019/7/10, 98
2019/7/11, 92
2019/7/12, 92
2019/7/13, 122
2019/7/14, 112
2019/7/15, 106
2019/7/16, 131
2019/7/17, 117
2019/7/18, 144
2019/7/19, 219
2019/7/20, 91
2019/7/21, 84
2019/7/22, 88
2019/7/23, 98
2019/7/24, 110
2019/7/25, 113
2019/7/26, 136
2019/7/27, 107
2019/7/28, 119
2019/7/29, 138
2019/7/30, 147
2019/7/31, 127
2019/8/1, 107
2019/8/2, 121
2019/8/3, 113
2019/8/4, 89
2019/8/5, 120
2019/8/6, 110
2019/8/7, 116
2019/8/8, 131
2019/8/9, 102
2019/8/10, 76
2019/8/11, 79
2019/8/12, 122
2019/8/13, 131
2019/8/14, 143
2019/8/15, 145
2019/8/16, 83
2019/8/17, 96
2019/8/18, 155
2019/8/19, 160
2019/8/20, 153
2019/8/21, 155
2019/8/22, 113
2019/8/23, 110
2019/8/24, 160
2019/8/25, 169
2019/8/26, 148
2019/8/27, 162
2019/8/28, 168
2019/8/29, 173
2019/8/30, 161
2019/8/31, 178
2019/9/1, 123
2019/9/2, 104
2019/9/3, 127
2019/9/4, 107
2019/9/5, 105
2019/9/6, 121
2019/9/7, 116
2019/9/8, 124
2019/9/9, 101
2019/9/10, 110
2019/9/11, 106
2019/9/12, 106
2019/9/13, 124
2019/9/14, 154
2019/9/15, 143
2019/9/16, 155
2019/9/17, 159
2019/9/18, 139
2019/9/19, 110
2019/9/20, 139
2019/9/21, 148
2019/9/22, 152
2019/9/23, 127
2019/9/24, 117
2019/9/25, 108
2019/9/26, 145
2019/9/27, 173
2019/9/28, 150
2019/9/29, 153
2019/9/30, 157
2019/4/1, 153
2019/4/2, 73
2019/4/3, 74
2019/4/4, 120
2019/4/5, 117
2019/4/6, 72
2019/4/7, 107
2019/4/8, 90
2019/4/9, 81
2019/4/10, 91
2019/4/11, 101
2019/4/12, 109
2019/4/13, 95
2019/4/14, 71
2019/4/15, 113
2019/4/16, 80
2019/4/17, 115
2019/4/18, 113
2019/4/19, 114
2019/4/20, 93
2019/4/21, 73
2019/4/22, 94
2019/4/23, 73
2019/4/24, 70
2019/4/25, 65
2019/4/26, 77
2019/4/27, 102
2019/4/28, 102
2019/4/29, 122
2019/4/30, 115
2019/5/1, 140
2019/5/2, 131
2019/5/3, 135
2019/5/4, 239
2019/5/5, 130
2019/5/6, 80
2019/5/7, 116
2019/5/8, 119
2019/5/9, 141
2019/5/10, 153
2019/5/11, 74
2019/5/12, 80
2019/5/13, 140
2019/5/14, 103
2019/5/15, 90
2019/5/16, 131
2019/5/17, 152
2019/5/18, 144
2019/5/19, 149
2019/5/20, 93
2019/5/21, 84
2019/5/22, 23
2019/5/23, 30
2019/5/24, 28
2019/5/25, 25
2019/5/26, 27
2019/5/27, 32
2019/5/28, 28
2019/5/29, 31
2019/5/30, 69
2019/5/31, 102
2019/6/1, 102
2019/6/2, 88
2019/6/3, 107
2019/6/4, 140
2019/6/5, 125
2019/6/6, 125
2019/6/7, 155
2019/6/8, 143
2019/6/9, 157
2019/6/10, 137
2019/6/11, 141
2019/6/12, 111
2019/6/13, 118
2019/6/14, 106
2019/6/15, 133
2019/6/16, 152
2019/6/17, 122
2019/6/18, 104
2019/6/19, 114
2019/6/20, 87
2019/6/21, 89
2019/6/22, 96
2019/6/23, 124
2019/6/24, 128
2019/6/25, 110
2019/6/26, 118
2019/6/27, 128
2019/6/28, 99
2019/6/30, 100
2019/1/1, 109
2019/1/2, 115
2019/1/3, 112
2019/1/4, 112
2019/1/5, 125
2019/1/6, 130
2019/1/7, 116
2019/1/8, 149
2019/1/9, 110
2019/1/10, 90
2019/1/11, 72
2019/1/12, 92
2019/1/13, 104
2019/1/14, 147
2019/1/15, 150
2019/1/16, 144
2019/1/17, 233
2019/1/18, 196
2019/1/19, 75
2019/1/20, 87
2019/1/21, 96
2019/1/22, 102
2019/1/23, 122
2019/1/24, 133
2019/1/25, 161
2019/1/26, 162
2019/1/27, 105
2019/1/28, 116
2019/1/29, 113
2019/1/30, 87
2019/1/31, 102
2019/2/1, 123
2019/2/2, 98
2019/2/3, 80
2019/2/4, 68
2019/2/5, 75
2019/2/6, 101
2019/2/7, 139
2019/2/8, 135
2019/2/9, 109
2019/2/10, 114
2019/2/11, 124
2019/2/12, 73
2019/2/13, 104
2019/2/14, 132
2019/2/15, 125
2019/2/16, 102
2019/2/17, 88
2019/2/18, 73
2019/2/19, 77
2019/2/20, 67
2019/2/21, 108
2019/2/22, 114
2019/2/23, 100
2019/2/24, 130
2019/2/25, 109
2019/2/26, 131
2019/2/27, 120
2019/2/28, 107
2019/3/2, 49
2019/3/3, 84
2019/3/4, 93
2019/3/5, 92
2019/3/6, 91
2019/3/7, 69
2019/3/8, 78
2019/3/9, 66
2019/3/10, 73
2019/3/11, 90
2019/3/12, 95
2019/3/13, 118
2019/3/14, 111
2019/3/15, 143
2019/3/16, 158
2019/3/17, 112
2019/3/18, 83
2019/3/19, 66
2019/3/20, 84
2019/3/21, 93
2019/3/22, 85
2019/3/23, 88
2019/3/24, 91
2019/3/25, 147
2019/3/26, 120
2019/3/27, 91
2019/3/28, 65
2019/3/29, 75
2019/3/30, 68
2019/3/31, 97
2018/10/1, 118
2018/10/2, 133
2018/10/3, 122
2018/10/4, 125
2018/10/5, 108
2018/10/6, 130
2018/10/7, 153
2018/10/8, 154
2018/10/9, 167
2018/10/10, 159
2018/10/11, 154
