date, pm25, o3
2020/1/2, 27, 
2020/1/3, 37, 
2020/1/4, 25, 
2020/1/5, 25, 
2020/1/6, 14, 
2020/1/7, 16, 
2020/1/8, 18, 
2020/1/9, 35, 
2020/1/10, 52, 
2020/1/11, 17, 
2020/1/12, 23, 
2020/1/13, 45, 
2020/1/14, 40, 
2020/1/15, 60, 
2020/1/16, 34, 
2019/10/1, 18, 15
2019/10/2, 10, 16
2019/10/3, 6, 18
2019/10/4, 9, 21
2019/10/5, 14, 25
2019/10/6, 15, 26
2019/10/7, 17, 30
2019/10/8, 15, 42
2019/10/9, 20, 32
2019/10/10, 30, 26
2019/10/11, 11, 27
2019/10/12, 17, 21
2019/10/13, 10, 22
2019/10/14, 12, 23
2019/10/15, 20, 19
2019/10/16, 11, 26
2019/10/17, 20, 34
2019/10/18, 24, 29
2019/10/19, 28, 20
2019/10/20, 22, 28
2019/10/21, 24, 22
2019/10/22, 6, 
2019/10/23, 12, 
2019/10/24, 13, 
2019/10/25, 23, 
2019/10/26, 34, 
2019/10/27, 46, 
2019/10/28, 21, 
2019/10/29, 27, 
2019/10/30, 22, 
2019/10/31, 30, 
2019/11/1, 38, 
2019/11/2, 18, 
2019/11/3, 25, 
2019/11/4, 28, 
2019/11/5, 16, 
2019/11/6, 27, 
2019/11/7, 18, 
2019/11/8, 36, 
2019/11/9, 39, 
2019/11/10, 37, 
2019/11/11, 11, 
2019/11/12, 13, 
2019/11/13, 27, 
2019/11/14, 52, 
2019/11/15, 57, 
2019/11/16, 67, 
2019/11/17, 80, 
2019/11/18, 36, 
2019/11/19, 53, 
2019/11/20, 48, 
2019/11/21, 21, 
2019/11/22, 18, 
2019/11/23, 35, 
2019/11/24, 33, 
2019/11/25, 28, 
2019/11/26, 16, 
2019/11/27, 5, 
2019/11/28, 15, 
2019/11/29, 31, 
2019/11/30, 17, 
2019/12/1, 10, 
2019/12/2, 15, 
2019/12/3, 24, 
2019/12/4, 24, 
2019/12/5, 50, 
2019/12/6, 28, 
2019/12/7, 46, 
2019/12/8, 56, 
2019/12/9, 50, 
2019/12/10, 38, 
2019/12/11, 43, 
2019/12/12, 60, 
2019/12/13, 77, 
2019/12/14, 70, 
2019/12/15, 36, 
2019/12/16, 31, 
2019/12/17, 50, 
2019/12/18, 26, 
2019/12/19, 65, 
2019/12/20, 73, 
2019/12/21, 59, 
2019/12/22, 58, 
2019/12/23, 57, 
2019/12/24, 72, 
2019/12/25, 85, 
2019/12/26, 47, 
2019/12/27, 48, 
2019/12/28, 55, 
2019/7/1, 20, 33
2019/7/2, 20, 36
2019/7/3, 25, 36
2019/7/4, 27, 33
2019/7/5, 27, 30
2019/7/6, 53, 27
2019/7/7, 68, 35
2019/7/8, 64, 40
2019/7/9, 72, 33
2019/7/10, 21, 34
2019/7/11, 26, 37
2019/7/12, 36, 27
2019/7/13, 30, 38
2019/7/14, 30, 30
2019/7/15, 30, 29
2019/7/16, 18, 34
2019/7/17, 17, 33
2019/7/18, 19, 38
2019/7/19, 26, 26
2019/7/20, 23, 27
2019/7/21, 20, 26
2019/7/22, 22, 30
2019/7/23, 38, 34
2019/7/24, 48, 37
2019/7/25, 56, 41
2019/7/26, 53, 38
2019/7/27, 40, 37
2019/7/28, 41, 36
2019/7/29, 22, 28
2019/7/30, 14, 29
2019/7/31, 16, 36
