date, pm25, pm10, o3, so2, co
2020/1/2, 23, 9, 6, , 
2020/1/3, 27, 8, 7, 1, 
2020/1/4, 23, 7, 9, , 
2020/1/5, 21, 14, 12, , 
2020/1/6, 35, 18, 9, 7, 
2020/1/7, 47, 16, 11, 8, 
2020/1/8, 45, 19, 18, 1, 
2020/1/9, 50, 20, 15, 1, 
2020/1/10, 55, 19, 10, 1, 
2020/1/11, 54, 19, 9, , 
2020/1/12, 52, 12, 11, , 
2020/1/13, 33, 14, 6, 1, 
2020/1/14, 36, 12, 8, , 
2020/1/15, 35, 20, 7, , 
2020/1/16, 57, , , , 
2019/10/1, 35, 10, 7, 4, 
2019/10/2, 32, 10, 9, 3, 
2019/10/3, 33, 9, 6, , 
2019/10/4, 27, 7, 7, 7, 
2019/10/5, 19, 10, 5, 11, 
2019/10/6, 27, 15, 7, 4, 
2019/10/7, 40, 32, 6, 1, 
2019/10/8, 79, 21, 7, 11, 
2019/10/9, 54, 10, 7, 4, 
2019/10/10, 26, 8, 9, 2, 
2019/10/11, 23, 4, 11, , 
2019/10/12, 13, 9, 10, , 
2019/10/13, 23, 13, 11, , 
2019/10/14, 39, 12, 9, 1, 
2019/10/15, 37, 7, 11, 1, 
2019/10/16, 20, 6, 10, 1, 
2019/10/17, 15, 12, 12, 1, 
2019/10/18, 29, 20, 12, 1, 
2019/10/19, 51, 6, 11, , 
2019/10/20, 18, 9, 9, 1, 
2019/10/21, 26, 12, 9, 1, 
2019/10/22, 33, 17, 10, , 
2019/10/23, 50, 17, 14, 2, 
2019/10/24, 48, 22, 16, 2, 
2019/10/25, 58, 14, 12, 8, 
2019/10/26, 37, 12, 12, 3, 
2019/10/27, 31, 11, 6, , 
2019/10/28, 29, 6, 11, , 
2019/10/29, 19, 11, 12, 1, 
2019/10/30, 32, 10, 12, 1, 
2019/10/31, 31, 12, 8, , 
2019/11/1, 36, 17, 14, 12, 
2019/11/2, 45, 10, 11, 1, 
2019/11/3, 29, 8, 8, , 
2019/11/4, 22, 14, 13, , 
2019/11/5, 37, , , , 
2019/11/8, 66, 14, 11, 10, 
2019/11/9, 42, 9, 11, 10, 
2019/11/10, 30, 13, 8, 10, 
2019/11/11, 37, 11, 7, 12, 
2019/11/12, 32, 24, 19, 12, 
2019/11/13, 61, 28, 15, 12, 
2019/11/14, 68, 11, 8, 12, 
2019/11/15, 34, 13, 9, 13, 
2019/11/16, 34, 16, 10, 15, 
2019/11/17, 41, 24, 15, 13, 
2019/11/18, 53, 16, 11, 13, 
2019/11/19, 41, 13, 11, 14, 
2019/11/20, 35, 23, 10, 14, 
2019/11/21, 60, 14, 13, 13, 
2019/11/22, 37, 14, 11, 10, 
2019/11/23, 40, 9, 8, 11, 
2019/11/24, 20, 8, 7, 11, 
2019/11/25, 19, 13, 13, 9, 
2019/11/26, 36, 17, 14, , 
2019/11/27, 43, 24, 14, 5, 
2019/11/28, 55, 19, 16, 3, 
2019/11/29, 44, 35, 12, 1, 
2019/11/30, 75, 17, 14, 2, 
2019/12/1, 43, 15, 9, 6, 
2019/12/2, 42, 17, 10, 8, 
2019/12/3, 39, 22, 14, 2, 
2019/12/4, 51, 11, 13, , 
2019/12/5, 30, 23, 18, 6, 
2019/12/6, 57, 15, 15, 4, 
2019/12/7, 41, 19, 17, 5, 
2019/12/8, 43, 24, 20, 4, 
2019/12/9, 55, 30, 17, 7, 
2019/12/10, 69, 33, 18, 3, 
2019/12/11, 78, 30, 14, , 
2019/12/12, 65, 17, 9, 4, 
2019/12/13, 47, 16, 12, 3, 
2019/12/14, 43, 9, 14, 3, 
2019/12/15, 27, 18, 12, 3, 
2019/12/16, 49, 24, 12, 3, 
2019/12/17, 61, 12, 12, 4, 
2019/12/18, 31, 15, 13, 5, 
2019/12/19, 40, 11, 10, , 
2019/12/20, 31, 12, 15, , 
2019/12/21, 33, 14, 16, , 
2019/12/22, 42, 17, 12, 3, 
2019/12/23, 45, 13, 11, 4, 
2019/12/24, 32, 16, 17, 2, 
2019/12/25, 39, 7, 10, , 
2019/12/26, 20, 10, 8, 4, 
2019/12/27, 32, 12, 7, , 
2019/12/28, 33, , , , 
2019/7/1, 40, 14, 12, 6, 
2019/7/2, 41, 13, 11, , 
2019/7/3, 39, 13, 14, , 
2019/7/4, 40, 14, 16, , 
2019/7/5, 41, 23, 16, , 
2019/7/6, 64, 12, 13, 2, 
2019/7/7, 34, 9, 10, 6, 
2019/7/8, 26, 9, 13, 1, 
2019/7/9, 25, 23, 8, , 
2019/7/10, 60, 28, 8, , 
2019/7/11, 73, 15, 8, , 
2019/7/12, 43, 17, 7, , 
2019/7/13, 50, 20, 10, , 
2019/7/14, 54, 22, 7, 1, 
2019/7/15, 61, 38, 14, 5, 
2019/7/16, 87, 7, 10, 3, 
2019/7/17, 20, 15, 5, 6, 
2019/7/18, 42, 22, 7, , 
2019/7/19, 55, 15, 8, 2, 
2019/7/20, 40, 21, 15, 7, 
2019/7/21, 48, 11, 14, , 
2019/7/22, 33, 14, 16, , 
2019/7/23, 46, 16, 17, , 
2019/7/24, 46, 12, 17, , 
2019/7/25, 37, 3, 11, , 
2019/7/26, 15, 17, 7, , 
2019/7/27, 49, 5, 9, , 
2019/7/28, 14, 13, 11, , 
2019/7/29, 38, 22, 12, 1, 
2019/7/30, 62, 21, 10, 42, 
2019/7/31, 57, 26, 8, 32, 
2019/8/1, 67, 20, 16, 29, 
