date, pm25
2020/1/2, 40
2020/1/3, 63
2020/1/4, 60
2020/1/5, 37
2020/1/6, 31
2020/1/7, 43
2020/1/8, 38
2020/1/9, 39
2020/1/10, 42
2020/1/11, 35
2020/1/12, 38
2020/1/13, 45
2020/1/14, 60
2020/1/15, 50
2020/1/16, 52
2019/10/1, 42
2019/10/4, 14
2019/10/5, 27
2019/10/6, 24
2019/10/7, 22
2019/10/8, 25
2019/10/9, 23
2019/10/10, 31
2019/10/11, 22
2019/10/12, 18
2019/10/13, 22
2019/10/14, 22
2019/10/15, 31
2019/10/16, 18
2019/10/17, 16
2019/10/18, 23
2019/10/19, 39
2019/10/20, 49
2019/10/21, 26
2019/10/22, 19
2019/10/23, 18
2019/10/24, 28
2019/10/25, 26
2019/10/26, 34
2019/10/27, 29
2019/10/28, 35
2019/10/29, 34
2019/10/30, 21
2019/10/31, 19
2019/11/1, 28
2019/11/2, 25
2019/11/3, 21
2019/11/4, 27
2019/11/5, 29
2019/11/6, 38
2019/11/7, 30
2019/11/8, 27
2019/11/9, 44
2019/11/10, 49
2019/11/11, 25
2019/11/12, 18
2019/11/13, 35
2019/11/14, 48
2019/11/15, 62
2019/11/16, 63
2019/11/17, 52
2019/11/18, 75
2019/12/1, 21
2019/12/2, 24
2019/12/3, 36
2019/12/4, 34
2019/12/5, 41
2019/12/6, 40
2019/12/7, 50
2019/12/8, 59
2019/12/9, 59
2019/12/10, 33
2019/12/11, 60
2019/12/12, 53
2019/12/13, 50
2019/12/14, 68
2019/12/15, 61
2019/12/16, 63
2019/12/17, 62
2019/12/18, 54
2019/12/19, 58
2019/12/20, 72
2019/12/21, 62
2019/12/22, 68
2019/12/23, 64
2019/12/24, 61
2019/12/25, 48
2019/12/26, 41
2019/12/27, 57
2019/12/28, 61
2019/7/1, 23
2019/7/2, 46
2019/7/3, 29
2019/7/4, 42
2019/7/5, 44
2019/7/6, 37
2019/7/7, 74
2019/7/8, 51
2019/7/9, 50
2019/7/10, 43
2019/7/11, 21
2019/7/12, 20
2019/7/13, 33
2019/7/14, 37
