date, aqi
2020/1/2, 31
2020/1/3, 30
2020/1/4, 30
2020/1/5, 30
2020/1/6, 30
2020/1/7, 30
2020/1/8, 30
2020/1/9, 30
2020/1/10, 30
2020/1/11, 30
2020/1/12, 30
2020/1/13, 30
2020/1/14, 30
2020/1/15, 30
2019/10/1, 34
2019/10/2, 42
2019/10/3, 38
2019/10/4, 53
2019/10/5, 59
2019/10/6, 50
2019/10/7, 43
2019/10/8, 55
2019/10/9, 34
2019/10/10, 30
2019/10/11, 29
2019/10/12, 39
2019/10/13, 40
2019/10/14, 30
2019/10/15, 33
2019/10/16, 32
2019/10/17, 44
2019/10/18, 33
2019/10/19, 31
2019/10/20, 27
2019/10/21, 29
2019/10/22, 29
2019/10/23, 28
2019/10/24, 31
2019/10/25, 40
2019/10/26, 36
2019/10/27, 44
2019/10/28, 34
2019/10/29, 24
2019/10/30, 35
2019/10/31, 47
2019/11/1, 33
2019/11/2, 33
2019/11/3, 28
2019/11/4, 24
2019/11/5, 31
2019/11/6, 37
2019/11/7, 37
2019/11/8, 36
2019/11/9, 25
2019/11/10, 28
2019/11/11, 33
2019/11/12, 49
2019/11/13, 56
2019/11/14, 57
2019/11/15, 53
2019/11/16, 50
2019/11/17, 51
2019/11/18, 50
2019/11/19, 48
2019/11/20, 36
2019/11/21, 44
2019/11/22, 44
2019/11/23, 49
2019/11/24, 42
2019/11/25, 46
2019/11/26, 24
2019/11/27, 26
2019/11/28, 31
2019/11/29, 30
2019/11/30, 33
2019/12/1, 31
2019/12/2, 33
2019/12/3, 35
2019/12/4, 48
2019/12/5, 53
2019/12/6, 53
2019/12/7, 51
2019/12/8, 50
2019/12/9, 54
2019/12/10, 52
2019/12/11, 52
2019/12/12, 53
2019/12/13, 50
2019/12/14, 51
2019/12/15, 45
2019/12/16, 35
2019/12/17, 32
2019/12/18, 30
2019/12/19, 30
2019/12/20, 30
2019/12/21, 30
2019/12/22, 30
2019/12/23, 30
2019/12/24, 30
2019/12/25, 30
2019/12/26, 30
2019/12/27, 30
2019/12/28, 30
2019/7/1, 56
2019/7/2, 57
2019/7/3, 57
2019/7/4, 48
2019/7/5, 63
2019/7/6, 58
2019/7/7, 53
2019/7/8, 53
2019/7/9, 54
2019/7/10, 48
2019/7/11, 52
2019/7/12, 53
2019/7/13, 53
2019/7/14, 48
2019/7/15, 30
2019/7/16, 26
2019/7/17, 24
2019/7/18, 47
2019/7/19, 47
2019/7/20, 58
2019/7/21, 54
2019/7/22, 57
2019/7/23, 57
2019/7/24, 54
2019/7/25, 49
2019/7/26, 49
2019/7/27, 55
2019/7/28, 50
2019/7/29, 52
2019/7/30, 52
2019/7/31, 52
2019/8/1, 52
2019/8/2, 55
2019/8/3, 61
2019/8/4, 65
2019/8/5, 70
2019/8/6, 65
2019/8/7, 62
2019/8/8, 59
2019/8/9, 57
2019/8/10, 42
2019/8/11, 40
2019/8/12, 58
2019/8/13, 60
2019/8/14, 52
2019/8/15, 32
2019/8/16, 31
2019/8/17, 37
2019/8/18, 57
2019/8/19, 62
2019/8/20, 65
2019/8/21, 58
2019/8/22, 32
2019/8/23, 24
2019/8/24, 25
2019/8/25, 19
2019/8/26, 26
2019/8/27, 32
2019/8/28, 28
2019/8/29, 38
2019/8/30, 30
2019/8/31, 48
2019/9/1, 61
