date, pm25, pm10, o3, no2, so2, co
2020/1/2, 36, 12, , 16, 1, 4
2020/1/3, 37, 22, , 15, 1, 5
2020/1/4, 49, 26, , 15, 2, 4
2020/1/5, 54, 29, , 7, 1, 3
2020/1/6, 56, 28, , 8, 1, 2
2020/1/7, 42, 12, , 14, 1, 4
2020/1/8, 32, 23, , 14, 1, 4
2020/1/9, 42, 25, , 15, 1, 4
2020/1/10, 41, 30, , 20, 1, 6
2020/1/11, 53, 29, , 17, 1, 6
2020/1/12, 65, 37, , 22, 2, 7
2020/1/13, 65, 44, , 25, 3, 8
2020/1/14, 86, 37, , 18, 2, 5
2020/1/15, 70, 23, , 12, 2, 2
2020/1/16, 49, , , , , 
2019/10/1, 58, 31, , 9, 2, 3
2019/10/2, 63, 31, , 9, 2, 3
2019/10/3, 63, 26, , 9, 1, 3
2019/10/4, 54, 23, , 8, 1, 2
2019/10/5, 43, 37, , 6, 1, 2
2019/10/6, 46, 28, , 8, 1, 2
2019/10/7, 38, 22, , 10, 1, 2
2019/10/8, 39, 22, , 7, 1, 2
2019/10/9, 39, 24, , 9, 1, 3
2019/10/10, 42, 37, , 17, 2, 4
2019/10/11, 59, 43, , 18, 1, 3
2019/10/12, 57, 38, , 14, 1, 3
2019/10/13, 49, 53, , 22, 2, 4
2019/10/14, 66, 55, , 17, 2, 4
2019/10/15, 72, 38, , 13, 1, 3
2019/10/16, 56, 37, , 13, 1, 3
2019/10/17, 61, 36, , 10, 1, 3
2019/10/18, 65, 38, , 9, , 6
2019/10/19, 69, 40, , 11, 2, 3
2019/10/20, 81, 42, , 15, , 3
2019/10/21, 78, 37, , 19, , 3
2019/10/22, 61, 33, , 14, 1, 3
2019/10/23, 56, 32, , 16, 1, 3
2019/10/24, 56, 28, , 18, 1, 3
2019/10/25, 51, 37, , 16, 1, 3
2019/10/26, 68, , , 9, 1, 2
2019/10/29, 73, 40, , 16, 1, 4
2019/10/30, 79, 29, , 12, 1, 2
2019/10/31, 59, 34, , 17, 3, 3
2019/11/1, 64, 26, , 16, 1, 3
