date, pm25, pm10, o3, no2, co
2018/4/1, 14, 11, , , 
2018/4/2, 17, 22, , , 
2018/4/3, 21, 22, , , 
2018/4/4, 22, 18, , , 
2018/4/5, 18, 14, , , 
2018/4/6, 14, 16, , , 
2018/4/7, 15, 13, , , 
2018/4/8, 19, 13, , , 
2018/4/9, 61, 15, , , 
2018/4/10, 16, 49, , , 
2018/4/11, 24, 26, 20, 1, 
2018/4/12, 24, 9, 19, 1, 
2018/4/13, 12, 13, 22, 4, 
2018/4/14, 15, 19, 25, 3, 
2018/4/15, 29, 66, 23, 1, 
2018/4/16, 21, 5, 19, 2, 
2018/4/17, 9, 7, 15, 4, 
2018/4/18, 7, , , , 
2018/1/1, 13, 3, 13, , 
2018/1/2, 8, 8, 13, , 
2018/1/3, 10, 7, 13, , 
2018/1/4, 13, 45, 14, , 
2018/1/5, 53, 9, 14, , 
2018/1/6, 17, 3, 15, , 
2018/1/7, 8, 4, 12, , 
2018/1/8, 12, 4, 11, , 
2018/1/9, 16, 2, 15, , 
2018/1/10, 11, 8, 12, , 
2018/1/11, 20, 7, 12, , 
2018/1/12, 19, 1, 16, , 
2018/1/13, 7, 2, 14, , 
2018/1/14, 8, 6, 12, , 
2018/1/15, 12, 4, 10, , 
2018/1/16, 11, 3, 12, , 
2018/1/17, 9, 5, 12, , 
2018/1/18, 10, 9, 17, , 
2018/1/19, 16, 2, 16, , 
2018/1/20, 13, 1, 16, , 
2018/1/21, 9, 62, 13, , 
2018/1/22, 17, 5, 15, , 
2018/1/23, 11, 7, 13, , 
2018/1/24, 13, 6, 17, , 
2018/1/25, 14, 2, 17, , 
2018/1/26, 11, 2, 16, , 
2018/1/27, 11, 2, 15, , 
2018/1/28, 8, 3, 14, , 
2018/1/29, 10, 9, 12, , 
2018/1/30, 15, 10, 12, , 
2018/1/31, 20, 6, 14, , 
2018/2/1, 16, 6, 15, , 
2018/2/2, 12, 4, 16, , 
2018/2/3, 11, 7, 17, , 
2018/2/4, 14, 6, 16, , 
2018/2/5, 14, 3, 17, , 
2018/2/6, 11, 2, 18, , 
2018/2/7, 9, 4, 16, , 
2018/2/8, 9, 6, 14, , 
2018/2/9, 10, 45, 18, , 
2018/2/10, 27, 22, 17, , 
2018/2/11, 19, 29, 20, , 
2018/2/12, 426, 9, 17, , 
2018/2/13, 824, 7, 15, , 
2018/2/14, 824, 5, 19, , 
2018/2/15, 543, 5, 18, , 
2018/2/16, 6, 8, 17, , 
2018/2/17, 4, 34, 20, , 
2018/2/18, 4, 60, 43, , 
2018/2/19, 392, 88, 17, , 
2018/2/20, 123, 1, 17, , 
2018/2/21, 9, 2, 14, , 
2018/2/22, 18, 87, 18, , 
2018/2/23, 12, 7, 17, , 
2018/2/24, 8, 8, 19, , 
2018/2/25, 10, 13, 19, , 
2018/2/26, 12, 16, 18, , 
2018/2/27, 20, 11, 19, , 
2018/2/28, 16, 12, 20, , 
2018/3/1, 12, 14, 18, , 
2018/3/2, 12, 8, 20, , 
2018/3/3, 9, 5, 20, , 
2018/3/4, 8, 5, 18, , 
2018/3/5, 7, 5, 20, , 
2018/3/6, 7, 9, 17, , 
2018/3/7, 254, 12, 13, , 
2018/3/8, 824, , , , 
2018/3/12, 372, 8, 18, , 
2018/3/13, 17, 8, 19, , 
2018/3/14, 12, 5, 18, , 
2018/3/15, 6, 9, 21, , 
2018/3/16, 9, 6, 20, , 
2018/3/17, 10, 4, 18, , 
2018/3/18, 6, 6, 19, , 
2018/3/19, 7, 8, 18, , 
2018/3/20, 11, 10, 17, , 
2018/3/21, 12, 8, 13, , 
2018/3/22, 12, 586, 21, , 
2018/3/23, 6, 879, 21, , 
2018/3/24, 11, 880, 20, , 
2018/3/25, 15, 407, 22, , 
2018/3/26, 8, 5, 19, , 
2018/3/27, 7, 4, 17, , 
2018/3/28, 7, 6, 13, , 
2018/3/29, 10, 6, , , 
2018/3/30, 13, 10, , , 
2018/3/31, 16, 11, , , 
2017/10/1, 824, 43, , , 
2017/10/2, 446, 12, , , 
2017/10/3, 14, 34, , , 
2017/10/4, 32, 16, , , 
2017/10/5, 19, 4, , , 
2017/10/6, 12, 6, , , 
2017/10/7, 10, 26, , , 
2017/10/8, 23, 2, , , 
2017/10/9, 7, 9, , , 
2017/10/10, 11, 11, , , 
2017/10/11, 11, 20, , , 
2017/10/12, 40, 21, , , 
2017/10/13, 50, 12, , , 
2017/10/14, 21, 3, , , 
2017/10/15, 10, 6, , , 
2017/10/16, 13, 7, , , 
2017/10/17, 15, 8, , , 
2017/10/18, 19, 49, , , 
2017/10/19, 63, 36, , , 
2017/10/20, 34, 1, , , 
2017/10/21, 10, 3, , , 
2017/10/22, 9, 2, , , 
2017/10/23, 9, 2, , , 
2017/10/24, 7, 5, , , 
2017/10/25, 11, 6, , , 
2017/10/26, 10, 3, , , 
2017/10/27, 10, 2, , , 
2017/10/28, 9, 5, , , 
2017/10/29, 12, 51, , , 
2017/10/30, 15, 16, , , 
2017/10/31, 25, 16, , , 
2017/11/1, 25, 12, , , 
2017/11/2, 27, 13, , , 
2017/11/3, 19, 10, , , 
2017/11/4, 17, 7, , , 
2017/11/5, 13, 4, , , 
2017/11/6, 13, 4, , , 
2017/11/7, 15, 8, , , 
2017/11/8, 15, 9, , , 
2017/11/9, 12, 5, , , 
2017/11/10, 15, 6, , , 
2017/11/11, 14, 9, , , 
2017/11/12, 17, 10, , , 
2017/11/13, 92, 8, , , 
2017/11/14, 17, 10, , , 
2017/11/15, 19, 23, , , 
2017/11/16, 24, 9, , , 
2017/11/17, 14, 3, , , 
2017/11/18, 11, 5, , , 
2017/11/19, 10, 11, , , 
2017/11/20, 21, 6, , , 
2017/11/21, 15, , , , 
2017/11/23, 14, 7, , , 
2017/11/24, 10, 5, , , 
2017/11/25, 15, 10, , , 
2017/11/26, 20, 37, , , 
2017/11/27, 22, 59, , , 
2017/11/28, 48, 3, , , 
2017/11/29, 12, 5, , , 
2017/11/30, 13, 8, 15, , 
2017/12/1, 19, 13, 16, , 
2017/12/2, 26, 14, 19, , 
2017/12/3, 23, 1, 16, , 
2017/12/4, 12, 1, 16, , 
2017/12/5, 13, 2, 16, , 
2017/12/6, 10, 1, 16, , 
2017/12/7, 9, 3, 16, , 
2017/12/8, 8, 2, 15, , 
2017/12/9, 11, 3, 15, , 
2017/12/10, 12, 1, 14, , 
2017/12/11, 7, 2, 14, , 
2017/12/12, 8, 9, 14, , 
2017/12/13, 16, 4, 19, , 
2017/12/14, 21, 10, 14, , 
2017/12/15, 20, 4, 16, , 
2017/12/16, 17, 3, 15, , 
2017/12/17, 45, 68, 14, , 
2017/12/18, 388, 8, 12, , 
2017/12/19, 15, 43, 18, , 
2017/12/20, 25, 2, 16, , 
2017/12/21, 11, 13, 15, , 
2017/12/22, 19, 15, 12, , 
2017/12/23, 26, 15, 11, , 
2017/12/24, 31, 11, 12, , 
2017/12/25, 18, 12, 10, , 
2017/12/26, 20, 9, 12, , 
2017/12/27, 19, 8, 13, , 
2017/12/28, 14, 10, 12, , 
2017/12/29, 20, 8, 12, , 
2017/12/30, 21, 4, 11, , 
2017/12/31, 19, 7, 13, , 
2017/7/1, 18, 22, , , 
2017/7/2, 28, 51, , , 
2017/7/3, 21, 11, , , 
2017/7/4, 20, 12, , , 
2017/7/5, 25, 15, , , 
2017/7/6, 28, 15, , , 
2017/7/7, 25, 22, , , 
2017/7/8, 29, 16, , , 
