date, pm25
2019/1/1, 14
2019/1/2, 21
2019/1/3, 20
2019/1/4, 15
2019/1/5, 20
2019/1/6, 27
2019/1/7, 22
2019/1/8, 20
2019/1/9, 11
2019/1/10, 13
2019/1/11, 21
2018/10/1, 29
2018/10/2, 28
2018/10/3, 31
2018/10/4, 36
2018/10/5, 37
2018/10/6, 37
2018/10/7, 45
2018/10/8, 36
2018/10/9, 22
2018/10/10, 17
2018/10/11, 16
2018/10/12, 16
2018/10/13, 22
2018/10/14, 29
2018/10/15, 27
2018/10/16, 32
2018/10/17, 14
2018/10/18, 18
2018/10/19, 29
2018/10/20, 17
2018/10/21, 11
2018/10/22, 17
2018/10/23, 21
2018/10/24, 20
2018/10/25, 35
2018/10/26, 12
2018/10/27, 29
2018/10/28, 32
2018/10/29, 20
2018/10/30, 33
2018/10/31, 48
2018/11/1, 23
2018/11/2, 17
2018/11/3, 19
2018/11/4, 27
2018/11/5, 23
2018/11/6, 14
2018/11/7, 16
2018/11/8, 20
2018/11/9, 23
2018/11/10, 23
2018/11/11, 34
2018/11/12, 32
2018/11/13, 41
2018/11/14, 37
2018/11/15, 28
2018/11/16, 39
2018/11/17, 36
2018/11/18, 46
2018/11/19, 48
2018/11/20, 30
2018/11/21, 24
2018/11/22, 19
2018/11/23, 36
2018/11/24, 32
2018/11/25, 40
2018/11/26, 14
2018/11/27, 18
2018/11/28, 31
2018/11/29, 41
2018/11/30, 20
2018/12/1, 27
2018/12/2, 27
2018/12/3, 13
2018/12/4, 19
2018/12/5, 17
2018/12/6, 30
2018/12/7, 38
2018/12/8, 32
2018/12/9, 22
2018/12/10, 46
2018/12/11, 44
2018/12/12, 33
2018/12/13, 29
2018/12/14, 23
2018/12/15, 15
2018/12/16, 14
2018/12/17, 15
2018/12/18, 15
2018/12/19, 27
2018/12/20, 27
2018/12/21, 24
2018/12/22, 20
2018/12/23, 22
2018/12/24, 18
2018/12/25, 25
2018/12/26, 31
2018/12/27, 22
2018/12/28, 12
2018/12/29, 26
2018/12/30, 34
2018/7/1, 43
2018/7/2, 39
2018/7/3, 31
2018/7/4, 32
2018/7/5, 27
2018/7/6, 26
2018/7/7, 26
2018/7/8, 30
2018/7/9, 36
2018/7/10, 29
2018/7/11, 31
2018/7/12, 43
2018/7/13, 48
2018/7/14, 39
2018/7/15, 28
2018/7/16, 21
2018/7/17, 37
2018/7/18, 31
2018/7/19, 39
2018/7/20, 51
2018/7/21, 41
2018/7/22, 28
2018/7/23, 31
2018/7/24, 54
2018/7/25, 66
2018/7/26, 45
2018/7/27, 33
2018/7/28, 29
2018/7/29, 26
2018/7/30, 40
2018/7/31, 40
2018/8/1, 36
2018/8/2, 27
2018/8/3, 26
2018/8/4, 33
2018/8/5, 32
2018/8/6, 27
2018/8/7, 29
2018/8/8, 31
2018/8/9, 25
2018/8/10, 22
2018/8/11, 33
2018/8/12, 38
2018/8/13, 41
2018/8/14, 44
2018/8/15, 65
2018/8/16, 54
2018/8/17, 36
2018/8/18, 29
2018/8/19, 35
2018/8/20, 27
2018/8/21, 27
2018/8/22, 53
2018/8/23, 41
2018/8/24, 48
2018/8/25, 59
2018/8/26, 58
2018/8/27, 51
2018/8/28, 35
2018/8/29, 22
2018/8/30, 15
2018/9/3, 9
2018/9/4, 21
2018/9/5, 26
2018/9/6, 29
2018/9/7, 27
2018/9/8, 26
2018/9/9, 21
2018/9/10, 14
2018/9/11, 22
2018/9/12, 19
2018/9/13, 26
2018/9/14, 22
2018/9/15, 25
2018/9/16, 14
2018/9/17, 14
2018/9/18, 23
2018/9/19, 22
2018/9/20, 34
2018/9/21, 43
2018/9/22, 23
2018/9/23, 17
2018/9/24, 28
2018/9/25, 19
2018/9/26, 23
2018/9/27, 16
2018/9/28, 17
2018/9/29, 13
2018/9/30, 28
2018/4/1, 31
2018/4/2, 39
