date, pm25, pm10, o3
2020/1/2, 17, 5, 
2020/1/3, 9, 10, 
2020/1/4, 14, 11, 
2020/1/5, 17, 11, 
2020/1/6, 12, 28, 
2020/1/7, 19, 19, 
2020/1/8, 25, 13, 
2020/1/9, 26, 12, 
2020/1/10, 33, 10, 
2020/1/11, 26, 10, 
2020/1/12, 29, 14, 
2020/1/13, 45, 12, 
2020/1/14, 32, 18, 
2020/1/15, 48, 23, 
2020/1/16, 55, , 
2019/10/1, 31, 15, 27
2019/10/2, 30, 18, 24
2019/10/3, 32, 16, 39
2019/10/4, 35, 18, 37
2019/10/5, 44, 17, 29
2019/10/6, 25, 16, 37
2019/10/7, 21, 16, 42
2019/10/8, 24, 17, 40
2019/10/9, 37, 20, 26
2019/10/10, 30, 11, 27
2019/10/11, 14, 12, 32
2019/10/12, 20, 13, 34
2019/10/13, 23, 15, 34
2019/10/14, 27, 22, 32
2019/10/15, 41, 25, 32
2019/10/16, 30, 21, 40
2019/10/17, 33, 19, 43
2019/10/18, 35, 18, 37
2019/10/19, 32, 19, 43
2019/10/20, 37, 18, 31
2019/10/21, 15, 21, 33
2019/10/22, 22, 22, 38
2019/10/23, 24, 9, 22
2019/10/24, 19, 5, 19
2019/10/25, 14, 10, 32
2019/10/26, 22, 11, 32
2019/10/27, 26, 17, 14
2019/10/28, 30, 12, 16
2019/10/29, 23, 7, 18
2019/10/30, 22, 7, 29
2019/10/31, 17, 12, 30
2019/11/1, 23, 13, 30
2019/11/2, 26, 15, 42
2019/11/3, 35, 18, 43
2019/11/4, 42, 18, 33
2019/11/5, 37, 18, 14
2019/11/6, 53, 15, 20
2019/11/7, 39, 16, 23
2019/11/8, 32, 19, 28
2019/11/9, 53, 14, 24
2019/11/10, 45, 13, 24
2019/11/11, 25, 13, 24
2019/11/12, 26, 12, 27
2019/11/13, 26, 20, 29
2019/11/14, 29, 15, 32
2019/11/15, 26, , 
2019/11/17, 33, 16, 35
2019/11/18, 26, 21, 41
2019/11/19, 33, 16, 33
2019/11/20, 46, 12, 14
2019/11/21, 34, 7, 11
