date, pm25, pm10, o3, no2
2020/1/2, 53, 11, 21, 3
2020/1/3, 36, 14, 19, 5
2020/1/4, 41, 17, 13, 7
2020/1/5, 58, 14, 17, 8
2020/1/6, 49, 18, 16, 6
2020/1/7, 54, 9, 15, 3
2020/1/8, 35, 10, 17, 4
2020/1/9, 38, 11, 24, 7
2020/1/10, 34, 15, 20, 5
2020/1/11, 51, 12, 23, 2
2020/1/12, 42, 12, 20, 6
2020/1/13, 40, 9, 24, 2
2020/1/14, 32, 13, 26, 4
2020/1/15, 43, 9, 12, 11
2020/1/16, 34, , , 
2019/10/1, 19, 7, 21, 8
2019/10/2, 18, 11, 17, 8
2019/10/3, 32, 11, 22, 3
2019/10/4, 30, 12, 16, 6
2019/10/5, 47, 7, 21, 5
2019/10/6, 28, 15, 13, 8
2019/10/7, 48, 8, 21, 3
2019/10/8, 21, 7, 23, 2
2019/10/9, 17, 7, 23, 3
2019/10/10, 15, 9, 20, 3
2019/10/11, 27, 9, 23, 3
2019/10/12, 27, 11, 28, 2
2019/10/13, 30, 10, 25, 8
2019/10/14, 25, 7, 25, 5
2019/10/15, 20, 5, 18, 5
2019/10/16, 14, 6, 21, 7
2019/10/17, 17, 6, 29, 2
2019/10/18, 17, 7, 24, 4
2019/10/19, 21, 12, 16, 10
2019/10/20, 43, 11, 15, 6
2019/10/21, 37, 11, 18, 5
2019/10/22, 38, 24, 6, 15
2019/10/23, 66, 17, 25, 8
2019/10/24, 46, 8, 20, 4
2019/10/25, 19, 6, 22, 1
2019/10/26, 15, 9, 22, 7
2019/10/27, 26, 17, 16, 15
2019/10/28, 53, 15, 24, 12
2019/10/29, 45, 25, 6, 18
2019/10/30, 72, 26, 8, 19
2019/10/31, 71, 14, 13, 9
2019/11/1, 49, 8, 26, 1
2019/11/2, 24, 8, 19, 5
2019/11/3, 29, 9, 21, 6
2019/11/4, 29, 11, 19, 9
2019/11/5, 33, 19, 8, 14
2019/11/6, 60, 10, 20, 8
2019/11/7, 33, 12, 15, 11
2019/11/8, 38, 19, 16, 9
2019/11/9, 62, 18, 12, 15
2019/11/10, 62, 11, 18, 5
2019/11/11, 41, 8, 25, 4
2019/11/12, 28, 11, 18, 8
2019/11/13, 43, 9, 18, 8
2019/11/14, 34, 22, 8, 14
2019/11/15, 70, 11, 13, 13
2019/11/16, 41, 20, 11, 16
2019/11/17, 69, 23, 13, 15
2019/11/18, 71, 12, 21, 15
2019/11/19, 36, 16, 14, 19
2019/11/20, 55, 19, 4, 16
2019/11/21, 63, 12, 18, 10
2019/11/22, 45, 17, 7, 15
2019/11/23, 59, 22, 6, 13
2019/11/24, 72, 10, 16, 10
2019/11/25, 39, 8, 18, 6
2019/11/26, 31, , 23, 3
2019/11/28, 26, 13, 18, 17
2019/11/29, 34, 22, 16, 18
2019/11/30, 64, 19, 10, 16
2019/12/1, 61, 22, 5, 20
2019/12/2, 67, 21, 4, 19
2019/12/3, 69, 26, 4, 24
2019/12/4, 77, 34, 2, 17
2019/12/5, 99, 16, 13, 10
2019/12/6, 58, 13, 21, 3
2019/12/7, 41, 12, 30, 1
2019/12/8, 33, 17, 24, 5
2019/12/9, 47, 14, 22, 9
2019/12/10, 41, 13, 20, 9
2019/12/11, 43, 11, 22, 6
2019/12/12, 36, 10, 24, 4
2019/12/13, 32, 10, 27, 1
2019/12/14, 28, 13, 32, 2
2019/12/15, 34, 10, 15, 17
2019/12/16, 34, 11, 20, 7
2019/12/17, 29, 12, 20, 9
2019/12/18, 40, 15, 18, 7
2019/12/19, 38, 6, 26, 3
2019/12/20, 19, 9, 22, 2
2019/12/21, 22, 6, 24, 1
2019/12/22, 20, 10, 21, 4
