date, pm25, pm10, o3, no2, co
2019/10/1, 6, 9, 23, 10, 
2019/10/2, 10, 13, 17, 14, 
2019/10/3, 17, 12, 20, 11, 
2019/10/4, 21, 14, 16, 14, 
2019/10/5, 45, 10, 23, 5, 
2019/10/6, 26, 17, 14, 14, 
2019/10/7, 34, 11, 18, 9, 
2019/10/8, 14, 8, 19, 7, 
2019/10/9, 6, 10, 19, 8, 
2019/10/10, 14, 9, 19, 7, 
2019/10/11, 12, 9, 20, 6, 
2019/10/12, 15, 12, 24, 5, 
2019/10/13, 28, 13, 22, 15, 
2019/10/14, 18, 7, 19, 9, 
2019/10/16, 7, 7, 21, 11, 
2019/10/17, 5, 7, 23, 6, 
2019/10/18, 6, 7, 21, 8, 
2019/10/19, 8, 17, 14, 15, 
2019/10/20, 30, 10, 15, 12, 
2019/10/21, 17, 15, 16, 19, 
2019/10/22, 37, 26, 7, 18, 
2019/10/23, 67, 18, 21, 9, 
2019/10/24, 37, 9, 16, 8, 
2019/10/25, 14, 7, 19, 5, 
2019/10/26, 10, 10, 24, 13, 
2019/10/27, 24, 27, 14, 23, 
2019/10/28, 61, 16, 21, 17, 
2019/10/29, 39, 25, 11, 19, 
2019/10/30, 66, 32, 6, 19, 
2019/10/31, 81, 16, 9, 12, 
2019/11/1, 49, , , , 
2019/11/3, 19, 8, 19, 9, 
2019/11/4, 7, 11, 16, 13, 
2019/11/8, 45, 15, 15, 15, 
2019/11/9, 39, 18, 12, 16, 
2019/11/10, 61, 12, 16, 9, 
2019/11/11, 32, 6, 24, 9, 
2019/11/12, 10, 10, 14, 13, 
2019/11/13, 17, 10, 20, 15, 
2019/11/14, 20, 25, 8, 18, 
2019/11/15, 66, 10, 15, 15, 
2019/11/16, 27, 19, 14, 16, 
2019/11/17, 49, 21, 15, 18, 
2019/11/18, 49, 20, 17, 20, 
2019/11/19, 35, 19, 11, 22, 
2019/11/20, 53, 23, 6, 20, 
2019/11/21, 72, 12, 18, 17, 
2019/11/22, 28, 12, 19, 17, 
2019/11/23, 37, 18, 8, 14, 
2019/11/24, 54, 15, 11, 13, 
2019/11/25, 33, , 13, 11, 
2019/11/26, 11, 5, 20, 6, 
2019/11/27, 5, 8, 22, 9, 
2019/11/28, 10, 14, 1, 20, 
2019/11/29, 17, 28, 1, 25, 
2019/11/30, 68, 22, 1, 16, 
2019/12/1, 55, 22, 1, 24, 
2019/12/2, 53, 35, 1, 30, 
2019/12/3, 77, 38, , 30, 
2019/12/4, 86, 36, 3, 18, 
2019/12/5, 88, 14, 13, 9, 
2019/12/6, 38, 12, 19, 10, 
2019/12/7, 12, 11, 27, 4, 
2019/12/8, 14, 10, 27, 7, 
2019/12/9, 8, 15, 15, 13, 
2019/12/10, 21, 12, 13, 14, 
2019/12/11, 34, 6, 2, 10, 
2019/7/1, 15, 14, 31, 9, 
2019/7/2, 23, 15, 31, 9, 
2019/7/3, 21, 15, 35, 13, 
2019/7/4, 25, 23, 43, 16, 
2019/7/5, 42, 17, 40, 11, 
2019/7/6, 38, 10, 28, 6, 
2019/7/7, 14, 11, 29, 9, 
2019/7/8, 43, 11, 17, 15, 
2019/7/10, 48, 17, 39, 10, 
2019/7/11, 32, 13, 32, 9, 
2019/7/12, 28, 8, 29, 7, 
2019/7/13, 19, 7, 25, 4, 
