date, pm25, pm10, o3, no2, so2, co
2019/10/1, 115, 92, , 45, 14, 
2019/10/2, 138, 101, , 51, 15, 
2019/10/3, 143, 76, , 43, 14, 
2019/10/4, 122, 63, , 40, 14, 
2019/10/5, 106, 64, , 40, 15, 
2019/10/6, 100, 91, , 49, 14, 
2019/10/7, 138, 101, , 54, 16, 
2019/10/8, 146, 110, , 45, 21, 
2019/10/9, 147, 109, 8, 109, 4, 11
2019/10/10, 153, 130, 13, 105, 6, 12
2019/10/11, 159, 113, 13, 103, 7, 11
2019/10/12, 148, 83, 9, 74, 4, 8
2019/10/13, 124, 109, 15, 79, 6, 8
2019/10/14, 129, 118, 17, 84, 7, 14
2019/10/15, 138, 121, 13, 83, 7, 
2019/10/16, 145, 107, 13, 70, 5, 
2019/10/17, 141, , , , , 
2019/11/6, 131, 110, , , , 
2019/11/7, 136, 106, , , , 
2019/11/8, 144, 114, , , , 
2019/11/9, 149, 91, , , , 
2019/11/10, 132, 103, 10, 81, 29, 11
2019/11/11, 135, 103, 13, 72, 5, 8
2019/11/12, 134, 98, 12, 55, 5, 6
2019/11/13, 138, , , , , 
2019/11/26, 128, 82, 12, 62, 4, 9
2019/11/27, 110, 98, 11, 90, 3, 13
2019/11/28, 103, 115, 9, 87, 5, 12
2019/11/29, 141, 129, 6, 98, 12, 16
2019/11/30, 154, , 8, 79, 20, 17
2019/12/5, 20, , , , , 
2019/8/19, 141, 74, , 46, 8, 
2019/8/20, 113, 140, , 67, 9, 
2019/8/21, 164, 138, , 70, 9, 
2019/8/22, 154, 143, , 70, 9, 
2019/8/23, 164, 112, , 50, 7, 
2019/8/24, 150, 65, , 40, 5, 
2019/8/25, 115, 68, , 42, 6, 12
2019/8/26, 113, 103, , 66, 8, 
2019/8/27, 152, 162, , 79, 9, 
2019/8/28, 180, , , , , 
2019/9/16, 128, 104, , 71, 11, 
2019/9/17, 150, 76, , 61, 11, 
2019/9/18, 116, 86, , 53, 11, 
2019/9/19, 141, , , , , 
2019/9/24, 141, 114, , 50, 15, 
2019/9/25, 140, 102, , 42, 11, 
2019/9/26, 137, 98, , 40, 14, 
2019/9/27, 132, 108, , 39, 14, 
2019/9/28, 147, 92, , 36, 13, 
2019/9/29, 131, 81, , 35, 12, 
2019/9/30, 119, 78, , 36, 11, 
2019/4/1, 78, , 18, 37, 7, 25
2019/4/2, 92, , 20, 40, 12, 26
2019/4/3, 89, , 15, 40, 14, 26
2019/4/4, 93, , 11, 43, 12, 29
2019/4/5, 86, , 21, , , 30
2019/4/6, 79, , 21, , , 34
2019/4/7, 86, , 36, , , 24
2019/4/8, 89, , 17, , , 8
2019/4/9, 74, , 23, , , 6
2019/4/10, 81, , 35, , , 10
2019/4/11, 91, , 29, , , 12
2019/4/12, 104, , 26, , , 10
2019/4/13, 84, , 33, , , 11
2019/4/14, 90, , 16, , , 10
2019/4/15, 89, , 23, , , 15
2019/4/16, 106, , 22, , , 13
2019/4/17, 91, , 20, , , 10
2019/4/18, 78, , 25, , , 7
2019/4/19, 72, , 31, , , 10
2019/4/20, 89, , 26, , , 10
2019/4/21, 79, , 18, , , 10
2019/4/22, 77, , 22, , , 11
2019/4/23, 79, , 13, , , 14
2019/4/24, 110, , 15, , , 14
2019/4/25, 95, , 27, , , 13
2019/4/26, 94, , 30, , , 13
2019/4/27, 103, , 26, 4, , 13
2019/4/28, 110, , 16, , , 13
2019/4/29, 98, , 30, , , 19
2019/4/30, 121, , 29, , , 18
2019/5/1, 102, , 18, , , 14
2019/5/2, 87, , 18, , , 11
2019/5/3, 76, , 27, 5, , 15
2019/5/4, 95, , 25, , , 17
2019/5/5, 99, , 15, , , 15
2019/5/6, 98, , 9, , , 12
2019/5/7, 91, , 15, , , 11
2019/5/8, 77, , 10, 6, , 13
2019/5/9, 78, , 11, , , 14
2019/5/10, 110, , 12, , , 16
2019/5/11, 87, , 39, , , 20
2019/5/12, 113, , 26, , , 19
2019/5/13, 113, , 23, , , 17
2019/5/14, 108, , 17, 5, , 15
2019/5/15, 122, , 10, , , 15
2019/5/16, 124, , 6, , , 14
2019/5/17, 139, , , , , 
2019/5/23, 127, , 8, , , 15
2019/5/24, 68, , 8, 5, , 16
2019/5/25, 101, , 12, 4, , 15
2019/5/26, 89, , 16, 9, , 15
2019/5/27, 135, , 11, 5, , 16
2019/5/28, 121, , 15, 6, , 21
2019/5/29, 158, , 18, 6, , 19
2019/5/30, 153, , 10, 5, , 18
2019/5/31, 101, , 10, , , 17
2019/6/1, 101, , 23, 8, , 19
2019/6/2, 153, , 6, , , 21
2019/6/3, 132, , 7, , , 18
2019/6/4, 82, , 7, , , 19
2019/6/5, 102, 47, 7, 48, 15, 16
2019/6/6, 111, 115, , 67, 15, 
2019/6/7, 169, 198, , 83, 19, 
2019/6/8, 201, 154, , 77, 19, 
2019/6/9, 190, 122, , 57, 17, 
2019/6/10, 165, 119, , 49, 19, 
2019/6/11, 159, 66, , 39, 14, 
2019/6/12, 100, 94, , 43, 16, 
2019/6/13, 132, 90, , 55, 15, 
2019/6/14, 134, 96, , 54, 15, 
2019/6/15, 145, 87, , 48, 16, 
2019/6/16, 146, 87, , 51, 16, 
2019/6/17, 142, 68, , 45, 15, 
2019/6/18, 115, 50, , , , 
2019/6/19, 93, 67, , , , 
2019/6/20, 115, 96, , , , 
2019/6/21, 157, , , , , 
2019/2/26, 427, , 12, 39, 16, 24
2019/2/27, 486, 25, 17, 46, , 26
2019/3/27, 68, , 19, 46, 8, 26
2019/3/28, 84, , 17, 38, 8, 27
2019/3/29, 97, , 30, 50, 13, 30
2019/3/30, 102, , 22, 45, 15, 28
2019/3/31, 80, , 22, 33, 16, 27
2018/10/1, 109, 104, 15, 46, 9, 18
2018/10/2, 118, 121, 23, 62, 13, 21
2018/10/3, 92, 88, 22, 56, 6, 17
2018/10/4, 110, 104, 35, 62, 8, 18
2018/10/5, 116, 93, 15, 48, 6, 17
2018/10/6, 105, 72, 19, 49, 6, 17
2018/10/7, 58, 45, 11, 31, 4, 16
2018/10/8, 82, 74, 22, 43, 6, 16
2018/10/9, 96, 85, 19, 52, 6, 17
2018/10/10, 110, 68, 14, 37, 6, 15
2018/10/11, 98, 51, 16, 36, 5, 15
2018/10/12, 75, 57, 15, 42, 5, 15
2018/10/13, 89, 56, 12, 41, 4, 17
2018/10/14, 85, 57, 14, 47, 5, 17
2018/10/15, 93, 78, 20, 53, 6, 17
2018/10/16, 108, 67, 17, 49, 5, 17
2018/10/17, 92, 60, 23, 54, 5, 17
2018/10/18, 83, 69, 18, 51, 6, 17
2018/10/19, 91, 66, 24, 50, 6, 17
2018/10/20, 91, 55, 24, 45, 4, 17
2018/10/21, 79, 73, 18, 54, 8, 17
2018/10/22, 119, 59, 19, 45, 6, 17
2018/10/23, 92, 82, 20, 50, 8, 
2018/10/24, 133, 79, 25, 54, 7, 17
2018/10/25, 101, 100, 18, 50, 8, 17
2018/10/26, 116, 92, 26, 47, 7, 17
2018/10/27, 103, 79, 26, 37, 6, 17
2018/10/28, 97, 81, 19, 44, 6, 17
2018/10/29, 94, 102, 25, 45, 8, 17
2018/10/30, 103, 118, 22, 56, 14, 17
2018/10/31, 109, 93, 22, 39, 11, 17
2018/11/1, 104, 86, 19, 34, 9, 17
2018/11/2, 89, 98, 24, 42, 13, 17
2018/11/3, 112, 77, 23, 29, 11, 17
2018/11/4, 93, 85, 18, 38, 12, 17
2018/11/5, 103, 82, 20, 41, 11, 17
2018/11/6, 96, 84, 21, 47, 13, 17
2018/11/7, 106, 74, 16, 37, 11, 17
2018/11/8, 87, 81, 18, 43, 15, 17
2018/11/9, 90, 82, 19, 40, 17, 17
2018/11/10, 108, 76, 19, 34, 19, 
2018/11/11, 101, 75, 16, 38, 19, 
2018/11/12, 93, 87, 20, 46, 19, 
2018/11/13, 111, 58, 19, 49, 13, 
2018/11/14, 79, 72, 14, 47, 13, 
2018/11/15, 86, 76, 16, 47, 13, 
2018/11/16, 102, 86, 20, 52, 17, 
2018/11/17, 125, 56, 24, 36, 15, 
2018/11/18, 80, 73, 23, 46, 17, 
2018/11/19, 106, 77, 22, 54, 20, 
2018/11/20, 107, 72, 19, 45, 18, 
2018/11/21, 105, 71, 17, 43, 23, 
2018/11/22, 102, 74, 19, 45, 24, 
2018/11/23, 108, 77, 17, 47, 26, 
