date, pm25, pm10, o3, no2, so2
2020/1/2, 19, 14, 32, 1, 1
2020/1/3, 30, 8, 29, 5, 1
2020/1/4, 19, 2, 30, 1, 1
2020/1/5, 7, 7, 29, 2, 4
2020/1/6, 17, 7, 25, 3, 2
2020/1/7, 19, 19, 28, 10, 1
2020/1/8, 47, 5, 25, 7, 2
2020/1/9, 13, 8, 28, 7, 1
2020/1/10, 18, 2, 31, 2, 3
2020/1/11, 6, 6, 27, 7, 1
2020/1/12, 17, 7, 29, 4, 2
2020/1/13, 18, 6, 30, 5, 2
2020/1/14, 15, 9, 29, 4, 2
2020/1/15, 20, 7, 23, 3, 1
2020/1/16, 19, , , , 
2019/10/1, 12, 5, 21, 12, 
2019/10/2, 13, 9, 18, 10, 
2019/10/3, 26, 6, 20, 7, 
2019/10/4, 17, 11, 16, 10, 
2019/10/5, 29, 9, 23, 4, 
2019/10/6, 20, 9, 19, 4, 
2019/10/7, 24, 12, 25, 3, 
2019/10/8, 26, 9, 23, 3, 
2019/10/9, 19, 8, 23, 3, 
2019/10/10, 19, 7, 25, 5, 
2019/10/11, 16, 7, 16, 6, 
2019/10/12, 17, 6, 21, 6, 
2019/10/13, 19, 8, 13, 10, 1
2019/10/14, 22, 7, 18, 9, 1
2019/10/15, 22, 8, 24, 7, 1
2019/10/16, 18, 6, 21, 5, 2
2019/10/17, 17, 4, 20, 8, 1
2019/10/18, 11, 4, 22, 8, 
2019/10/19, 12, 6, 22, 6, 
2019/10/20, 13, 5, 20, 10, 1
2019/10/21, 13, 6, 20, 9, 2
2019/10/22, 17, 12, 19, 7, 6
2019/10/23, 39, 11, 18, 6, 3
2019/10/24, 32, 5, 13, 13, 3
2019/10/25, 16, 4, 25, 11, 3
2019/10/26, 11, 9, 28, 5, 3
2019/10/27, 17, 10, 19, 17, 4
2019/10/28, 27, 8, 20, 15, 4
2019/10/29, 21, 13, 21, 10, 4
2019/10/30, 38, 24, 16, 13, 4
2019/10/31, 67, 8, 14, 11, 5
2019/11/1, 27, 9, 24, 12, 5
2019/11/2, 27, 22, 19, 15, 5
2019/11/3, 63, 13, 13, 14, 6
2019/11/4, 42, 18, 18, 13, 6
2019/11/5, 42, 29, 7, 17, 6
2019/11/6, 81, 8, 17, 15, 6
2019/11/7, 27, 8, 23, 12, 6
2019/11/8, 20, 9, 20, 11, 6
2019/11/9, 32, 8, 22, 12, 7
2019/11/10, 23, 13, 29, 3, 7
2019/11/11, 28, 14, 30, 4, 7
2019/11/12, 25, 8, 22, 11, 8
2019/11/13, 20, 8, 17, 11, 6
2019/11/14, 23, 6, 20, 10, 2
2019/11/15, 15, 7, 17, 12, 2
2019/11/16, 22, 7, 9, 13, 2
2019/11/17, 25, 11, 11, 22, 3
2019/11/18, 37, 20, 4, 20, 3
2019/11/19, 63, 13, 17, 11, 2
2019/11/20, 44, 21, 16, 9, 2
2019/11/21, 66, 13, 16, 14, 
2019/11/22, 44, 13, 14, 15, 
2019/11/23, 45, 22, 3, 15, 
2019/11/24, 67, 11, 12, 12, 
2019/11/25, 35, 8, 18, 10, 
2019/11/26, 22, 14, 17, 15, 
2019/11/27, 41, 8, 20, 13, 
2019/11/28, 19, 16, 6, 30, 
2019/11/29, 43, 21, 8, 23, 
2019/11/30, 63, 14, 14, 22, 
2019/12/1, 46, 7, 17, 15, 
2019/12/2, 22, 16, 13, 21, 
2019/12/3, 43, 11, 18, 11, 1
2019/12/4, 38, 5, 29, 6, 
2019/12/5, 12, 6, 27, 4, 1
2019/12/6, 12, 6, 25, 5, 1
2019/12/7, 14, 9, 32, 3, 
2019/12/8, 21, 16, 28, 6, 1
2019/12/9, 33, 8, 27, 5, 3
2019/12/10, 20, 8, 24, 9, 3
2019/12/11, 18, 6, 22, 10, 2
2019/12/12, 20, 12, 27, 5, 1
2019/12/13, 27, 11, 33, 3, 1
2019/12/14, 25, 4, 30, 6, 2
2019/12/15, 11, 8, 27, 14, 3
2019/12/16, 22, 13, 6, 23, 1
2019/12/17, 45, 9, 17, 12, 1
2019/12/18, 33, 6, 25, 9, 1
2019/12/19, 17, 6, 24, 8, 2
2019/12/20, 17, 9, 20, 10, 2
2019/12/21, 32, 8, 23, 8, 2
2019/12/22, 24, 10, 24, 4, 2
2019/12/23, 25, 7, 26, 3, 2
2019/12/24, 20, 14, 25, 6, 1
2019/12/25, 35, 10, 19, 6, 1
2019/12/26, 38, 14, 12, 8, 1
2019/12/27, 52, 10, 18, 3, 1
2019/12/28, 37, , , , 
2019/7/1, 10, 14, 24, 2, 
2019/7/2, 12, 15, 27, 4, 
2019/7/3, 16, 12, 21, 4, 
2019/7/4, 15, 10, 23, 4, 
2019/7/5, 13, 10, 23, 4, 
2019/7/6, 16, 13, 26, 3, 1
2019/7/7, 17, 16, 30, 7, 
2019/7/8, 39, 14, 21, 7, 
2019/7/9, 30, 10, 19, 6, 
2019/7/10, 13, 8, 19, 5, 
2019/7/11, 16, 8, 20, 4, 
2019/7/12, 14, 11, 21, 3, 
2019/7/13, 12, 12, 23, 6, 1
2019/7/14, 23, 14, 35, 6, 1
2019/7/15, 32, 14, 35, 6, 
2019/7/16, 26, 14, 23, 6, 1
2019/7/17, 24, 9, 24, 3, 1
2019/7/18, 10, 10, 20, 6, 1
2019/7/19, 15, 9, 21, 4, 1
2019/7/20, 14, 7, 19, 3, 1
2019/7/21, 9, 9, 14, 3, 
2019/7/22, 9, 11, 43, 5, 
2019/7/23, 29, , 30, 7, 
2019/7/24, 45, 23, 39, 9, 
2019/7/26, 16, 9, 18, 5, 
2019/7/27, 12, 6, 21, 3, 
2019/7/28, 7, 10, 23, 7, 
2019/7/29, 18, 14, 28, 8, 
2019/7/30, 26, 18, 24, 4, 
2019/7/31, 24, 18, 26, 4, 
2019/8/1, 23, 13, 35, 8, 
2019/8/2, 26, 17, 34, 6, 
2019/8/3, 42, 16, 29, 5, 
2019/8/4, 34, 10, 23, 3, 
2019/8/5, 16, 12, 24, 3, 3
2019/8/6, 16, , 24, 3, 
2019/8/7, 13, 12, 31, 6, 1
2019/8/8, 18, 10, 24, 6, 4
2019/8/9, 19, 10, 26, 3, 1
2019/8/10, 12, 10, 24, 3, 
2019/8/11, 10, 12, 26, 3, 
2019/8/12, 9, 9, 28, 5, 
2019/8/13, 9, 7, 17, 5, 
2019/8/14, 15, 12, 28, 3, 
2019/8/15, 14, 8, 17, 2, 1
2019/8/16, 11, 14, 27, 1, 1
2019/8/17, 18, 13, 25, 1, 
2019/8/18, 16, 15, 24, 2, 
2019/8/19, 17, 10, 28, 2, 
2019/8/20, 29, 6, 17, 3, 
2019/8/21, 16, 4, 21, 1, 
2019/8/22, 12, 5, 21, 6, 2
2019/8/23, 12, 15, 47, 6, 1
2019/8/24, 36, 22, 45, 7, 
2019/8/25, 57, 21, 34, 5, 6
2019/8/26, 64, 17, 21, 6, 1
2019/8/27, 50, 5, 23, 4, 
2019/8/28, 15, 9, 24, 3, 
2019/8/29, 20, 13, 22, 3, 
2019/8/30, 33, , , , 
2019/9/1, 19, 6, 24, 3, 
2019/9/2, 15, 3, 24, 2, 1
2019/9/3, 6, 10, 25, 1, 
2019/9/4, 19, 12, 27, 2, 
2019/9/5, 22, 9, 21, 2, 
2019/9/6, 20, 6, 24, 5, 
2019/9/7, 14, 7, 26, 7, 
2019/9/8, 22, 5, 16, 6, 1
2019/9/9, 15, 7, 21, 3, 
2019/9/10, 16, 7, 21, 3, 
2019/9/11, 16, 7, 21, 3, 
2019/9/12, 16, 10, 25, 6, 
2019/9/13, 23, 9, 29, 6, 
2019/9/14, 25, 6, 26, 3, 
2019/9/15, 18, 6, 29, 6, 
2019/9/16, 16, 9, 25, 5, 
2019/9/17, 20, 14, 21, 10, 
2019/9/18, 30, 14, 24, 15, 2
2019/9/19, 36, 19, 20, 12, 
2019/9/20, 47, 17, 34, 8, 
2019/9/21, 38, 14, 22, 8, 
2019/9/22, 42, 5, 19, 4, 
2019/9/23, 13, 6, 16, 5, 
2019/9/24, 15, 6, 18, 4, 
2019/9/25, 17, 7, 20, 3, 
2019/9/26, 16, 5, 21, 4, 1
2019/9/27, 13, 5, 21, 2, 
2019/9/28, 10, 5, 21, 3, 
2019/9/29, 12, 5, 16, 7, 
2019/9/30, 13, 5, 21, 8, 1
2019/4/1, 38, 9, 34, 4, 
2019/4/2, 12, 8, 31, 7, 
2019/4/3, 17, 14, 29, 9, 1
2019/4/4, 40, 12, 28, 9, 1
2019/4/5, 34, 25, 37, 9, 1
2019/4/6, 75, 30, 30, 8, 
2019/4/7, 84, 43, 34, 8, 1
2019/4/8, 93, 26, 39, 6, 
2019/4/9, 57, 20, 33, 6, 
2019/4/10, 35, 19, 36, 9, 1
2019/4/11, 40, 15, 36, 5, 
2019/4/12, 45, 14, 39, 4, 
2019/4/13, 34, 14, 37, 3, 
2019/4/14, 35, 32, 37, 4, 1
2019/4/15, 77, 52, 19, 17, 1
2019/4/16, 128, 43, 40, 9, 1
2019/4/17, 96, 52, 38, 11, 1
2019/4/18, 127, 42, 55, 12, 1
2019/4/19, 101, 32, 63, 13, 2
2019/4/20, 99, 31, 59, 10, 2
2019/4/21, 90, 30, 66, 8, 2
2019/4/22, 86, 43, 40, 11, 3
2019/4/23, 87, 38, 34, 9, 2
2019/4/24, 75, 10, 32, 5, 2
2019/4/25, 16, 9, 30, 4, 2
2019/4/26, 12, 10, 31, 1, 2
2019/4/27, 11, 18, 30, 4, 1
2019/4/28, 19, 11, 30, 6, 
2019/4/29, 45, 25, 36, 8, 1
2019/4/30, 64, 19, 30, 8, 1
2019/5/1, 39, 10, 32, 4, 1
2019/5/2, 12, 11, 33, 4, 1
