date, pm25, pm10, o3, no2, so2, co
2020/1/2, 139, 47, , 10, 13, 5
2020/1/3, 129, 22, , 4, 3, 3
2020/1/4, 66, 35, , 7, 6, 6
2020/1/5, 91, 49, , 8, 9, 6
2020/1/6, 131, 54, , 13, 9, 7
2020/1/7, 136, 40, , 9, 9, 5
2020/1/8, 107, 34, , 9, 5, 5
2020/1/9, 99, 41, , 9, 7, 6
2020/1/10, 116, 23, , 5, 3, 4
2020/1/11, 70, 29, , 5, 7, 4
2020/1/12, 85, 38, 15, 10, 8, 5
2020/1/13, 105, 42, 15, 10, 4, 4
2020/1/14, 114, 35, 22, 8, 4, 4
2020/1/15, 94, 28, 18, 6, 3, 4
2020/1/16, 83, , , , , 
2019/10/1, 34, 18, , 6, 3, 3
2019/10/2, 51, 28, , 8, 3, 4
2019/10/3, 72, 23, , 6, 1, 4
2019/10/4, 61, 19, , 4, 1, 3
2019/10/5, 54, 33, , 4, 2, 6
2019/10/6, 86, 46, , 13, 4, 7
2019/10/7, 118, 30, , 10, 6, 5
2019/10/8, 78, 23, , 8, 5, 4
2019/10/9, 57, 24, , 7, 5, 4
2019/10/10, 68, 19, , 5, 5, 3
2019/10/11, 49, 18, , 4, 5, 3
2019/10/12, 44, 20, , 5, 3, 4
2019/10/13, 52, 35, , 12, 4, 6
2019/10/14, 77, 41, , 10, 2, 4
2019/10/15, 91, 26, , 7, 8, 3
2019/10/16, 63, 25, , 13, 2, 4
2019/10/17, 57, 32, , 11, 2, 4
2019/10/18, 71, 40, , 11, 3, 4
2019/10/19, 93, 37, , 10, 3, 5
2019/10/20, 94, 47, , 15, 3, 6
2019/10/21, 97, 66, , 12, 2, 10
2019/10/22, 145, 38, , 6, 1, 4
2019/10/23, 93, 41, , 8, 1, 5
2019/10/24, 102, 56, , 12, 3, 7
2019/10/25, 139, 38, , 9, 3, 6
2019/10/26, 91, 23, , 4, 2, 4
2019/10/27, 56, 23, , 6, 1, 4
2019/10/28, 63, 45, , 11, 2, 7
2019/10/29, 117, 68, , 12, 4, 13
2019/10/30, 155, 84, , 14, 5, 15
2019/10/31, 180, 77, , 9, 4, 16
2019/11/1, 168, 36, , 6, 6, 4
2019/11/2, 101, 23, , 6, 3, 4
2019/11/3, 70, 26, , 8, 8, 4
2019/11/4, 77, 30, , 11, 10, 5
2019/11/5, 79, 34, , 10, 13, 5
2019/11/6, 90, 42, , 15, 3, 6
2019/11/7, 106, 32, , 9, 2, 4
2019/11/8, 89, 30, , 8, 5, 4
2019/11/9, 87, 36, , 7, 3, 5
2019/11/10, 105, 39, , 8, 3, 5
2019/11/11, 109, 29, , 10, 2, 5
2019/11/12, 83, 41, , 10, 2, 6
2019/11/13, 112, 21, , 6, 2, 3
2019/11/14, 66, 27, , 5, 1, 4
2019/11/15, 79, 30, , 7, 2, 4
2019/11/16, 80, 31, , 6, 3, 5
2019/11/17, 84, 27, , 7, 2, 4
2019/11/18, 70, 23, , 11, 2, 3
2019/11/19, 61, 29, , 6, 1, 3
2019/11/20, 83, 20, , 3, 1, 3
2019/11/21, 61, 21, , 5, 2, 3
2019/11/22, 63, 28, , 5, 2, 3
2019/11/23, 77, 29, , 4, 1, 3
2019/11/24, 87, 29, , 6, 1, 4
2019/11/25, 86, 32, , 9, 2, 5
2019/11/26, 93, 38, , 12, 3, 6
2019/11/27, 104, 30, , 10, 3, 5
2019/11/28, 85, 18, , 5, 5, 3
2019/11/29, 54, 32, , 7, 4, 4
2019/11/30, 84, 48, , 8, 6, 5
2019/12/1, 128, 45, , 11, 6, 5
2019/12/2, 122, 40, , 9, 5, 5
2019/12/3, 110, 40, , 10, 7, 5
2019/12/4, 115, 39, , 9, 5, 5
2019/12/5, 108, 47, , 9, 4, 5
2019/12/6, 130, 31, , 6, 6, 4
2019/12/7, 91, 18, , 4, 5, 4
2019/12/8, 57, 31, , 9, 7, 5
2019/12/9, 90, 35, , 10, 5, 6
2019/12/10, 96, 38, , 14, 5, 5
2019/12/11, 103, 47, , 15, 5, 5
2019/12/12, 125, 31, , 10, 3, 5
2019/12/13, 93, 26, , 7, 5, 4
2019/12/14, 77, 23, , 5, 7, 4
2019/12/15, 69, 33, , 14, 4, 5
2019/12/16, 89, 46, , 16, 4, 6
2019/12/17, 120, 41, , 12, 6, 6
2019/12/18, 102, 52, , 10, 3, 8
2019/12/19, 136, 29, , 9, 3, 4
2019/12/20, 77, 49, , 9, 5, 7
