date, pm25
2020/1/3, 9
2020/1/4, 15
2020/1/5, 9
2020/1/6, 12
2020/1/7, 9
2020/1/8, 16
2020/1/9, 16
2020/1/10, 27
2020/1/11, 17
2020/1/12, 14
2020/1/13, 19
2020/1/14, 20
2020/1/15, 21
2019/10/1, 21
2019/10/3, 17
2019/10/4, 18
2019/10/5, 24
2019/10/6, 20
2019/10/7, 10
2019/10/8, 19
2019/10/9, 20
2019/10/10, 18
2019/10/11, 8
2019/10/12, 8
2019/10/13, 16
2019/10/14, 16
2019/10/15, 15
2019/10/16, 16
2019/10/17, 21
2019/10/18, 20
2019/10/19, 10
2019/10/20, 16
2019/10/21, 14
2019/10/22, 15
2019/10/23, 15
2019/10/24, 9
2019/10/25, 9
2019/10/26, 11
2019/10/27, 11
2019/10/28, 12
2019/10/29, 11
2019/10/30, 10
2019/10/31, 11
2019/11/1, 10
2019/11/2, 11
2019/11/3, 17
2019/11/4, 18
2019/11/5, 28
2019/11/6, 37
2019/11/7, 15
2019/11/8, 32
2019/11/9, 30
2019/11/10, 37
2019/11/11, 14
2019/11/12, 9
2019/11/13, 12
2019/11/14, 9
2019/11/15, 14
2019/11/16, 17
2019/11/17, 13
2019/11/18, 16
2019/11/19, 22
2019/11/20, 28
2019/11/21, 30
2019/11/22, 16
2019/11/23, 18
2019/11/24, 12
2019/11/25, 7
2019/11/26, 15
2019/11/27, 6
2019/11/28, 10
2019/11/29, 17
2019/11/30, 16
2019/12/1, 11
2019/12/2, 14
2019/12/3, 9
2019/12/4, 8
2019/12/5, 10
2019/12/6, 6
2019/12/7, 10
2019/12/8, 10
2019/12/9, 5
2019/12/10, 5
2019/12/11, 14
2019/12/12, 14
2019/12/13, 15
2019/12/14, 8
2019/12/15, 15
2019/12/16, 10
2019/12/17, 18
2019/12/18, 10
2019/12/19, 11
2019/12/20, 4
2019/12/21, 9
2019/12/22, 10
2019/12/23, 11
2019/12/24, 9
2019/12/25, 6
2019/12/26, 6
2019/12/27, 11
2019/12/28, 13
2019/7/1, 51
2019/7/2, 41
2019/7/3, 35
2019/7/10, 42
2019/7/11, 36
2019/7/12, 26
2019/7/13, 28
2019/7/14, 29
2019/7/15, 30
2019/7/16, 36
2019/7/17, 34
2019/7/18, 36
2019/7/19, 35
2019/7/20, 37
2019/7/21, 38
2019/7/22, 22
2019/7/23, 24
2019/7/24, 23
2019/7/25, 28
2019/7/26, 32
2019/7/27, 34
2019/7/28, 44
2019/7/29, 36
2019/7/30, 39
2019/7/31, 38
2019/8/1, 49
2019/8/2, 40
2019/8/3, 33
2019/8/4, 37
2019/8/5, 37
2019/8/6, 30
2019/8/7, 36
2019/8/8, 37
2019/8/9, 40
2019/8/10, 36
2019/8/11, 33
