date, pm25, pm10, o3, no2, so2, co
2020/1/1, 163, , , 34, , 
2020/1/2, 154, , , , , 
2020/1/6, 95, , , 43, , 
2020/1/7, 144, , , 34, , 
2020/1/8, 151, , , 43, , 
2020/1/9, 134, 33, , 36, , 
2020/1/10, 85, 36, , 32, , 
2020/1/11, 93, 37, , 40, , 
2020/1/12, 89, 45, , 42, , 
2020/1/13, 107, 22, , 27, , 
2020/1/14, 63, , , , , 
2019/10/1, 42, 18, , 24, , 
2019/10/2, 30, 12, , 17, , 
2019/10/3, 25, 13, , 34, , 
2019/10/4, 34, 14, , 28, , 
2019/10/5, 34, 19, , 21, , 
2019/10/6, 50, 10, , 23, , 
2019/10/7, 34, 21, , 27, , 
2019/10/8, 50, , , 22, , 
2019/10/10, 34, 25, , 34, , 
2019/10/11, 46, 22, , 25, , 
2019/10/12, 50, 17, , 21, , 
2019/10/13, 42, 23, , 24, , 
2019/10/14, 46, 37, , 18, , 
2019/10/15, 57, 30, , 26, , 
2019/10/16, 25, 19, , 27, , 
2019/10/17, 34, 17, , 36, , 
2019/10/18, 38, 16, , 11, , 
2019/10/19, 30, 13, , 5, , 
2019/10/20, 34, 21, , 21, , 
2019/10/21, 46, 27, , 34, , 
2019/10/22, 53, 27, , 35, , 
2019/10/23, 59, 16, , 21, , 
2019/10/24, 42, 19, , 28, , 
2019/10/25, 42, 26, , 27, , 
2019/10/26, 61, 25, , 33, , 
2019/10/27, 61, 25, , 30, , 
2019/10/28, 63, 19, , 18, , 
2019/10/29, 50, 12, , 20, , 
2019/10/30, 38, 11, , 13, , 
2019/10/31, 34, 10, , 22, , 
2019/11/1, 25, 10, , 22, , 
2019/11/2, 25, 10, , 13, , 
2019/11/3, 25, 38, , 6, , 
2019/11/4, 30, 24, , 12, , 
2019/11/5, 21, 14, , 27, , 
2019/11/6, 17, 10, , 21, , 
2019/11/7, 25, 10, , 21, , 
2019/11/8, 13, 15, , 25, , 
2019/11/9, 46, 14, , 16, , 
2019/11/10, 46, 7, , 9, , 
2019/11/11, 17, 14, , 28, , 
2019/11/12, 34, 18, , 31, , 
2019/11/13, 50, 13, , 22, , 
2019/11/14, 25, 10, , 35, , 
2019/11/15, 30, 7, , 19, , 
2019/11/16, 21, 11, , 7, , 
2019/11/17, 13, 10, , 19, , 
2019/11/18, 17, 7, , 8, , 
2019/11/19, 17, 14, , 31, , 
2019/11/20, 34, 10, , 29, , 
2019/11/21, 30, 10, , 11, , 
2019/11/22, 30, 11, , 5, , 
2019/11/23, 25, 20, , 24, , 
2019/11/24, 53, 28, , 33, , 
2019/11/25, 61, 37, , 29, , 
2019/11/26, 78, 22, , 23, , 
2019/11/27, 50, 35, , 10, , 
2019/11/28, 34, 40, , 31, , 
2019/11/29, 53, 33, , 30, , 
2019/11/30, 63, 17, , 17, , 
2019/12/1, 46, 22, , 29, , 
2019/12/2, 46, 12, , 23, , 
2019/12/3, 34, 20, , 40, , 
2019/12/4, 55, 35, , 37, , 
2019/12/5, 85, 23, , 34, , 
2019/12/6, 63, 31, , 29, , 
2019/12/7, 78, 27, , 23, , 
2019/12/8, 72, 29, , 28, , 
2019/12/9, 57, 36, , 35, , 
2019/12/10, 68, 29, , 36, , 
2019/12/11, 68, 14, , 24, , 
2019/12/12, 50, 20, , 28, , 
2019/12/13, 25, 25, , 28, , 
2019/12/14, 53, 36, , 31, , 
2019/12/15, 57, 17, , , , 
2019/12/16, 38, 25, , 11, , 
2019/12/17, 42, 27, , 38, , 
2019/12/18, 59, 32, , 29, , 
2019/12/19, 70, 23, , 16, , 
2019/12/20, 42, 26, , 8, , 
2019/12/21, 25, 45, , 30, , 
2019/12/22, 50, , , 23, , 
2019/12/23, 34, 33, , 31, , 
2019/12/24, 59, 32, , 30, , 
2019/12/25, 72, 38, , 34, , 
2019/12/26, 89, , , , , 
2019/7/1, 50, 19, , 17, , 
2019/7/2, 53, 20, , 25, , 
2019/7/3, 57, 20, , 23, , 
2019/7/4, 55, 19, , 22, , 
2019/7/5, 50, 20, , 25, , 
2019/7/6, 50, 23, , 18, , 
2019/7/7, 55, 25, , 19, , 
2019/7/8, 57, 27, , 16, , 
2019/7/9, 55, 20, , 21, , 
2019/7/10, 46, 13, , 18, , 
2019/7/11, 38, 17, , 25, , 
2019/7/12, 38, 20, , 11, , 
2019/7/13, 46, 10, , 15, , 
2019/7/14, 30, 8, , 17, , 
2019/7/15, 21, 11, , 22, , 
2019/7/16, 34, 12, , 26, , 
2019/7/17, 38, 16, , 22, , 
2019/7/18, 42, 18, , 25, , 
2019/7/19, 46, 19, , 23, , 
2019/7/20, 53, 16, , 21, , 
2019/7/21, 46, 18, , 29, , 
2019/7/22, 50, 22, , 22, , 
2019/7/23, 59, 22, , 20, , 
2019/7/24, 59, 22, , 27, , 
2019/7/25, 61, 20, , 25, , 
2019/7/26, 59, 17, , 22, , 
2019/7/27, 53, 11, , 14, , 
2019/7/28, 21, 28, , 15, , 
2019/7/29, 34, 18, , 18, , 
2019/7/30, 42, 20, , 11, , 
2019/7/31, 42, 20, , 23, , 
2019/8/1, 46, 17, , 25, , 
2019/8/2, 42, 18, , 29, , 
2019/8/3, 46, 14, , 24, , 
2019/8/4, 34, 17, , 23, , 
2019/8/5, 46, 16, , 21, , 
2019/8/6, 42, 18, , 19, , 
2019/8/7, 38, 25, , 14, , 
2019/8/8, 53, 25, , 21, , 
2019/8/9, 55, 21, , 23, , 
2019/8/10, 55, 20, , 27, , 
2019/8/11, 50, 21, , 22, , 
2019/8/12, 53, 20, , 20, , 
2019/8/13, 34, 16, , 21, , 
2019/8/14, 30, 16, , 20, , 
2019/8/15, 34, 19, , 19, , 
2019/8/16, 38, 17, , 20, , 
2019/8/17, 42, 17, , 27, , 
2019/8/18, 42, 14, , 25, , 
2019/8/19, 42, 17, , 22, , 
2019/8/20, 42, 18, , 29, , 
2019/8/21, 50, 22, , 25, , 
2019/8/22, 57, 18, , 17, , 
2019/8/23, 53, 20, , 24, , 
2019/8/24, 55, 17, , 23, , 
2019/8/25, 53, 20, , 27, , 
2019/8/26, 55, 24, , 24, , 
2019/8/27, 65, 25, , 22, , 
2019/8/28, 65, 22, , 23, , 
2019/8/29, 61, 23, , 30, , 
2019/8/30, 61, 29, , 33, , 
2019/8/31, 68, 24, , 32, , 
2019/9/1, 65, 24, , 20, , 
2019/9/2, 65, 19, , 24, , 
2019/9/3, 53, 13, , 29, , 
2019/9/4, 34, 16, , 27, , 
2019/9/5, 42, 14, , 18, , 
2019/9/6, 30, 14, , 20, , 
2019/9/7, 42, 25, , 10, , 
2019/9/8, 30, 16, , 22, , 
2019/9/9, 21, 14, , 22, , 
2019/9/10, 25, 15, , 26, , 
2019/9/11, 38, 17, , 27, , 
2019/9/12, 42, 15, , 36, , 
2019/9/13, 38, 17, , 27, , 
2019/9/14, 46, 15, , 23, , 
2019/9/15, 42, 17, , 28, , 
2019/9/16, 50, 17, , 22, , 
2019/9/17, 50, , , 28, , 
2019/9/19, 46, 12, , 16, , 
2019/9/20, 30, 15, , 27, , 
2019/9/21, 38, 10, , 6, , 
2019/9/22, 25, 12, , 14, , 
2019/9/23, 25, 14, , 22, , 
2019/9/24, 30, 18, , 14, , 
2019/9/25, 25, 19, , 19, , 
2019/9/26, 25, 17, , 26, , 
2019/9/27, 34, 19, , 22, , 
2019/9/28, 34, 16, , 20, , 
2019/9/29, 25, 22, , 25, , 
2019/9/30, 38, 21, , 24, , 
2019/4/1, 68, 23, , 33, , 
2019/4/2, 63, 22, , 17, , 
2019/4/3, 46, 18, , 27, , 
2019/4/4, 42, 12, , 32, , 
2019/4/5, 30, 18, , 33, , 
2019/4/6, 42, , , , , 
2019/4/9, 50, 16, , 32, , 
2019/4/10, 46, 14, , 30, , 
2019/4/11, 46, 12, , 28, , 
2019/4/12, 34, 10, , 14, , 
2019/4/13, 34, 10, , 18, , 
2019/4/14, 34, 15, , 28, , 
2019/4/15, 46, 19, , 28, , 
2019/4/16, 57, 20, , 30, , 
2019/4/17, 59, 20, , 33, , 
2019/4/18, 57, 15, , 40, , 
2019/4/19, 46, 19, , 31, , 
2019/4/20, 57, 17, , 19, , 
2019/4/21, 50, 20, , 17, , 
2019/4/22, 59, 17, , 12, , 
2019/4/23, 38, 29, , 18, , 
2019/4/24, 50, 44, , 30, , 
2019/4/25, 59, 39, , 28, , 
2019/4/26, 46, 15, , 18, , 
2019/4/27, 21, 23, , 11, , 
2019/4/28, 30, 10, , 23, , 
2019/4/29, 25, 11, , 22, , 
2019/4/30, 30, 14, , 14, , 
2019/5/1, 30, 17, , 27, , 
2019/5/2, 42, 20, , 17, , 
2019/5/3, 34, 11, , 8, , 
2019/5/4, 25, 15, , 16, , 
2019/5/5, 21, 10, , 27, , 
2019/5/6, 21, 13, , 27, , 
2019/5/7, 34, 11, , 14, , 
2019/5/8, 25, 14, , 19, , 
2019/5/9, 25, 22, , 17, , 
2019/5/10, 34, 15, , 17, , 
2019/5/11, 34, 6, , 7, , 
2019/5/12, 17, 5, , 17, , 
2019/5/13, 13, 12, , 19, , 
2019/5/14, 38, 10, , 17, , 
2019/5/15, 30, 10, , 28, , 
2019/5/16, 30, 10, , 24, , 
2019/5/17, 30, 9, , 18, , 
2019/5/18, 25, 8, , 11, , 
2019/5/19, 21, 12, , 10, , 
2019/5/20, 17, 19, , 16, , 
2019/5/21, 30, 19, , 21, , 
2019/5/22, 42, 16, , 17, , 
2019/5/23, 42, 16, , 14, , 
2019/5/24, 46, 15, , 15, , 
2019/5/25, 46, 11, , 12, , 
2019/5/26, 38, 8, , 25, , 
2019/5/27, 17, 17, , 14, , 
2019/5/28, 30, 18, , 24, , 
2019/5/29, 38, 10, , 20, , 
2019/5/30, 25, 10, , 21, , 
2019/5/31, 25, 13, , 22, , 
2019/6/1, 38, 12, , 12, , 
2019/6/2, 38, , , , , 
2019/6/4, 38, , , 25, , 
2019/6/6, 38, 19, , 19, , 
2019/6/7, 42, 25, , 19, , 
2019/6/8, 57, 30, , 26, , 
2019/6/9, 59, 40, , 9, , 
2019/6/10, 70, 35, , 13, , 
2019/6/11, 59, 21, , 7, , 
2019/6/12, 42, 15, , 25, , 
2019/6/13, 25, 33, , 21, , 
2019/6/14, 59, 36, , 4, , 
2019/6/15, 53, 24, , 13, , 
2019/6/16, 46, 21, , 15, , 
2019/6/17, 53, 19, , 17, , 
2019/6/18, 53, 17, , 17, , 
2019/6/19, 50, 16, , 24, , 
2019/6/20, 46, 20, , 27, , 
2019/6/21, 53, 21, , 13, , 
2019/6/22, 53, 18, , 16, , 
2019/6/23, 50, 16, , 23, , 
2019/6/24, 46, 20, , 21, , 
2019/6/25, 55, 21, , 24, , 
2019/6/26, 57, 24, , 29, , 
2019/6/27, 63, 23, , 24, , 
2019/6/28, 61, 27, , 23, , 
2019/6/29, 65, 20, , 19, , 
2019/6/30, 55, 18, , 23, , 
2019/1/1, 122, 27, , 25, , 
2019/1/2, 74, 29, , 39, , 
2019/1/3, 78, 38, , 44, , 
2019/1/4, 95, 46, , 40, , 
2019/1/5, 117, 51, , 35, , 
2019/1/6, 127, 56, , 40, , 
2019/1/7, 142, 58, , 36, , 
2019/1/8, 144, 40, , 42, , 
2019/1/9, 93, 29, , 38, , 
2019/1/10, 70, 31, , 36, , 
2019/1/11, 80, 52, , 43, , 
2019/1/12, 127, 54, , 34, , 
2019/1/13, 134, 48, , 27, , 
2019/1/14, 76, 31, , 47, , 
2019/1/15, 72, 28, , 35, , 
2019/1/16, 70, 14, , 24, , 
2019/1/17, 30, 21, , 33, , 
2019/1/18, 42, 15, , 27, , 
2019/1/19, 46, 23, , 36, , 
