date, pm25, o3, no2, so2, co
2020/1/2, 217, 8, 14, 7, 
2020/1/3, 187, 9, 18, 8, 
2020/1/4, 140, 10, 19, 8, 
2020/1/5, 164, 9, 19, 8, 
2020/1/6, 162, 9, 20, 9, 
2020/1/7, 203, 6, 15, 8, 
2020/1/8, 187, 7, 15, 9, 
2020/1/9, 158, 8, 14, 10, 
2020/1/10, 155, 11, 20, 11, 
2020/1/11, 195, 14, 22, 11, 
2020/1/12, 233, 4, 13, 7, 
2020/1/13, 195, 11, 21, 10, 
2020/1/14, 195, 3, 26, 10, 
2020/1/15, 207, 7, 9, 5, 
2020/1/16, 101, , , , 
2019/12/4, 203, 18, 38, 10, 4
2019/12/5, 246, 18, 61, 10, 4
2019/12/6, 249, 13, 35, 9, 4
2019/12/7, 211, 13, 35, 7, 4
2019/12/8, 183, 13, 32, 6, 4
2019/12/9, 197, 13, 30, 7, 4
2019/12/10, 202, 12, 35, 17, 4
2019/12/11, 202, 16, 39, 19, 
2019/12/12, 197, 13, 22, 13, 
2019/12/13, 142, 10, 8, 10, 
2019/12/14, 96, 16, 7, 11, 
2019/12/15, 129, 17, 16, 13, 
2019/12/16, 138, 16, 15, 11, 
2019/12/17, 149, 13, 14, 10, 
2019/12/18, 157, 11, 16, 10, 
2019/12/19, 299, 11, 14, 10, 
2019/12/20, 283, 7, 35, 16, 
2019/12/21, 279, 16, 28, 12, 
2019/12/22, 218, 12, 20, 10, 
2019/12/23, 202, 8, 16, 10, 
2019/12/24, 180, 7, 17, 9, 
2019/12/25, 164, 9, 19, 9, 
2019/12/26, 171, 6, 14, 7, 
2019/12/27, 195, 9, 20, 9, 
2019/12/28, 202, 8, 20, 9, 
2019/12/29, 185, 1, 18, 8, 
2020/1/1, , 13, 20, 7, 
2019/12/3, , 18, 17, 5, 6
