date, pm25, pm10, o3, no2, so2, co
2020/1/2, 124, 76, 56, 30, 4, 7
2020/1/3, 128, 69, 55, 30, 4, 6
2020/1/4, 123, 39, 37, 16, 2, 4
2020/1/5, 82, 35, 37, 16, 2, 4
2020/1/6, 69, 49, 37, 26, 2, 5
2020/1/7, 86, 49, 48, 23, 2, 5
2020/1/8, 77, 49, 41, 19, 2, 6
2020/1/9, 72, 48, 43, 19, 3, 6
2020/1/10, 94, 57, 37, 23, 2, 6
2020/1/11, 119, 40, 39, 18, 4, 9
2020/1/12, 69, 60, 30, 27, 4, 8
2020/1/13, 106, 53, 45, 19, 3, 6
2020/1/14, 112, 56, 43, 18, 2, 6
2020/1/15, 111, 54, 34, 15, 2, 6
2020/1/16, 111, , , , , 
2019/10/1, 152, 53, 68, 5, 3, 8
2019/10/2, 133, 38, 50, 5, 2, 6
2019/10/3, 91, 33, 41, 8, 2, 6
2019/10/4, 82, 32, 45, 11, 2, 6
2019/10/5, 79, 25, 39, 12, 2, 6
2019/10/6, 66, 26, 37, 12, 2, 7
2019/10/7, 66, 46, 69, 16, 3, 8
2019/10/8, 108, 39, 63, 8, 2, 8
2019/10/9, 87, 33, 61, 11, 2, 7
2019/10/10, 82, 48, 94, 17, 3, 8
2019/10/11, 110, 50, 95, 13, 3, 8
2019/10/12, 106, 34, 75, 11, 2, 7
2019/10/13, 86, 56, 58, 16, 2, 10
2019/10/14, 135, 34, 58, 13, 3, 7
2019/10/15, 84, 34, 86, 13, 3, 5
2019/10/16, 70, 51, 98, 13, 3, 6
2019/10/17, 107, 67, 110, 22, 5, 6
2019/10/18, 139, 67, 119, 19, 5, 7
2019/10/19, 142, 62, 98, 12, 3, 7
2019/10/20, 129, 61, 98, 13, 3, 6
2019/10/21, 112, 42, 78, 10, 3, 4
2019/10/22, 83, 47, 63, 14, 3, 5
2019/10/23, 87, 51, 106, 14, 3, 5
2019/10/24, 109, 54, 79, 15, 3, 5
2019/10/25, 117, 47, 79, 14, 3, 5
2019/10/26, 99, 72, 87, 16, 3, 7
2019/10/27, 150, 72, 59, 26, 4, 9
2019/10/28, 129, 35, 68, 17, 3, 6
2019/10/29, 65, 58, 83, 23, 5, 6
2019/10/30, 102, 74, 93, 25, 5, 6
2019/10/31, 124, 69, 87, 22, 3, 6
2019/11/1, 132, 49, 69, 14, 2, 5
2019/11/2, 102, 64, 94, 21, 4, 6
2019/11/3, 133, 71, 101, 19, 5, 7
2019/11/4, 136, 73, 93, 21, 5, 6
2019/11/5, 146, 78, 104, 27, 3, 7
2019/11/6, 157, 76, 84, 32, 5, 6
2019/11/7, 144, 60, 81, 15, 4, 5
2019/11/8, 130, 60, 91, 19, 4, 6
2019/11/9, 134, 70, 111, 26, 2, 6
2019/11/10, 158, 74, 93, 26, 3, 7
2019/11/11, 135, 45, 65, 15, 2, 4
2019/11/12, 107, 58, 91, 20, 2, 5
2019/11/13, 135, 73, 94, 20, 4, 6
2019/11/14, 143, 77, 80, 22, 3, 7
2019/11/15, 139, 52, 70, 15, 2, 4
2019/11/16, 96, 48, 48, 18, 2, 4
2019/11/17, 86, 76, 89, 26, 4, 7
2019/11/18, 129, 54, 72, 15, 4, 7
2019/11/19, 101, 59, 78, 21, 5, 7
2019/11/20, 117, 79, 28, 30, 5, 8
2019/11/21, 148, 87, , 43, 7, 7
2019/11/22, 155, 62, , 26, 3, 6
2019/11/23, 115, 70, , 20, 4, 6
2019/11/24, 130, 54, , 20, 4, 6
2019/11/25, 109, 62, , 18, 3, 8
2019/11/26, 132, 56, , 20, 4, 6
2019/11/27, 112, 50, , 20, 4, 9
2019/11/28, 85, 56, , 18, 5, 6
2019/11/29, 107, 61, , 24, 3, 6
2019/11/30, 112, 76, , 31, 6, 8
2019/12/1, 137, 48, , 14, 4, 6
2019/12/2, 78, 56, , 18, 6, 6
2019/12/3, 109, 64, , 26, 6, 8
2019/12/4, 130, 53, , 22, 6, 5
2019/12/5, 99, 68, 54, 17, 6, 7
2019/12/6, 124, 66, 52, 24, 7, 8
2019/12/7, 131, 58, 55, 28, 7, 7
2019/12/8, 112, 84, 50, 41, 5, 7
2019/12/9, 148, 98, 69, 52, 6, 7
2019/12/10, 164, 100, 82, 49, 9, 8
2019/12/11, 168, 72, 54, 30, 4, 5
2019/12/12, 132, 64, 46, 27, 3, 5
2019/12/13, 113, 66, 50, 34, 4, 6
2019/12/14, 100, 55, 31, 23, 2, 5
2019/12/15, 93, 42, 32, 27, 3, 5
2019/12/16, 72, 47, 26, 29, 3, 4
2019/12/17, 84, 44, 27, 23, 3, 4
2019/12/18, 83, 70, 26, 23, 3, 9
2019/12/19, 143, 58, 44, 26, 5, 11
2019/12/20, 112, 67, 35, 34, 4, 10
2019/12/21, 125, 102, 45, 50, 6, 12
2019/12/22, 167, 78, 38, 32, 4, 9
2019/12/23, 135, 46, 34, 23, 4, 5
2019/12/24, 83, 56, 42, 24, 3, 7
2019/12/25, 109, 76, 55, 31, 5, 8
2019/12/26, 121, 44, 54, 19, 5, 9
2019/12/27, 79, 80, 63, 34, 5, 10
2019/12/28, 155, 106, 18, 49, 5, 11
2019/12/29, 175, , , , , 
2019/7/1, 56, 14, 25, 12, 3, 4
2019/7/2, 37, 11, 22, 9, 2, 5
2019/7/3, 32, 22, 22, 4, 2, 4
2019/7/4, 53, 19, 25, 5, 2, 4
2019/7/5, 48, 20, 25, 6, 2, 4
2019/7/6, 49, 20, 24, 5, 2, 3
2019/7/7, 50, 26, 24, 4, 2, 4
2019/7/8, 57, 29, 25, 5, 2, 5
2019/7/9, 63, 22, 27, 12, 2, 5
2019/7/10, 56, 25, 30, 10, 3, 6
2019/7/11, 60, 28, 25, 5, 3, 5
2019/7/12, 66, 30, 27, 5, 2, 5
2019/7/13, 68, 31, 26, 5, 2, 5
2019/7/14, 66, 30, 29, 5, 2, 5
2019/7/15, 69, 40, 43, 9, 3, 7
2019/7/16, 94, 51, 99, 13, 4, 8
2019/7/17, 107, 51, 93, 15, 4, 7
2019/7/18, 114, 38, 38, 18, 3, 7
2019/7/19, 83, 25, 24, 13, 2, 6
2019/7/20, 57, 21, 24, 12, 2, 7
2019/7/21, 55, 22, 30, 13, 3, 7
2019/7/22, 53, 18, 26, 13, 2, 6
2019/7/23, 54, 19, 22, 8, 2, 6
2019/7/24, 54, 19, 25, 7, 2, 6
