date, pm25, pm10, o3, no2, so2, co
2020/1/2, 131, 74, 12, 37, 21, 25
2020/1/3, 156, 62, 4, 28, 16, 22
2020/1/4, 148, 58, 4, 19, 12, 28
2020/1/5, 149, 45, 27, 17, 7, 17
2020/1/6, 99, 48, 21, 27, 15, 16
2020/1/7, 87, 58, 14, 28, 15, 17
2020/1/8, 125, 50, 20, 28, 19, 18
2020/1/9, 99, 32, 27, 19, 14, 13
2020/1/10, 79, 44, 25, 26, 17, 16
2020/1/11, 95, 60, 26, 28, 16, 13
2020/1/12, 122, 66, 23, 33, 19, 17
2020/1/13, 145, 69, 23, 32, 18, 17
2020/1/14, 151, 50, 27, 26, 23, 27
2020/1/15, 117, 54, 16, 22, 15, 12
2020/1/16, 114, , , , , 
2019/10/1, 97, 28, 26, 13, 8, 7
2019/10/2, 64, 39, 29, 13, 9, 11
2019/10/3, 68, 40, 35, 14, 20, 10
2019/10/4, 71, 25, 17, 12, 11, 12
2019/10/5, 56, 46, 18, 17, 15, 19
2019/10/6, 84, 47, 17, 17, 39, 11
2019/10/7, 81, 48, 25, 18, 14, 13
2019/10/8, 94, 43, 31, 18, 11, 13
2019/10/9, 89, 38, 26, 19, 11, 13
2019/10/10, 77, 42, 37, 17, 16, 13
2019/10/11, 78, 32, 32, 19, 15, 15
2019/10/12, 67, 43, 37, 17, 17, 11
2019/10/13, 90, 46, 29, 15, 18, 13
2019/10/14, 86, 30, 21, 13, 29, 10
2019/10/15, 70, 35, 31, 15, 20, 13
2019/10/16, 70, 39, 37, 13, 21, 9
2019/10/17, 78, 30, 34, 13, 14, 10
2019/10/18, 77, 50, 37, 19, 20, 13
2019/10/19, 99, 54, 39, 20, 17, 14
2019/10/20, 110, 55, 35, 21, 17, 15
2019/10/21, 114, 49, 29, 21, 16, 15
2019/10/22, 96, 55, 27, 24, 21, 19
2019/10/23, 100, 58, 24, 26, 23, 17
2019/10/24, 118, 61, 16, 25, 20, 12
2019/10/25, 125, 63, 15, 25, 23, 17
2019/10/26, 133, 51, 24, 21, 17, 19
2019/10/27, 105, 37, 28, 20, 19, 12
2019/10/28, 75, 47, 33, 21, 21, 10
2019/10/29, 94, 49, 35, 21, 19, 10
2019/10/30, 93, 50, 34, 22, 16, 14
2019/10/31, 94, 47, 30, 21, 23, 16
2019/11/1, 93, 43, 31, 19, 19, 11
2019/11/2, 82, 46, 34, 22, 17, 11
2019/11/3, 87, 57, 31, 23, 30, 14
2019/11/4, 110, 54, 13, 23, 21, 19
2019/11/5, 102, 52, 24, 22, 21, 18
2019/11/6, 97, 54, 29, 23, 20, 14
2019/11/7, 108, 53, 27, 22, 21, 16
2019/11/8, 106, 51, 29, 22, 17, 14
2019/11/9, 98, 51, 11, 20, 12, 11
2019/11/10, 96, 44, 23, 18, 23, 13
2019/11/11, 84, 48, 24, 20, 14, 15
2019/11/12, 93, 47, 16, 20, 14, 12
2019/11/13, 85, 44, 29, 20, 16, 13
2019/11/14, 93, 62, 32, 27, 17, 16
2019/11/15, 125, 59, 30, 25, 18, 15
2019/11/16, 115, 57, 29, 26, 19, 16
2019/11/17, 105, 39, 25, 17, 18, 10
2019/11/18, 68, 43, 29, 22, 30, 13
2019/11/19, 86, 46, 24, 26, 16, 16
2019/11/20, 89, 52, 29, 26, 18, 13
2019/11/21, 95, 53, 25, 28, 18, 14
2019/11/22, 104, 54, 27, 29, 21, 16
2019/11/23, 106, 53, 29, 24, 16, 12
2019/11/24, 106, 43, 21, 23, 14, 11
2019/11/25, 85, 58, 23, 28, 16, 18
2019/11/26, 115, 57, 24, 27, 14, 15
2019/11/27, 114, 61, 23, 28, 18, 17
2019/11/28, 119, 61, 20, 29, 21, 22
2019/11/29, 112, 51, 15, 27, 31, 32
2019/11/30, 95, 49, 23, 25, 29, 18
2019/12/1, 96, 41, 23, 18, 13, 9
2019/12/2, 86, 46, 22, 18, 19, 10
2019/12/3, 91, 32, 17, 14, 13, 10
2019/12/4, 71, 30, 21, 13, 16, 10
2019/12/5, 76, 57, 21, 19, 14, 13
2019/12/6, 113, 55, 22, 23, 17, 15
2019/12/7, 127, 62, 25, 24, 21, 17
2019/12/8, 138, 55, 21, 29, 26, 17
2019/12/9, 127, 67, 23, 30, 26, 18
2019/12/10, 149, 71, 6, 31, 31, 20
2019/12/11, 158, 63, 19, 26, 21, 18
2019/12/12, 143, 67, 17, 29, 28, 20
2019/12/13, 148, 73, 19, 30, 28, 25
2019/12/14, 147, 68, 24, 29, 27, 32
2019/12/15, 130, 65, 25, 28, 22, 22
2019/12/16, 118, 64, 20, 31, 23, 27
2019/12/17, 126, 62, 23, 29, 19, 23
2019/12/18, 128, 61, 17, 30, 18, 16
2019/12/19, 126, 63, 18, 30, 17, 16
2019/12/20, 128, 61, 20, 28, 12, 20
2019/12/21, 120, 50, 22, 24, 12, 13
2019/12/22, 95, 53, 21, 28, 18, 19
2019/12/23, 97, 56, 22, 28, 16, 22
2019/12/24, 112, 57, 17, 30, 30, 37
2019/12/25, 116, 59, 22, 28, 14, 17
2019/12/26, 115, 55, 22, 28, 10, 11
2019/12/27, 127, 38, 20, 19, 17, 10
2019/12/28, 89, 54, 1, 24, 10, 10
2019/12/29, 96, , , , , 
2019/7/1, 72, 51, 79, 21, 11, 13
2019/7/2, 88, 61, 53, 20, 21, 10
2019/7/3, 132, 38, 27, 15, 11, 10
2019/7/4, 84, 30, 22, 14, 6, 9
2019/7/5, 54, 34, 26, 16, 11, 11
2019/7/6, 63, 43, 36, 14, 12, 9
2019/7/7, 81, 47, 30, 15, 12, 10
2019/7/8, 80, 26, 18, 15, 14, 11
2019/7/9, 67, 36, 11, 21, 13, 23
2019/7/10, 97, 57, 23, 14, 23, 14
2019/7/11, 114, 44, 20, 13, 12, 11
2019/7/12, 76, 39, 20, 15, 8, 10
2019/7/13, 72, 32, 30, 13, 9, 10
2019/7/14, 67, 45, 37, 13, 10, 10
2019/7/15, 79, 40, 34, 12, 10, 8
2019/7/16, 73, 47, 40, 14, 14, 7
2019/7/17, 90, 55, 47, 16, 18, 8
2019/7/18, 102, 37, 32, 16, 15, 7
2019/7/19, 76, 52, 21, 16, 26, 10
2019/7/20, 80, 33, 6, 1, 5, 17
2019/7/21, 68, 51, 23, 11, 22, 12
2019/7/22, 96, 45, 31, 12, 18, 9
2019/7/23, 112, 51, 43, 20, 21, 14
2019/7/24, 112, 34, 30, 12, 13, 10
2019/7/25, 65, 30, 25, 13, 11, 9
2019/7/26, 62, 45, 34, 12, 14, 10
2019/7/27, 80, 46, 32, 12, 20, 9
2019/7/28, 88, 41, 7, 16, 16, 14
2019/7/29, 82, 45, 18, 16, 16, 13
2019/7/30, 82, 35, 40, 12, 13, 10
2019/7/31, 77, 43, 52, 13, 13, 11
2019/8/1, 106, 56, 69, 17, 15, 13
2019/8/2, 110, 53, 13, 20, 23, 15
2019/8/3, 113, 61, 48, 16, 18, 19
2019/8/4, 119, 32, 32, 12, 18, 9
2019/8/5, 70, 47, 43, 14, 18, 9
2019/8/6, 96, 36, 20, 17, 11, 9
2019/8/7, 81, 70, 37, 16, 41, 12
2019/8/8, 150, 39, 27, 19, 10, 11
2019/8/9, 88, 40, 47, 20, 10, 19
2019/8/10, 79, 54, 85, 19, 12, 12
2019/8/11, 96, 63, 71, 20, 20, 10
2019/8/12, 128, 54, 62, 16, 16, 9
2019/8/13, 108, 48, 38, 16, 16, 10
2019/8/14, 109, 41, 59, 18, 10, 10
2019/8/15, 65, 53, 85, 22, 13, 13
2019/8/16, 98, 63, 89, 23, 16, 12
2019/8/17, 130, 57, 60, 18, 19, 11
2019/8/18, 123, 49, 58, 16, 16, 9
2019/8/19, 99, 57, 65, 15, 20, 10
2019/8/20, 111, 51, 54, 14, 16, 8
2019/8/21, 116, 46, 36, 15, 11, 9
2019/8/22, 103, 52, 46, 15, 45, 10
2019/8/23, 122, 49, 76, 20, 23, 18
2019/8/24, 114, 61, 87, 20, 20, 16
2019/8/25, 134, 66, 95, 24, 24, 17
2019/8/26, 140, 68, 63, 21, 22, 18
2019/8/27, 140, 47, 54, 22, 21, 21
2019/8/28, 105, 48, 48, 17, 21, 11
2019/8/29, 92, 38, 50, 16, 13, 10
2019/8/30, 72, 53, 56, 18, 19, 13
2019/8/31, 96, 32, 32, 11, 8, 8
2019/9/1, 76, 31, 19, 13, 11, 10
2019/9/2, 81, 41, 19, 14, 26, 11
2019/9/3, 91, 47, 27, 15, 13, 9
2019/9/4, 94, 46, 18, 16, 25, 11
2019/9/5, 102, 33, 29, 13, 9, 10
2019/9/6, 76, 46, 30, 13, 15, 11
2019/9/7, 89, 53, 19, 15, 14, 10
2019/9/8, 89, 40, 12, 14, 15, 9
2019/9/9, 75, 40, 45, 13, 17, 10
2019/9/10, 78, 41, 14, 15, 11, 10
2019/9/11, 70, 40, 19, 13, 18, 10
2019/9/12, 64, 43, 28, 12, 23, 10
2019/9/13, 75, 41, 19, 12, 15, 11
2019/9/14, 71, 39, 23, 15, 15, 14
2019/9/15, 78, 47, 31, 15, 19, 11
2019/9/16, 81, 44, 31, 15, 17, 9
2019/9/17, 88, 46, 43, 16, 17, 9
2019/9/18, 91, 44, 38, 15, 18, 10
2019/9/19, 99, 38, 24, 13, 17, 9
2019/9/20, 64, 24, 28, 11, 9, 10
2019/9/21, 57, 46, 39, 17, 19, 13
2019/9/22, 87, 49, 46, 20, 16, 9
2019/9/23, 90, 58, 18, 21, 20, 11
2019/9/24, 139, 28, 18, 18, 12, 9
2019/9/25, 79, 36, 33, 18, 19, 9
2019/9/26, 86, 51, 46, 18, 19, 11
