date, pm25, no2
2018/7/1, 21, 
2018/7/2, 28, 
2018/7/3, 21, 
2018/7/4, 19, 
2018/7/5, 23, 
2018/7/6, 26, 
2018/7/7, 47, 
2018/7/8, 36, 
2018/7/9, 19, 
2018/7/10, 24, 
2018/7/11, 18, 
2018/7/12, 19, 
2018/7/13, 26, 
2018/7/17, 20, 
2018/7/18, 24, 
2018/7/19, 50, 
2018/7/24, 32, 
2018/7/25, 22, 
2018/7/26, 20, 
2018/7/27, 26, 
2018/7/28, 23, 
2018/7/29, 24, 
2018/7/30, 23, 
2018/7/31, 28, 
2018/8/1, 23, 
2018/8/2, 22, 
2018/8/3, 20, 
2018/8/5, 26, 
2018/8/6, 39, 
2018/8/7, 33, 
2018/4/4, 6, 
2018/4/5, 27, 
2018/4/6, 42, 
2018/4/7, 46, 
2018/4/8, 37, 
2018/4/9, 47, 
2018/4/10, 58, 
2018/4/11, 53, 
2018/4/12, 2, 
2018/4/20, 37, 
2018/4/22, 38, 
2018/4/23, 33, 24
2018/4/24, 38, 
2018/4/25, 62, 57
2018/4/26, 1, 34
2018/4/27, 1, 27
2018/4/29, 1, 17
2018/4/30, 4, 8
2018/5/1, 14, 
2018/5/2, 18, 5
2018/5/3, 61, 
2018/5/4, 31, 
2018/5/6, 73, 16
2018/5/7, 38, 16
2018/5/8, 50, 12
2018/5/9, 53, 
2018/5/10, 35, 
2018/5/11, 70, 10
2018/5/12, 82, 
2018/5/13, 54, 
2018/5/14, 51, 38
2018/5/15, 58, 
2018/5/16, 56, 27
2018/5/17, 53, 29
2018/5/18, 29, 
2018/5/19, 31, 
2018/5/20, 39, 27
2018/5/21, 54, 
2018/5/22, 71, 
2018/5/23, 70, 
2018/5/24, 45, 
2018/5/25, 79, 
2018/5/26, 85, 
2018/5/27, 70, 
2018/5/28, 41, 
2018/5/29, 44, 
2018/5/30, 46, 
2018/5/31, 67, 
2018/6/1, 41, 
2018/6/2, 33, 
2018/6/3, 28, 
2018/6/4, 54, 
2018/6/5, 53, 
2018/6/6, 61, 
2018/6/7, 31, 
2018/6/8, 33, 
2018/6/9, 10, 
2018/6/10, 14, 
2018/6/11, 19, 
2018/6/12, 20, 
2018/6/13, 27, 
2018/6/14, 33, 
2018/6/15, 28, 
2018/6/16, 23, 
2018/6/17, 21, 
2018/6/18, 24, 
2018/6/19, 31, 
2018/6/20, 34, 
2018/6/21, 49, 
2018/6/22, 45, 
2018/6/23, 47, 
2018/6/24, 68, 
2018/6/25, 41, 
2018/6/26, 60, 
2018/6/27, 58, 
2018/6/28, 41, 
2018/6/29, 21, 
2018/6/30, 23, 
2018/1/1, 55, 
2018/1/2, 49, 
2018/1/3, 51, 
2018/1/4, 43, 
2018/1/5, 72, 
2018/1/6, 28, 
2018/1/7, 62, 
2018/1/8, 53, 
2018/1/9, 55, 
2018/1/10, 55, 
2018/1/11, 45, 
2018/1/12, 108, 
2018/1/13, 122, 
2018/1/14, 114, 
2018/1/15, 106, 
2018/1/16, 136, 
2018/1/17, 96, 
2018/1/18, 117, 
2018/1/19, 73, 
2018/1/20, 89, 
2018/1/21, 75, 
2018/1/22, 96, 
2018/1/23, 104, 
2018/1/24, 89, 
2018/1/25, 86, 
2018/1/26, 79, 
2018/1/27, 82, 
2018/1/28, 54, 
2018/1/29, 112, 
2018/1/30, 68, 
2018/1/31, 61, 
2018/2/1, 72, 
2018/2/2, 58, 
2018/2/3, 56, 
2018/2/4, 68, 
2018/2/5, 55, 
2018/2/6, 57, 
2018/2/7, 73, 
2018/2/8, 61, 
2018/2/9, 78, 
2018/2/10, 78, 
2018/2/11, 67, 
2018/2/12, 43, 
2018/2/13, 51, 
2018/2/14, 63, 
2018/2/15, 64, 
2018/2/16, 38, 
2018/2/17, 29, 
2018/2/18, 31, 
2018/2/19, 34, 
2018/2/20, 62, 
2018/2/21, 39, 
2018/2/22, 36, 
2018/2/23, 48, 
2018/2/24, 57, 
2018/2/25, 34, 
2018/2/26, 43, 
2018/2/27, 31, 
2018/2/28, 19, 
2018/3/1, 6, 
2018/3/2, 3, 
2018/3/3, 4, 
2018/3/4, 2, 
2018/3/5, 19, 
2018/3/6, 24, 
2018/3/7, 22, 
2018/3/8, 15, 
2018/3/9, 20, 
2018/3/10, 42, 
2018/3/11, 42, 
2018/3/12, 53, 
2018/3/13, 78, 
2018/3/14, 58, 
2018/3/15, 71, 
2018/3/16, 75, 
2018/3/17, 58, 
2018/3/18, 49, 
2018/3/19, 51, 
2018/3/20, 76, 
2018/3/21, 75, 
2018/3/22, 67, 
2018/3/23, 48, 
2018/3/24, 54, 
2018/3/25, 72, 
2018/3/26, 77, 
2018/3/27, 74, 
2018/3/28, 78, 
2018/3/29, 69, 
2018/3/30, 89, 
2018/3/31, 39, 
2017/10/4, 54, 
2017/10/5, 85, 
2017/10/6, 71, 
2017/10/7, 62, 
2017/10/8, 49, 
2017/10/9, 76, 
2017/10/10, 61, 
2017/10/11, 80, 
2017/10/12, 63, 
2017/10/13, 28, 
2017/10/14, 28, 
2017/10/15, 31, 
2017/10/16, 42, 
2017/10/19, 70, 
2017/10/20, 71, 
2017/10/21, 24, 
2017/10/22, 40, 
2017/10/23, 47, 
2017/10/24, 51, 
2017/10/25, 63, 
2017/10/26, 44, 
2017/10/27, 52, 
2017/10/28, 64, 
2017/10/29, 51, 
2017/10/31, 1, 
2017/11/10, 78, 
2017/11/11, 110, 
2017/11/12, 81, 
2017/11/13, 64, 
2017/11/14, 75, 
2017/11/15, 54, 
2017/11/16, 99, 
2017/11/17, 95, 
2017/11/18, 59, 
2017/11/19, 41, 
2017/11/20, 58, 
2017/11/21, 76, 
2017/11/22, 77, 
2017/11/23, 61, 
2017/11/24, 75, 
2017/11/25, 64, 
2017/11/26, 49, 
2017/11/27, 56, 
2017/11/28, 61, 
2017/11/29, 57, 
2017/12/1, 129, 
2017/12/2, 119, 
2017/12/3, 130, 
2017/12/4, 127, 
2017/12/5, 107, 
2017/12/6, 118, 
2017/12/7, 113, 
2017/12/8, 105, 
2017/12/9, 117, 
2017/12/10, 80, 
2017/12/11, 97, 
2017/12/12, 78, 
2017/12/13, 102, 
2017/12/14, 85, 
2017/12/15, 96, 
2017/12/16, 122, 
2017/12/17, 52, 
2017/12/18, 99, 
2017/12/19, 109, 
2017/12/20, 91, 
2017/12/21, 59, 
2017/12/22, 58, 
2017/12/23, 69, 
2017/12/24, 64, 
2017/12/25, 52, 
2017/12/26, 62, 
2017/12/27, 76, 
2017/12/28, 58, 
2017/12/29, 65, 
2017/12/30, 50, 
2017/12/31, 49, 
2017/9/23, 45, 
2017/9/24, 30, 
2017/9/25, 61, 
2017/9/26, 97, 
2017/9/27, 91, 
2017/9/28, 51, 
2017/9/29, 131, 
2017/9/30, 87, 
2018/5/5, , 46
