date, pm25, pm10, no2
2020/1/2, 62, 35, 15
2020/1/3, 66, 36, 14
2020/1/4, 67, 32, 13
2020/1/5, 65, 30, 11
2020/1/6, 63, 37, 18
2020/1/7, 72, 43, 17
2020/1/8, 79, 43, 13
2020/1/9, 81, 44, 16
2020/1/10, 81, 46, 16
2020/1/11, 82, 39, 11
2020/1/12, 73, 46, 18
2020/1/13, 82, 51, 16
2020/1/14, 91, 53, 22
2020/1/15, 91, 57, 13
2020/1/16, 99, , 
2019/10/1, 72, 41, 
2019/10/2, 79, 40, 
2019/10/3, 76, 52, 
2019/10/4, 99, 52, 
2019/10/5, 104, 36, 
2019/10/6, 75, 41, 
2019/10/7, 82, 45, 
2019/10/8, 80, 52, 
2019/10/9, 102, 49, 
2019/10/10, 100, 52, 
2019/10/11, 110, 47, 
2019/10/12, 95, 44, 
2019/10/13, 85, 36, 
2019/10/14, 74, 44, 
2019/10/15, 83, 50, 
2019/10/16, 84, 53, 
2019/10/17, 100, 53, 
2019/10/18, 102, 45, 
2019/10/19, 90, 43, 
2019/10/20, 84, 40, 
2019/10/21, 82, 54, 
2019/10/22, 108, 44, 
2019/10/23, 82, 41, 
2019/10/24, 77, 54, 
2019/10/25, 105, 55, 
2019/10/26, 115, 38, 
2019/10/27, 76, 45, 
2019/10/28, 83, 50, 
2019/10/29, 95, 50, 
2019/10/30, 93, 48, 
2019/10/31, 89, 54, 
2019/11/1, 97, 49, 
2019/11/2, 93, 39, 
2019/11/3, 76, 37, 
2019/11/4, 74, 44, 
2019/11/5, 88, 60, 
2019/11/6, 121, 52, 
2019/11/7, 95, 52, 
2019/11/8, 95, 50, 
2019/11/9, 94, 44, 
2019/11/10, 86, 30, 
2019/11/11, 71, 33, 
2019/11/12, 67, 48, 
2019/11/13, 83, 54, 
2019/11/14, 107, 57, 
2019/11/15, 126, 45, 
2019/11/16, 87, 45, 
2019/11/17, 88, 37, 
2019/11/18, 75, 49, 
2019/11/19, 93, 54, 
2019/11/20, 105, 55, 
2019/11/21, 99, 45, 
2019/11/22, 85, 55, 
2019/11/23, 113, 44, 
2019/11/24, 86, 46, 
2019/11/25, 93, 52, 
2019/11/26, 91, , 
2019/11/27, 91, 52, 
2019/11/28, 97, 52, 
2019/11/29, 103, 52, 
2019/11/30, 102, 41, 
2019/12/1, 85, 42, 
2019/12/2, 85, 61, 
2019/12/3, 131, 60, 
2019/12/4, 130, 55, 
2019/12/5, 114, 53, 
2019/12/6, 97, 49, 
2019/12/7, 89, 41, 
2019/12/8, 83, 41, 21
2019/12/9, 81, 51, 18
2019/12/10, 91, 53, 17
2019/12/11, 112, 55, 17
2019/12/12, 115, 39, 19
2019/12/13, 82, 40, 18
2019/12/14, 80, 33, 15
2019/12/15, 68, 37, 19
2019/12/16, 78, 56, 18
2019/12/17, 109, 52, 16
2019/12/18, 103, 46, 17
2019/12/19, 85, 48, 17
2019/12/20, 85, 50, 12
2019/12/21, 90, 50, 14
2019/12/22, 94, 46, 12
2019/12/23, 82, 48, 15
2019/12/24, 77, 37, 10
2019/12/25, 78, 37, 18
2019/12/26, 70, 50, 14
2019/12/27, 80, 53, 12
2019/12/28, 93, , 
2019/8/23, 99, 52, 
2019/8/24, 95, 48, 
2019/8/25, 75, , 
2019/8/26, 75, 52, 
2019/8/27, 86, 54, 
2019/8/28, 88, 59, 
2019/8/29, 108, 59, 
2019/8/30, 115, 52, 
2019/8/31, 96, 51, 
2019/9/1, 80, , 
2019/9/2, 83, 51, 
2019/9/3, 90, 52, 
2019/9/4, 89, 83, 
2019/9/5, 91, 82, 
2019/9/6, 83, 88, 
2019/9/7, 99, 77, 
2019/9/8, 78, 82, 
2019/9/9, 87, 90, 
2019/9/10, 98, 47, 
2019/9/11, 88, 50, 
2019/9/12, 98, 42, 
2019/9/13, 86, 49, 
2019/9/14, 92, 37, 
2019/9/15, 71, 46, 
2019/9/16, 87, 43, 
2019/9/17, 79, 44, 
2019/9/18, 81, 39, 
2019/9/19, 74, 44, 
2019/9/20, 82, 49, 
2019/9/21, 90, 44, 
2019/9/22, 84, 39, 
2019/9/23, 77, 52, 
2019/9/24, 93, 53, 
2019/9/25, 92, 44, 
2019/9/26, 85, 54, 
2019/9/27, 98, 56, 
2019/9/28, 103, 49, 
2019/9/29, 88, 40, 
2019/9/30, 74, 41, 
2020/1/1, , 28, 12
2019/8/22, , 53, 
