date, pm25, pm10, o3, no2, so2, co
2020/1/3, 195, 153, 14, 40, 8, 5
2020/1/4, 254, 144, 16, 34, 12, 5
2020/1/5, 243, 108, 6, 33, 6, 5
2020/1/6, 213, 78, 8, 18, 5, 4
2020/1/7, 148, 63, 8, 20, 3, 5
2020/1/8, 131, 83, 9, 15, 3, 3
2020/1/9, 161, 89, 13, 18, 3, 5
2020/1/10, 184, 129, 16, 30, 7, 6
2020/1/11, 232, 231, 14, 39, 7, 13
2020/1/12, 342, 186, 9, 31, 4, 12
2020/1/13, 292, 146, 8, 26, 4, 9
2020/1/14, 212, 108, 8, 19, 4, 4
2020/1/15, 178, 118, 5, 16, 3, 7
2020/1/16, 182, , , , , 
2019/12/3, 198, 215, 20, 51, 15, 16
2019/12/4, 272, 205, 20, 42, 13, 16
2019/12/5, 263, 132, 14, 32, 9, 15
2019/12/6, 169, 136, 14, 45, 6, 17
2019/12/7, 202, 161, 16, 48, 10, 16
2019/12/8, 216, 159, 10, 46, 14, 14
2019/12/9, 211, 198, 10, 46, 9, 14
2019/12/10, 198, 267, 10, 58, 10, 18
2019/12/11, 275, 207, 11, 32, 12, 13
2019/12/12, 294, 50, 8, 15, 7, 10
2019/12/13, 129, 31, 6, 23, 4, 4
2019/12/14, 62, 75, 9, 24, 8, 8
2019/12/15, 167, 94, 5, 25, 6, 7
2019/12/16, 161, 108, 5, 29, 5, 10
2019/12/17, 175, 125, 8, 28, 6, 7
2019/12/18, 192, 184, 9, 34, 3, 8
2019/12/19, 191, 248, 7, 42, 6, 11
2019/12/20, 216, 222, 5, 43, 4, 11
2019/12/21, 209, 112, 7, 30, 3, 5
2019/12/22, 158, 153, 7, 39, 3, 9
2019/12/23, 179, 145, 10, 33, 3, 7
2019/12/24, 173, 135, 5, 28, 1, 6
2019/12/25, 190, 145, 7, 31, 1, 6
2019/12/26, 219, 160, 9, 28, 4, 9
2019/12/27, 201, 158, 8, 25, 3, 8
2019/12/28, 200, 146, 8, 20, 1, 5
2019/12/29, 192, , , , , 
2020/1/2, , 127, 5, 54, 7, 6
2019/12/2, , 143, 18, 40, 11, 12
