date, pm25, pm10, o3, no2, so2, co
2020/1/2, 71, 38, 15, 9, , 4
2020/1/3, 81, 23, 22, 8, , 3
2020/1/4, 58, 9, 22, 4, , 2
2020/1/5, 35, 21, 13, 7, , 4
2020/1/6, 56, 21, 10, 8, , 3
2020/1/7, 57, 21, 13, 6, , 3
2020/1/8, 56, 11, 18, 6, , 2
2020/1/9, 43, 17, 15, 8, , 3
2020/1/10, 42, 16, 23, 8, , 3
2020/1/11, 46, 17, 19, 9, , 4
2020/1/12, 42, 18, 22, 7, , 4
2020/1/13, 22, 14, 24, 5, , 2
2020/1/14, 40, 23, 19, 9, , 4
2020/1/15, 36, , , , , 
2019/10/1, 25, 27, 31, 8, , 3
2019/10/2, 24, 25, 41, 8, , 2
2019/10/3, 32, 30, 34, 5, , 2
2019/10/4, 21, 28, 37, 8, , 2
2019/10/5, 31, 35, 49, 7, , 4
2019/10/6, 36, 49, 49, 14, , 4
2019/10/7, 53, 49, 59, 11, , 5
2019/10/8, 60, 72, 34, 7, , 2
2019/10/9, 39, 54, 30, 8, , 3
2019/10/10, 29, 78, 41, 11, , 4
2019/10/11, 43, 58, 50, 8, , 5
2019/10/12, 45, 45, 50, 7, , 4
2019/10/13, 46, 43, 43, 11, , 3
2019/10/14, 58, 55, 48, 11, , 3
2019/10/15, 58, 55, 47, 11, , 4
2019/10/16, 61, 23, 32, 3, , 1
2019/10/17, 19, 22, 30, 4, , 2
2019/10/18, 30, 20, 31, 5, , 2
2019/10/19, 35, 16, 31, 4, , 1
2019/10/20, 31, 37, 37, 8, , 3
2019/10/21, 33, 48, 37, 10, , 3
2019/10/22, 50, , 43, 10, , 3
2019/10/23, 48, 59, 36, 13, , 3
2019/10/24, 49, 56, 35, 13, , 6
2019/10/25, 37, 50, 48, 9, , 5
2019/10/26, 45, 277, 28, 12, , 2
2019/10/27, 75, 32, 29, 10, , 4
2019/10/28, 41, 54, 33, 11, , 4
2019/10/29, 51, 49, 30, 8, , 4
2019/10/30, 37, 66, 34, 11, , 6
2019/10/31, 60, 65, 41, 10, , 6
2019/11/1, 56, 68, 42, 10, , 7
2019/11/2, 51, 58, 48, 7, , 6
2019/11/3, 55, 58, 47, 10, , 7
2019/11/4, 54, 63, 51, 13, , 7
2019/11/5, 62, 62, 42, 14, , 7
2019/11/6, 63, 61, 51, 14, , 7
2019/11/7, 65, 55, 43, 16, , 5
2019/11/8, 70, 48, 35, 13, , 5
2019/11/9, 60, 48, 46, 9, , 7
2019/11/10, 58, 55, 48, 15, , 7
2019/11/11, 63, 71, 50, 13, , 5
2019/11/12, 73, 69, 40, 15, , 6
2019/11/13, 72, 36, 35, 11, , 2
2019/11/14, 72, 24, 26, 8, , 2
2019/11/15, 38, 42, 31, 10, , 6
2019/11/16, 71, 49, 38, 10, , 5
2019/11/17, 72, 58, 40, 12, , 6
2019/11/18, 72, 46, 29, 10, , 3
2019/11/19, 53, 70, 20, 7, , 2
2019/11/20, 37, 44, 21, 10, , 5
2019/11/21, 33, 55, 28, 13, , 5
2019/11/22, 50, 46, 29, 11, , 4
2019/11/23, 59, 44, 30, 9, , 6
2019/11/24, 56, 75, 28, 7, , 4
2019/11/25, 54, 21, 24, 5, , 2
2019/11/26, 31, 12, 24, 5, , 2
2019/11/27, 19, 9, 22, 5, , 2
2019/11/28, 26, 10, 23, 5, , 2
2019/11/29, 22, 10, 23, 3, , 2
2019/11/30, 18, 5, 23, 2, , 1
2019/12/1, 16, 6, 22, 4, , 2
2019/12/2, 15, 9, 12, 5, , 2
2019/12/3, 32, 14, 18, 7, , 3
2019/12/4, 43, 15, 20, 6, , 4
2019/12/5, 22, , 25, 6, , 2
2019/12/6, 32, , 20, 3, , 2
2019/12/7, 24, , 28, 2, , 2
2019/12/8, 17, , 17, 5, , 3
2019/12/9, 25, , 13, 7, , 4
2019/12/10, 49, 23, 8, 7, , 2
2019/12/11, 71, 29, 20, 8, , 3
2019/12/12, 74, 21, 13, 7, , 4
2019/12/13, 60, 7, 27, 4, , 2
2019/12/14, 28, 8, 27, 5, , 2
2019/12/15, 26, 16, 18, 9, , 5
2019/12/16, 42, 28, 24, 8, , 4
2019/12/17, 37, 20, 25, 6, , 2
2019/12/18, 23, 15, 20, 11, , 3
2019/12/19, 40, 27, 18, 11, , 4
2019/12/20, 49, 35, 18, 8, , 4
2019/12/21, 47, 16, 27, 4, , 2
2019/12/22, 26, 10, 16, 6, , 3
2019/12/23, 31, 23, 19, 8, , 7
2019/12/24, 43, 15, 24, 4, , 3
2019/12/25, 32, 5, 20, 6, , 2
2019/12/26, 26, 14, 14, 6, , 3
2019/12/27, 39, 29, 4, 6, , 5
2019/12/28, 43, , , , , 
2019/7/1, 24, 21, 48, 5, , 1
2019/7/2, 27, 24, 49, 4, , 1
2019/7/3, 36, 25, 52, 5, , 1
2019/7/4, 47, 29, 52, 5, , 2
2019/7/5, 43, 21, 51, 5, , 1
2019/7/6, 38, 20, 42, 3, , 1
2019/7/7, 38, 22, 44, 3, , 1
2019/7/8, 32, 16, 44, 3, , 1
2019/7/9, 28, 16, 38, 2, , 1
2019/7/10, 19, 17, 37, 3, , 1
2019/7/11, 15, 17, 43, 3, , 1
2019/7/12, 18, 17, 42, 4, , 1
2019/7/13, 20, 15, 45, 3, , 1
2019/7/14, 17, 19, 38, 4, , 1
2019/7/15, 17, 21, 36, 4, , 1
2019/7/16, 15, 24, 46, 5, , 2
2019/7/17, 26, 27, 42, 5, , 2
2019/7/18, 22, 20, 42, 4, , 1
2019/7/19, 14, 21, 44, 2, , 1
2019/7/20, 29, 14, 43, 3, , 1
2019/7/21, 23, 26, 58, 2, , 1
2019/7/22, 34, 22, 57, 3, , 1
2019/7/23, 28, 22, 57, 5, , 1
2019/7/24, 24, 24, 59, 8, , 2
2019/7/25, 39, 25, 63, 6, , 2
2019/7/26, 29, 22, 58, 3, , 3
2019/7/27, 35, 22, 58, 6, , 3
2019/7/28, 36, 34, 65, 6, , 2
2019/7/29, 49, 24, 52, 4, , 2
2019/7/30, 32, 28, 54, 5, , 2
2019/7/31, 32, 24, 56, 6, , 2
2019/8/1, 32, 18, 47, 3, , 1
2019/8/2, 23, 21, 64, 5, , 2
2019/8/3, 33, 13, 45, 4, , 1
2019/8/4, 17, 17, 42, 4, , 1
2019/8/5, 26, 22, 62, 4, , 2
2019/8/6, 31, , 51, 3, , 2
2019/8/7, 35, , 47, 4, , 1
2019/8/8, 34, , 41, 3, , 1
2019/8/9, 19, , 27, 2, , 1
2019/8/10, 13, , 40, 3, , 1
2019/8/11, 17, 16, 37, 6, , 2
2019/8/12, 25, 25, 43, 9, , 2
2019/8/13, 36, 26, 52, 10, , 2
2019/8/14, 38, 34, 54, 8, , 3
2019/8/15, 37, 32, 59, 8, , 3
2019/8/16, 38, 32, 35, 4, , 2
2019/8/17, 34, 18, 37, 2, , 2
2019/8/18, 31, 21, 45, 3, , 1
2019/8/19, 25, 25, 43, 2, , 1
2019/8/20, 23, 25, 48, 4, , 2
2019/8/21, 29, 27, 44, 6, , 2
2019/8/22, 29, 33, 53, 7, , 2
2019/8/23, 41, 29, 45, 3, , 2
2019/8/24, 30, 21, 50, 2, , 2
2019/8/25, 32, 29, 45, 3, , 2
2019/8/26, 27, 28, 49, 6, , 2
2019/8/27, 26, 30, 47, 3, , 2
2019/8/28, 23, 32, 36, 2, , 1
2019/8/29, 30, 30, 41, 2, , 2
2019/8/30, 30, 26, 45, 5, , 2
2019/8/31, 24, 13, 41, 6, , 2
2019/9/1, 24, 26, 43, 5, , 1
2019/9/2, 25, 28, 42, 3, , 1
2019/9/3, 21, 31, 52, 5, , 2
2019/9/4, 25, 32, 48, 4, , 2
2019/9/5, 25, 28, 43, 3, , 2
2019/9/6, 21, 38, 33, 3, , 1
2019/9/7, 24, 12, 31, 4, , 1
2019/9/8, 16, 20, 35, 6, , 2
2019/9/9, 21, 21, 36, 4, , 2
2019/9/10, 21, 31, 41, 6, , 2
2019/9/11, 28, 39, 49, 8, , 3
2019/9/12, 40, 44, 55, 9, , 3
2019/9/13, 44, 44, 63, 9, , 3
2019/9/14, 41, 25, 44, 4, , 1
2019/9/15, 23, 14, 24, 5, , 2
2019/9/16, 14, 13, 37, 6, , 2
2019/9/17, 20, 14, 31, 4, , 2
2019/9/18, 18, 14, 30, 3, , 1
2019/9/19, 17, 20, 34, 7, , 2
2019/9/20, 21, 25, 40, 7, , 3
2019/9/21, 26, 19, 42, 6, , 3
2019/9/22, 22, 26, 35, 5, , 1
2019/9/23, 24, 34, 43, 8, , 2
2019/9/24, 31, 63, 58, 8, , 3
2019/9/25, 41, 51, 56, 9, , 3
2019/9/26, 44, 24, 37, 3, , 1
2019/9/27, 29, 20, 32, 2, , 1
2019/9/28, 25, 13, 28, 3, , 1
2019/9/29, 22, 24, 30, 5, , 2
2019/9/30, 28, 19, 29, 5, , 2
2019/4/1, 36, 8, 31, 4, , 2
2019/4/2, 29, 8, 29, 4, , 2
2019/4/3, 28, 10, 27, 4, , 2
2019/4/4, 28, 10, 25, 4, , 2
2019/4/5, 29, 10, 34, 3, , 2
2019/4/6, 6, 9, 32, 3, , 2
2019/4/10, 16, 14, 36, 4, , 2
2019/4/11, 23, 12, 37, 3, , 2
2019/4/12, 16, 16, 42, 3, , 2
2019/4/13, 31, 14, 42, 4, , 2
2019/4/14, 23, 15, 42, 2, , 2
2019/4/15, 22, 10, 35, 4, , 2
2019/4/16, 27, 14, 36, 5, , 2
2019/4/17, 28, 25, 44, 7, , 3
2019/4/18, 32, 22, 50, 8, , 2
2019/4/19, 48, 17, 32, 3, , 1
2019/4/20, 26, 16, 34, 4, , 2
2019/4/21, 27, 19, 42, 6, , 2
2019/4/22, 25, 27, 49, 5, , 2
2019/4/23, 38, 31, 53, 6, , 2
2019/4/24, 39, 22, 43, 7, , 2
2019/4/25, 38, 28, 48, 8, , 2
2019/4/26, 32, 25, 46, 6, , 2
2019/4/27, 42, 26, 43, 4, , 2
2019/4/28, 44, 30, 35, 4, , 2
2019/4/29, 43, 28, 39, 4, , 2
2019/4/30, 32, 26, 47, 5, , 2
2019/5/1, 36, 24, 46, 5, , 2
2019/5/2, 34, 29, 57, 6, , 2
2019/5/3, 33, 23, 49, 4, , 2
2019/5/4, 31, 18, 39, 2, , 1
2019/5/5, 24, 14, 34, 2, , 1
2019/5/6, 21, 16, 40, 3, , 1
2019/5/7, 28, 25, 46, 4, , 2
2019/5/8, 32, 23, 43, 4, , 2
2019/5/9, 32, 28, 39, 4, , 2
2019/5/10, 35, 24, 50, 4, , 2
2019/5/11, 32, 17, 48, 4, , 1
2019/5/12, 33, 22, 41, 3, , 1
2019/5/13, 21, 22, 38, 3, , 1
2019/5/14, 27, 16, 26, 3, , 1
2019/5/15, 21, 12, 34, 2, , 1
2019/5/16, 16, 14, 35, 3, , 1
2019/5/17, 25, 13, 31, 4, , 2
2019/5/18, 23, 6, 38, 1, , 1
2019/5/19, 10, 10, 42, 3, , 2
2019/5/20, 21, 12, 34, 3, , 1
2019/5/21, 17, 10, 31, 3, , 1
2019/5/22, 17, 16, 29, 3, , 2
2019/5/23, 27, 18, 36, 4, , 2
2019/5/24, 35, 17, 37, 3, , 2
2019/5/25, 22, 11, 36, 2, , 1
2019/5/26, 14, 11, 33, 5, , 2
2019/5/27, 18, 13, 35, 5, , 2
2019/5/28, 31, 23, 44, 5, , 2
2019/5/29, 43, 16, 43, 4, , 1
2019/5/30, 34, 16, 45, 4, , 2
2019/5/31, 30, 18, 48, 6, , 2
2019/6/1, 26, 14, 42, 5, , 1
2019/6/2, 29, 19, 44, 3, , 2
2019/6/3, 23, 24, 46, 6, , 2
2019/6/4, 42, 27, 49, 6, , 2
2019/6/5, 42, 29, 38, 3, , 1
2019/6/6, 18, 23, 39, 2, , 3
2019/6/7, 25, 30, 40, 5, , 1
2019/6/8, 19, 17, 49, 6, , 1
2019/6/9, 21, 28, 52, 9, , 2
2019/6/10, 36, 31, 56, 9, , 2
2019/6/11, 34, 28, 65, 8, , 2
2019/6/12, 37, 29, 53, 5, , 1
2019/6/13, 35, 23, 46, 5, , 1
2019/6/14, 24, 19, 43, 4, , 1
2019/6/15, 26, 14, 43, 3, , 1
2019/6/16, 26, 25, 50, 5, , 2
2019/6/17, 35, 32, 56, 5, , 2
2019/6/18, 38, 26, 55, 5, , 1
2019/6/19, 29, 22, 45, 4, , 1
2019/6/20, 24, 32, 41, 4, , 1
2019/6/21, 31, 23, 43, 5, , 1
2019/6/22, 29, 18, 45, 5, , 2
2019/6/23, 29, 25, 51, 5, , 2
2019/6/24, 27, 22, 37, 5, , 1
2019/6/25, 22, 20, 30, 2, , 1
2019/6/26, 19, 15, 36, 3, , 1
2019/6/27, 18, 18, 33, 6, , 1
2019/6/28, 24, 17, 47, 4, , 1
2019/6/29, 26, 13, 49, 3, , 1
2019/6/30, 21, 20, 47, 3, , 1
2019/1/1, 74, 34, 20, 9, , 5
2019/1/2, 73, 37, 19, 12, , 6
2019/1/3, 71, 53, 16, 12, , 7
2019/1/4, 80, 32, 24, 7, , 4
2019/1/5, 53, 12, 26, 4, , 2
2019/1/6, 36, 10, 24, 7, , 2
2019/1/7, 33, 16, 20, 7, , 3
2019/1/8, 51, 13, 21, 4, , 2
2019/1/9, 39, 15, 18, 5, , 3
2019/1/10, 40, 14, 13, 7, , 2
2019/1/11, 56, 18, 20, 7, , 3
2019/1/12, 62, 26, 19, 9, , 5
2019/1/13, 55, 27, 16, 7, , 6
2019/1/14, 43, 8, 24, 3, , 2
2019/1/15, 29, 9, 23, 3, , 2
2019/1/16, 27, 16, 22, 4, , 2
2019/1/17, 27, 20, 22, 8, , 4
2019/1/18, 38, 26, 22, 5, , 4
2019/1/19, 38, 15, 24, 3, , 2
2019/1/20, 41, 7, 28, 4, , 2
2019/1/21, 26, 12, 20, 5, , 3
2019/1/22, 45, 24, 21, 9, , 4
2019/1/23, 51, 25, 21, 8, , 4
2019/1/24, 65, 29, 19, 9, , 6
2019/1/25, 75, 39, 20, 8, , 6
2019/1/26, 77, 35, 23, 9, , 5
2019/1/27, 74, 39, 19, 7, , 4
2019/1/28, 80, 38, 18, 10, , 5
2019/1/29, 87, 45, 20, 9, , 5
2019/1/30, 102, 27, 24, 7, , 3
2019/1/31, 77, 15, 22, 6, , 2
2019/2/1, 48, 5, 28, 2, , 2
2019/2/2, 20, 5, 28, 2, , 1
2019/2/3, 19, 5, 29, 2, , 2
2019/2/4, 16, 6, 29, 4, , 2
2019/2/5, 29, 18, 26, 7, , 4
2019/2/6, 35, 25, 13, 8, , 5
2019/2/7, 38, 15, 28, 5, , 3
2019/2/8, 36, 6, 28, 2, , 2
2019/2/9, 21, 7, 31, 4, , 2
2019/2/10, 22, 16, 16, 7, , 4
2019/2/11, 32, 18, 23, 5, , 3
2019/2/12, 36, 14, 33, 2, , 2
2019/2/13, 23, 7, 32, 3, , 2
2019/2/14, 19, 6, 32, 3, , 2
2019/2/15, 22, 7, 29, 3, , 2
2019/2/16, 25, 5, 31, 3, , 2
2019/2/17, 32, 5, 27, 6, , 2
2019/2/18, 41, 10, 27, 8, , 2
2019/2/19, 45, 14, 26, 6, , 3
2019/2/20, 46, 7, 29, 4, , 2
2019/2/21, 28, 12, 28, 7, , 3
2019/2/22, 39, 21, 31, 6, , 4
2019/2/23, 50, 24, 31, 6, , 3
2019/2/24, 60, 22, 29, 5, , 2
2019/2/25, 48, 13, 25, 4, , 2
2019/2/26, 31, 9, 29, 2, , 2
2019/2/27, 25, 7, 29, 4, , 2
2019/2/28, 27, 19, 24, 6, , 3
2019/3/1, 43, 9, 25, 2, , 2
2019/3/2, 31, 5, 24, 2, , 2
2019/3/3, 19, 10, 33, 3, , 2
2019/3/4, 26, 12, 26, 3, , 2
2019/3/5, 26, 6, 29, 2, , 1
2019/3/6, 21, 6, 29, 3, , 2
2019/3/7, 22, 9, 34, 4, , 2
2019/3/8, 27, 10, 30, 2, , 2
2019/3/9, 21, 5, 34, 3, , 2
2019/3/10, 25, 8, 30, 6, , 2
2019/3/11, 41, 13, 32, 5, , 2
2019/3/12, 37, 7, 35, 3, , 2
2019/3/13, 26, 14, 32, 7, , 3
2019/3/14, 40, 22, 39, 6, , 4
2019/3/15, 48, 22, 39, 5, , 4
2019/3/16, 50, 22, 39, 6, , 4
2019/3/17, 46, 32, 42, 7, , 4
2019/3/18, 45, 28, 37, 6, , 3
2019/3/19, 48, 8, 37, 3, , 2
2019/3/20, 28, 12, 37, 4, , 2
2019/3/21, 33, 13, 33, 5, , 2
2019/3/22, 37, 11, 42, 3, , 2
2019/3/23, 40, 15, 35, 5, , 2
2019/3/24, 40, 18, 39, 5, , 2
2019/3/25, 50, 6, 31, 4, , 2
2019/3/26, 31, 11, 30, 3, , 2
2019/3/27, 31, 16, 35, 4, , 3
2019/3/28, 29, 12, 37, 3, , 2
2019/3/29, 33, 10, 32, 6, , 2
