date, pm25, pm10, o3, no2, co
2020/1/1, 155, 61, 5, 23, 
2020/1/2, 151, 44, 8, 34, 
2020/1/3, 102, 40, 10, 22, 
2020/1/4, 102, 38, 8, 21, 
2020/1/5, 99, 40, 4, 20, 
2020/1/6, 95, 35, 3, 19, 
2020/1/7, 70, 29, 4, 22, 
2020/1/8, 72, 41, 3, 27, 
2020/1/9, 91, 55, 3, 24, 
2020/1/10, 144, 53, 10, 28, 
2020/1/11, 142, 47, 9, 24, 
2020/1/12, 119, 51, 4, 20, 
2020/1/13, 119, 62, 3, 23, 
2020/1/14, 159, , , , 
2019/10/1, 55, 15, 24, 21, 
2019/10/2, 38, 10, 29, 22, 
2019/10/3, 21, 14, 23, 21, 
2019/10/4, 34, 23, 28, 17, 
2019/10/5, 59, 23, 29, 11, 
2019/10/6, 59, 13, 17, 20, 
2019/10/7, 38, 20, 21, 21, 
2019/10/8, 46, 25, 26, 17, 
2019/10/9, 68, 39, 21, 16, 
2019/10/10, 93, 43, 24, 23, 
2019/10/11, 102, 52, 19, 22, 
2019/10/12, 119, 46, 28, 16, 
2019/10/13, 104, 54, 19, 16, 
2019/10/14, 134, 33, 20, 8, 
2019/10/15, 74, 15, 22, 22, 
2019/10/16, 42, 27, 19, 23, 
2019/10/17, 59, 27, 21, 25, 
2019/10/18, 65, 29, 12, 12, 
2019/10/19, 72, 17, 28, 8, 
2019/10/20, 46, 26, 22, 7, 
2019/10/21, 61, 38, 23, 17, 
2019/10/22, 80, 44, 22, 16, 
2019/10/23, 95, 37, 11, 16, 
2019/10/24, 82, 30, 17, 20, 
2019/10/25, 70, 38, 18, 22, 
2019/10/26, 85, 30, 23, 21, 
2019/10/27, 74, 45, 13, 17, 
2019/10/28, 102, 51, 7, 13, 
2019/10/29, 117, 21, 9, 13, 
2019/10/30, 53, 17, 9, 11, 
2019/10/31, 53, 18, 17, 11, 
2019/11/1, 53, 28, 11, 8, 
2019/11/2, 74, 17, 9, 13, 
2019/11/3, 42, 19, 9, 14, 
2019/11/4, 57, 22, 8, 24, 
2019/11/5, 65, 15, 9, 27, 
2019/11/6, 42, 23, 11, 22, 
2019/11/7, 68, 13, 9, 16, 
2019/11/8, 42, 13, 17, 18, 
2019/11/9, 42, 30, 14, 14, 
2019/11/10, 82, 22, 4, 18, 
2019/11/11, 70, 10, 7, 19, 
2019/11/12, 38, 20, 9, 27, 
2019/11/13, 57, 21, 9, 29, 
2019/11/14, 61, 13, 12, 26, 
2019/11/15, 42, 24, 6, 22, 
2019/11/16, 72, 10, 21, 18, 
2019/11/17, 34, 18, 7, 25, 
2019/11/18, 59, 12, 12, 20, 
2019/11/19, 46, 18, 9, 21, 
2019/11/20, 55, 24, 9, 20, 
2019/11/21, 68, 30, 9, 17, 
2019/11/22, 63, 15, 16, 13, 
2019/11/23, 50, 17, 22, 6, 
2019/11/24, 38, 17, 22, 27, 
2019/11/25, 50, 17, 22, 27, 
2019/11/26, 50, 24, 3, 18, 
2019/11/27, 68, 28, 3, 23, 
2019/11/28, 76, 37, 3, 22, 
2019/11/29, 85, 30, 4, 19, 
2019/11/30, 78, 32, 5, 17, 
2019/12/1, 76, 11, 5, 22, 
2019/12/2, 46, 14, 13, 19, 
2019/12/3, 46, 31, 10, 31, 
2019/12/4, 76, 44, 3, 31, 
2019/12/5, 102, 47, 3, 22, 
2019/12/6, 117, 49, 9, 22, 
2019/12/7, 122, 56, 6, 18, 
2019/12/8, 149, 62, 3, 23, 
2019/12/9, 154, 42, 6, 31, 
2019/12/10, 97, 36, 11, 27, 
2019/12/11, 82, 23, 9, 22, 
2019/12/12, 70, 23, 3, 21, 
2019/12/13, 72, 23, 3, 21, 
2019/12/14, 72, 42, 3, 24, 
2019/12/15, 119, 49, 3, 23, 
2019/12/16, 134, 54, 3, 21, 
2019/12/17, 151, 35, 3, 20, 
2019/12/18, 82, 34, 3, 19, 
2019/12/19, 65, 15, 14, 16, 
2019/12/20, 46, 13, 9, 16, 
2019/12/21, 50, 11, 21, 16, 
2019/12/22, 42, 6, 23, 27, 
2019/12/23, 17, 14, 20, 28, 
2019/12/24, 50, 21, 13, 24, 
2019/12/25, 63, 24, 10, 20, 
2019/12/26, 72, 38, , 22, 
2019/12/27, 97, , , , 
