date, pm25, o3, no2, co
2020/1/2, 15, 20, 11, 3
2020/1/3, 44, 15, 6, 3
2020/1/4, 42, 25, 1, 1
2020/1/5, 21, 24, 4, 1
2020/1/6, 22, 21, 6, 2
2020/1/7, 29, 20, 8, 2
2020/1/8, 37, 25, 2, 1
2020/1/9, 13, 24, 8, 2
2020/1/10, 28, 26, 5, 2
2020/1/11, 40, 27, 1, 1
2020/1/12, 15, 28, 4, 1
2020/1/13, 21, 26, 4, 2
2020/1/14, 25, 26, 3, 1
2020/1/15, 21, 21, 5, 1
2020/1/16, 19, , , 
2019/10/1, 15, 22, 1, 1
2019/10/2, 11, 19, , 1
2019/10/3, 14, 18, 2, 1
2019/10/4, 13, 21, 3, 2
2019/10/5, 20, 28, 4, 1
2019/10/6, 18, 26, 1, 1
2019/10/7, 17, 25, 2, 2
2019/10/8, 18, 19, 4, 2
2019/10/9, 29, 19, 4, 2
2019/10/10, 26, 19, 3, 2
2019/10/11, 22, 25, 1, 1
2019/10/12, 15, 23, 2, 1
2019/10/13, 18, 20, 2, 2
2019/10/14, 27, 20, 4, 2
2019/10/15, 18, 21, 5, 2
2019/10/16, 27, 25, 2, 1
2019/10/17, 23, 20, 1, 1
2019/10/18, 19, 17, 1, 1
2019/10/19, 10, 19, 3, 2
2019/10/20, 21, 19, 4, 2
2019/10/21, 27, 22, 4, 2
2019/10/22, 29, 25, 1, 1
2019/10/23, 15, 25, 2, 1
2019/10/24, 20, 23, 3, 1
2019/10/25, 21, 20, 4, 2
2019/10/26, 27, 19, 3, 1
2019/10/27, 18, 25, 6, 2
2019/10/28, 26, 21, 5, 3
2019/10/29, 32, 22, 5, 2
2019/10/30, 27, 28, 3, 1
2019/10/31, 25, 30, 1, 1
2019/11/1, 14, 22, 2, 1
2019/11/2, 15, 20, 4, 2
2019/11/3, 28, 21, 7, 2
2019/11/4, 30, 26, 3, 2
2019/11/5, 30, 25, 1, 1
2019/11/6, 14, 19, 9, 2
2019/11/7, 27, 22, 3, 1
2019/11/8, 18, 24, 5, 2
2019/11/9, 20, 26, 5, 2
2019/11/10, 29, 24, 4, 2
2019/11/11, 27, 26, 8, 2
