date, pm25, pm10, o3, no2, so2, co
2020/1/2, 178, 113, 28, 16, 3, 2
2020/1/3, 225, 157, 27, 15, 3, 3
2020/1/4, 329, 42, 26, 9, 10, 18
2020/1/5, 132, 18, 24, 8, 12, 6
2020/1/6, 64, 87, 27, 12, 12, 4
2020/1/7, 174, 135, 23, 14, 16, 7
2020/1/8, 247, 330, 25, 11, 8, 2
2020/1/9, 248, 11, 27, 15, 2, 2
2020/1/10, 412, 34, 24, , 22, 2
2020/1/11, 484, 148, 25, , 19, 2
2020/1/12, 378, 160, 24, , 3, 2
2020/1/13, 245, , 26, , 2, 2
2020/1/14, 272, , 25, , 2, 
2020/1/15, 264, , 19, , 3, 
2020/1/16, 332, , , , , 
2019/10/1, 60, 11, 28, , 7, 1
2019/10/2, 63, 12, 24, , 7, 2
2019/10/3, 42, 4, 18, , 10, 2
2019/10/4, 59, 7, 17, , 10, 3
2019/10/5, 83, 8, 15, , 8, 5
2019/10/6, 82, 8, 24, , 9, 3
2019/10/7, 62, 20, 28, , 10, 3
2019/10/8, 69, 10, 34, , 8, 4
2019/10/9, 65, 11, 32, , 8, 3
2019/10/10, 94, 15, 23, , 14, 2
2019/10/11, 65, 9, 31, , 7, 2
2019/10/12, 81, 8, 26, , 7, 2
2019/10/13, 76, 56, 25, , 8, 3
2019/10/14, 82, 8, 30, , 8, 3
2019/10/15, 79, 16, 30, , 7, 2
2019/10/16, 74, 16, 24, , 8, 3
2019/10/17, 90, 13, 28, , 7, 2
2019/10/18, 85, 15, 29, , 7, 2
2019/10/19, 78, 15, 31, , 7, 2
2019/10/20, 72, 11, 29, , 7, 2
2019/10/21, 81, 19, 35, , 17, 3
2019/10/22, 99, 19, 29, , 17, 4
2019/10/23, 110, 13, 33, , 10, 4
2019/10/24, 119, 18, 37, , 11, 4
2019/10/25, 116, 45, 45, , 23, 4
2019/10/26, 159, 31, 33, , 10, 5
2019/10/27, 155, 17, 29, , 10, 2
2019/10/28, 159, , 19, , 11, 
2019/10/29, 178, , 10, , 9, 
2019/10/30, 82, , 4, , 11, 
2019/10/31, 74, , 5, , 11, 
2019/11/1, 85, , 4, , 7, 
2019/11/2, 118, , 4, , 7, 
2019/11/3, 34, , 5, , 8, 
2019/11/4, 38, , 49, , 7, 
2019/11/5, 27, , 3, , 6, 
2019/11/6, 29, , , , , 
2019/11/7, 61, , , , , 
2019/11/8, 73, , , , , 
2019/11/9, 49, , , , , 
2019/11/10, 36, , , , , 
2019/11/11, 55, 10, 30, , 7, 2
2019/11/12, 102, 6, 35, , 7, 2
2019/11/13, 25, 63, 23, , 6, 3
2019/11/14, 92, 9, 30, , 7, 2
2019/11/15, 83, 25, 31, , 7, 1
2019/11/16, 51, 9, 32, , 7, 1
2019/11/17, 35, 5, 31, , 7, 1
2019/11/18, 28, 10, 30, , , 16
2019/11/19, 129, 11, 34, , , 12
2019/11/20, 113, 5, 30, , , 6
2019/11/21, 93, 11, 23, , , 6
2019/11/22, 125, 10, 29, , , 5
2019/11/23, 138, 11, 30, , , 3
2019/11/24, 51, 21, 14, , , 6
2019/11/25, 156, 24, 13, , , 4
2019/11/26, 149, 13, 26, , , 7
2019/11/27, 159, 6, 28, , , 3
2019/11/28, 60, 4, 27, , , 2
2019/11/29, 69, 5, 24, , , 2
2019/11/30, 56, 8, 24, , , 
2019/12/1, 95, 4, 29, , , 
2019/12/2, 89, 21, 25, 14, 4, 3
2019/12/3, 88, 18, 23, 8, 6, 2
2019/12/4, 99, 23, 22, 21, 3, 3
2019/12/5, 176, 9, 22, 38, 2, 3
2019/12/6, 270, 5, 17, 41, 2, 1
2019/12/7, 375, 7, 19, , 2, 1
2019/12/8, 282, 7, 28, , 2, 5
2019/12/9, 125, 3, 27, , 2, 4
2019/12/10, 66, , 20, , 13, 1
2019/12/11, 100, , 14, 22, 5, 1
2019/12/12, 187, 72, 31, 12, 2, 1
2019/12/13, 134, 5, 24, 7, 3, 1
2019/12/14, 79, 4, 26, 18, 2, 1
2019/12/15, 212, 7, 30, 10, 2, 1
2019/12/16, 196, 8, 30, 6, 2, 1
2019/12/17, 123, 7, 33, 12, 2, 1
2019/12/18, 142, 11, 32, 12, 2, 1
2019/12/19, 152, 25, 33, 4, 2, 1
2019/12/20, 52, 49, 32, 2, 2, 1
2019/12/21, 23, 6, 32, 4, 2, 1
2019/12/22, 24, 3, 24, 12, 3, 1
2019/12/23, 45, 5, 22, 12, 3, 1
2019/12/24, 70, 7, 23, 25, 3, 1
2019/12/25, 184, 6, 22, 16, 4, 
2019/12/26, 105, 11, 20, 17, 11, 
2019/12/27, 142, 3, 19, 8, 3, 
2019/12/28, 59, , , , , 
2019/7/9, 70, 95, 33, , 5, 1
2019/7/10, 42, 8, 31, , 10, 1
2019/7/11, 48, 13, 33, , 10, 2
