date, pm25
2020/1/2, 155
2020/1/3, 170
2020/1/4, 169
2020/1/5, 163
2020/1/6, 150
2020/1/7, 162
2020/1/8, 138
2020/1/9, 146
2020/1/10, 153
2020/1/11, 157
2020/1/12, 163
2020/1/13, 124
2020/1/14, 98
2020/1/15, 90
2020/1/16, 113
2019/10/1, 41
2019/10/2, 53
2019/10/3, 58
2019/10/4, 76
2019/10/5, 93
2019/10/6, 100
2019/10/7, 118
2019/10/8, 138
2019/10/9, 65
2019/10/10, 109
2019/10/11, 110
2019/10/12, 120
2019/10/13, 105
2019/10/14, 138
2019/10/15, 132
2019/10/16, 128
2019/10/17, 147
2019/10/18, 140
2019/10/19, 81
2019/10/20, 50
2019/10/21, 61
2019/10/22, 48
2019/10/23, 54
2019/10/24, 78
2019/10/25, 60
2019/10/26, 61
2019/10/27, 107
2019/10/28, 117
2019/10/29, 127
2019/10/30, 107
2019/10/31, 72
2019/11/1, 44
2019/11/2, 41
2019/11/3, 60
2019/11/4, 83
2019/11/5, 102
2019/11/6, 142
2019/11/7, 15
2019/11/12, 7
2019/11/13, 99
2019/11/14, 159
2019/11/15, 158
2019/11/16, 162
2019/11/17, 163
2019/11/18, 163
2019/11/19, 174
2019/11/20, 174
2019/11/21, 174
2019/11/22, 171
2019/11/23, 170
2019/11/24, 170
2019/11/25, 172
2019/11/26, 170
2019/11/27, 160
2019/11/28, 162
2019/11/29, 165
2019/11/30, 169
2019/12/1, 174
2019/12/2, 148
2019/12/3, 116
2019/12/4, 137
2019/12/5, 139
2019/12/6, 168
2019/12/7, 160
2019/12/8, 170
2019/12/9, 164
2019/12/10, 160
2019/12/11, 164
2019/12/12, 164
2019/12/13, 134
2019/12/14, 129
2019/12/15, 152
2019/12/16, 164
2019/12/17, 157
2019/12/18, 156
2019/12/19, 152
2019/12/20, 168
2019/12/21, 167
2019/12/22, 167
2019/12/23, 164
2019/12/24, 179
2019/12/25, 185
2019/12/26, 158
2019/12/27, 162
2019/12/28, 160
2019/12/29, 180
2019/7/1, 32
2019/7/2, 48
2019/7/3, 62
2019/7/4, 75
2019/7/5, 65
2019/7/6, 46
2019/7/7, 59
2019/7/8, 48
2019/7/9, 83
2019/7/10, 85
2019/7/11, 73
2019/7/12, 43
2019/7/13, 44
2019/7/14, 36
2019/7/15, 52
2019/7/16, 48
2019/7/17, 56
2019/7/18, 59
2019/7/19, 75
2019/7/20, 70
2019/7/21, 74
2019/7/22, 37
2019/7/23, 26
2019/7/24, 30
2019/7/25, 55
2019/7/26, 52
2019/7/27, 51
2019/7/28, 59
2019/7/29, 54
2019/7/30, 42
2019/7/31, 38
2019/8/1, 47
2019/8/2, 31
2019/8/3, 27
2019/8/4, 39
2019/8/5, 49
2019/8/6, 47
2019/8/7, 53
2019/8/8, 79
2019/8/9, 75
2019/8/10, 71
2019/8/11, 62
2019/8/12, 55
2019/8/13, 55
2019/8/14, 65
2019/8/15, 53
2019/8/16, 48
2019/8/17, 55
2019/8/18, 49
2019/8/19, 53
2019/8/20, 53
2019/8/21, 44
2019/8/22, 52
2019/8/23, 53
2019/8/24, 48
2019/8/25, 47
2019/8/26, 64
2019/8/27, 56
2019/8/28, 56
2019/8/29, 53
2019/8/30, 44
2019/8/31, 45
2019/9/1, 37
2019/9/2, 49
2019/9/3, 19
2019/9/4, 18
2019/9/5, 13
2019/9/6, 22
2019/9/7, 30
2019/9/8, 30
2019/9/9, 54
2019/9/10, 55
2019/9/11, 66
2019/9/12, 42
2019/9/13, 44
2019/9/14, 48
2019/9/15, 34
2019/9/16, 45
2019/9/17, 44
2019/9/18, 59
2019/9/19, 70
2019/9/20, 50
2019/9/21, 53
2019/9/22, 64
2019/9/23, 65
2019/9/24, 56
2019/9/25, 57
2019/9/26, 53
2019/9/27, 33
2019/9/28, 39
2019/9/29, 31
2019/9/30, 29
2019/4/1, 84
2019/4/2, 89
2019/4/3, 100
2019/4/4, 89
2019/4/5, 74
2019/4/6, 72
2019/4/7, 77
2019/4/8, 76
2019/4/9, 71
2019/4/10, 72
2019/4/11, 76
2019/4/12, 92
2019/4/13, 115
2019/4/14, 98
2019/4/15, 90
2019/4/16, 98
2019/4/17, 59
2019/4/18, 79
2019/4/19, 91
2019/4/20, 83
2019/4/21, 82
2019/4/22, 87
2019/4/23, 72
2019/4/24, 72
2019/4/25, 66
2019/4/26, 70
2019/4/28, 112
2019/4/29, 91
2019/4/30, 96
2019/5/1, 90
2019/5/2, 106
2019/5/3, 93
2019/5/4, 94
2019/5/5, 79
2019/5/6, 75
2019/5/7, 73
2019/5/8, 64
2019/5/9, 51
2019/5/10, 44
2019/5/11, 51
2019/5/12, 58
2019/5/13, 70
2019/5/14, 65
2019/5/15, 72
2019/5/16, 69
2019/5/17, 69
2019/5/18, 72
2019/5/19, 61
2019/5/20, 55
2019/5/21, 58
2019/5/22, 51
2019/5/23, 56
2019/5/24, 78
2019/5/25, 69
2019/5/26, 76
2019/5/27, 83
2019/5/28, 75
2019/5/29, 61
2019/5/30, 56
2019/5/31, 57
2019/6/1, 50
2019/6/2, 51
2019/6/3, 52
2019/6/4, 44
2019/6/5, 51
2019/6/6, 46
2019/6/7, 43
2019/6/8, 48
2019/6/9, 55
2019/6/10, 58
2019/6/11, 69
2019/6/12, 56
2019/6/13, 85
2019/6/14, 72
2019/6/15, 62
2019/6/16, 60
2019/6/17, 61
2019/6/18, 67
2019/6/19, 52
2019/6/24, 85
2019/6/25, 66
2019/6/26, 52
2019/6/27, 41
2019/6/28, 31
2019/6/29, 50
2019/6/30, 58
2019/1/1, 196
2019/1/2, 204
2019/1/3, 229
2019/1/4, 207
2019/1/5, 192
2019/1/6, 211
2019/1/7, 169
2019/1/8, 175
2019/1/9, 195
2019/1/10, 216
2019/1/11, 225
2019/1/12, 223
2019/1/13, 222
2019/1/14, 188
2019/1/15, 183
2019/1/16, 184
2019/1/17, 200
2019/1/18, 208
2019/1/19, 205
2019/1/20, 255
2019/1/22, 115
2019/1/23, 134
2019/1/24, 157
2019/1/25, 153
2019/1/26, 146
2019/1/27, 151
2019/1/28, 138
2019/1/29, 136
2019/1/30, 155
2019/1/31, 150
2019/2/1, 159
2019/2/2, 174
2019/2/3, 180
2019/2/4, 166
2019/2/5, 174
2019/2/6, 158
2019/2/7, 109
2019/2/8, 148
2019/2/9, 152
2019/2/10, 168
2019/2/11, 190
2019/2/12, 175
2019/2/13, 151
2019/2/14, 110
2019/2/15, 140
2019/2/16, 141
2019/2/17, 157
2019/2/18, 150
2019/2/19, 145
2019/2/20, 164
2019/2/21, 108
2019/2/22, 121
2019/2/23, 174
2019/2/24, 154
2019/2/25, 136
2019/2/26, 122
2019/2/27, 114
2019/2/28, 122
2019/3/1, 155
2019/3/2, 161
2019/3/3, 80
2019/3/4, 87
2019/3/5, 120
2019/3/6, 108
2019/3/7, 121
2019/3/8, 136
2019/3/9, 147
2019/3/10, 137
2019/3/11, 118
2019/3/12, 106
2019/3/13, 121
2019/3/14, 102
2019/3/15, 118
2019/3/16, 152
2019/3/17, 148
2019/3/18, 155
2019/3/19, 138
2019/3/20, 121
2019/3/21, 95
2019/3/22, 86
2019/3/23, 130
2019/3/24, 161
2019/3/25, 164
2019/3/26, 157
2019/3/27, 145
2019/3/28, 141
2019/3/29, 130
2019/3/30, 114
2019/3/31, 86
2018/10/11, 106
2018/10/12, 147
2018/10/13, 172
2018/10/14, 170
2018/10/15, 164
2018/10/16, 161
2018/10/17, 150
2018/10/18, 120
2018/10/19, 131
2018/10/20, 157
2018/10/21, 172
2018/10/22, 173
2018/10/23, 149
2018/10/24, 153
2018/10/25, 157
2018/10/26, 141
2018/10/27, 164
2018/10/28, 143
2018/10/29, 114
2018/10/30, 147
2018/10/31, 150
2018/11/1, 147
2018/11/2, 145
2018/11/3, 126
2018/11/4, 114
2018/11/5, 105
2018/11/6, 167
2018/11/7, 148
2018/11/8, 253
2018/11/9, 200
2018/11/10, 233
2018/11/11, 169
2018/11/12, 166
2018/11/13, 166
2018/11/14, 154
2018/11/15, 153
2018/11/16, 162
2018/11/17, 165
2018/11/18, 176
2018/11/19, 183
2018/11/20, 183
2018/11/21, 208
2018/11/22, 165
2018/11/23, 166
2018/11/24, 166
2018/11/25, 170
2018/11/26, 175
2018/11/27, 171
2018/11/28, 165
2018/11/29, 166
2018/11/30, 166
2018/12/1, 171
2018/12/2, 179
2018/12/3, 178
2018/12/4, 173
2018/12/5, 175
2018/12/6, 163
2018/12/7, 162
2018/12/8, 174
2018/12/9, 173
2018/12/10, 162
2018/12/11, 149
2018/12/12, 136
2018/12/13, 145
2018/12/14, 140
2018/12/15, 156
2018/12/16, 160
2018/12/17, 163
2018/12/18, 164
2018/12/21, 133
2018/12/22, 161
2018/12/23, 168
2018/12/24, 180
2018/12/25, 197
2018/12/26, 157
2018/12/27, 145
2018/12/28, 167
2018/12/29, 157
2018/12/30, 161
2018/7/1, 98
2018/7/2, 93
2018/7/3, 115
2018/7/4, 126
2018/7/5, 121
2018/7/6, 145
