date, pm25
2020/1/2, 24
2020/1/3, 50
2020/1/4, 45
2020/1/5, 16
2020/1/6, 22
2020/1/7, 28
2020/1/8, 21
2020/1/9, 26
2020/1/10, 28
2020/1/11, 15
2020/1/12, 14
2020/1/13, 23
2020/1/14, 43
2020/1/15, 33
2020/1/16, 23
2019/10/1, 47
2019/10/2, 39
2019/10/3, 28
2019/10/4, 10
2019/10/5, 23
2019/10/6, 37
2019/10/7, 19
2019/10/8, 22
2019/10/9, 25
2019/10/10, 36
2019/10/11, 24
2019/10/12, 9
2019/10/13, 18
2019/10/14, 19
2019/10/15, 30
2019/10/16, 16
2019/10/17, 17
2019/10/18, 22
2019/10/19, 27
2019/10/20, 47
2019/10/21, 32
2019/10/22, 14
2019/10/23, 14
2019/10/24, 28
2019/10/25, 34
2019/10/26, 39
2019/10/27, 26
2019/10/28, 42
2019/10/29, 37
2019/10/30, 21
2019/10/31, 13
2019/11/1, 30
2019/11/2, 26
2019/11/3, 27
2019/11/4, 25
2019/11/5, 35
2019/11/6, 38
2019/11/7, 28
2019/11/8, 25
2019/11/9, 36
2019/11/10, 51
2019/11/11, 41
2019/11/12, 18
2019/11/13, 31
2019/11/14, 45
2019/11/15, 48
2019/11/16, 44
2019/11/17, 46
2019/11/18, 78
2019/12/1, 23
2019/12/2, 22
2019/12/3, 27
2019/12/4, 18
2019/12/5, 32
2019/12/6, 25
2019/12/7, 25
2019/12/8, 47
2019/12/9, 34
2019/12/10, 18
2019/12/11, 40
2019/12/12, 40
2019/12/13, 33
2019/12/14, 61
2019/12/15, 47
2019/12/16, 60
2019/12/17, 51
2019/12/18, 46
2019/12/19, 50
2019/12/20, 59
2019/12/21, 56
2019/12/22, 62
2019/12/23, 46
2019/12/24, 52
2019/12/25, 37
2019/12/26, 26
2019/12/27, 56
2019/12/28, 52
2019/7/1, 26
2019/7/2, 45
2019/7/3, 46
2019/7/4, 46
2019/7/5, 62
2019/7/6, 42
2019/7/7, 60
2019/7/8, 56
2019/7/9, 39
2019/7/10, 50
2019/7/11, 26
2019/7/12, 21
2019/7/13, 41
2019/7/14, 43
2019/7/15, 33
2019/7/16, 19
2019/7/17, 14
2019/7/18, 23
2019/7/19, 50
2019/7/20, 49
2019/7/21, 44
2019/7/22, 23
2019/7/23, 29
2019/7/24, 33
2019/7/25, 34
2019/7/26, 43
2019/7/27, 54
2019/7/28, 59
2019/7/29, 44
2019/7/30, 29
2019/7/31, 27
2019/8/1, 31
2019/8/2, 40
2019/8/3, 50
2019/8/4, 42
2019/8/5, 45
2019/8/6, 38
2019/8/7, 33
2019/8/8, 24
2019/8/9, 27
2019/8/10, 29
2019/8/11, 37
2019/8/12, 48
2019/8/13, 38
2019/8/14, 42
2019/8/15, 33
2019/8/16, 41
2019/8/17, 37
2019/8/18, 38
2019/8/19, 31
2019/8/20, 35
2019/8/21, 21
2019/8/22, 23
2019/8/23, 28
2019/8/24, 23
2019/8/25, 24
2019/8/26, 16
2019/8/27, 15
2019/8/28, 22
2019/8/29, 28
2019/8/30, 29
2019/8/31, 28
2019/9/1, 38
2019/9/2, 36
2019/9/3, 39
2019/9/4, 36
2019/9/5, 18
2019/9/6, 37
2019/9/7, 22
2019/9/8, 43
2019/9/9, 36
2019/9/10, 40
2019/9/11, 55
2019/9/12, 51
2019/9/13, 40
2019/9/14, 18
2019/9/15, 24
2019/9/16, 45
2019/9/17, 55
2019/9/18, 32
2019/9/19, 33
2019/9/20, 55
2019/9/21, 57
2019/9/22, 38
2019/9/23, 19
2019/9/24, 26
2019/9/25, 32
2019/9/26, 26
2019/9/27, 27
2019/9/28, 25
2019/9/29, 34
2019/9/30, 49
2019/4/1, 26
2019/4/2, 25
2019/4/3, 37
2019/4/4, 34
2019/4/5, 45
2019/4/6, 44
2019/4/7, 53
2019/4/8, 26
2019/4/9, 21
2019/4/10, 30
2019/4/11, 18
2019/4/12, 16
2019/4/13, 14
2019/4/14, 22
2019/4/15, 13
2019/4/16, 28
2019/4/17, 35
2019/4/18, 30
2019/4/19, 10
2019/4/20, 10
2019/4/21, 18
2019/4/22, 20
2019/4/23, 33
2019/4/24, 16
2019/4/25, 34
2019/4/26, 27
2019/4/27, 17
2019/4/28, 17
2019/4/29, 25
2019/4/30, 40
2019/5/1, 27
2019/5/2, 22
2019/5/3, 42
2019/5/4, 26
2019/5/5, 23
2019/5/6, 41
2019/5/7, 41
2019/5/8, 25
2019/5/9, 37
2019/5/10, 16
2019/5/11, 19
2019/5/12, 21
2019/5/13, 29
2019/5/14, 28
2019/5/15, 44
2019/5/16, 45
2019/5/17, 29
2019/5/18, 50
2019/5/19, 39
2019/5/20, 11
2019/5/21, 13
2019/5/22, 29
2019/5/23, 41
2019/5/24, 33
2019/5/25, 46
2019/5/26, 27
2019/5/27, 40
2019/5/28, 58
2019/5/29, 40
2019/5/30, 22
2019/5/31, 22
2019/6/1, 47
2019/6/2, 43
2019/6/3, 30
2019/6/4, 47
2019/6/5, 42
2019/6/6, 42
2019/6/7, 52
2019/6/8, 38
2019/6/9, 32
2019/6/10, 24
2019/6/11, 23
2019/6/12, 31
2019/6/13, 24
2019/6/14, 28
2019/6/15, 39
2019/6/16, 35
2019/6/17, 29
2019/6/18, 22
