date, pm25, pm10, o3, no2, so2, co
2020/1/2, 39, 16, 33, 11, 1, 4
2020/1/3, 59, 10, 34, 9, 1, 3
2020/1/4, 37, 9, 35, 7, , 2
2020/1/5, 28, 10, 30, 17, 1, 3
2020/1/6, 41, 15, 18, 27, 2, 4
2020/1/7, 59, 8, 27, 19, 2, 4
2020/1/8, 37, 4, 27, 8, 1, 2
2020/1/9, 20, 8, 31, 17, 2, 2
2020/1/10, 28, 13, 28, 23, 2, 3
2020/1/11, 55, 21, 20, 27, 2, 6
2020/1/12, 76, 17, 33, 18, 2, 4
2020/1/13, 58, 17, 29, 27, 3, 4
2020/1/14, 61, 13, 31, 19, 2, 3
2020/1/15, 52, 9, 20, 21, , 2
2020/1/16, 37, , , , , 
2019/10/1, 67, 24, 44, 19, 4, 2
2019/10/2, 64, 24, 38, 13, 1, 1
2019/10/3, 61, 13, 34, 11, 1, 2
2019/10/4, 35, 12, 39, 8, 1, 2
2019/10/5, 38, 11, 33, 5, 1, 2
2019/10/6, 42, 11, 25, 14, 1, 2
2019/10/7, 36, 15, 28, 20, 2, 3
2019/10/8, 44, 13, 37, 17, 2, 2
2019/10/9, 43, 21, 48, 27, 4, 4
2019/10/10, 60, 28, 31, 27, 2, 3
2019/10/11, 74, 7, 27, 6, 1, 1
2019/10/12, 20, 9, 32, 5, 1, 2
2019/10/13, 29, 12, 22, 12, 1, 2
2019/10/14, 39, 11, 36, 12, 1, 1
2019/10/15, 41, 12, 39, 18, 2, 2
2019/10/16, 43, 19, 31, 30, 3, 3
2019/10/17, 59, 20, 18, 24, 1, 3
2019/10/18, 61, 11, 24, 22, 1, 4
2019/10/19, 36, 8, 37, 7, 1, 2
2019/10/20, 26, 17, 18, 22, 2, 4
2019/10/21, 53, 8, 36, 11, 2, 2
2019/10/22, 30, 12, 38, 20, 2, 2
2019/10/23, 89, 17, 26, 23, 1, 2
2019/10/24, 136, 8, 28, 19, 1, 2
2019/10/25, 22, 12, 34, 13, 2, 2
2019/10/26, 30, 16, 40, 11, 2, 2
2019/10/27, 52, 13, 38, 21, 2, 3
2019/10/28, 48, 20, 18, 26, 1, 4
2019/10/29, 61, 28, 41, 23, 2, 4
2019/10/30, 66, 42, 41, 28, 4, 4
2019/10/31, 79, 38, 42, 21, 2, 4
2019/11/1, 77, 25, 39, 20, 3, 4
2019/11/2, 68, 26, 37, 14, 2, 4
2019/11/3, 71, 11, 36, 9, 1, 2
2019/11/4, 39, 11, 33, 18, 2, 2
2019/11/5, 37, 14, 32, 22, 2, 2
2019/11/6, 52, 20, 34, 30, 6, 4
2019/11/7, 63, 13, 33, 17, 2, 2
2019/11/8, 49, 12, 37, 19, 2, 2
2019/11/9, 41, 11, 37, 11, 2, 3
2019/11/10, 42, 22, 20, 29, 2, 4
2019/11/11, 66, 15, 35, 22, 2, 3
2019/11/12, 49, 18, 25, 29, 2, 4
2019/11/13, 59, 17, 31, 19, 1, 3
2019/11/14, 52, 13, 30, 18, 2, 2
2019/11/15, 42, 19, 33, 22, 2, 3
2019/11/16, 62, 18, 37, 14, 2, 3
2019/11/17, 60, 25, 38, 25, 2, 4
2019/11/18, 70, 16, 32, 14, , 2
2019/11/19, 44, 9, 31, 17, 1, 2
2019/11/20, 28, 13, 29, 27, 2, 4
2019/11/21, 47, 21, 10, 32, 2, 5
2019/11/22, 66, 26, 27, 25, 2, 6
2019/11/23, 78, 17, 23, 19, 3, 4
