date, pm25, pm10, o3, no2, so2, co
2020/1/2, 109, 68, 9, 20, 6, 14
2020/1/3, 123, 74, 11, 18, 4, 14
2020/1/4, 137, 49, 8, 13, 3, 6
2020/1/5, 95, 55, 4, 19, 8, 10
2020/1/6, 92, 69, , 27, 5, 11
2020/1/7, 127, 71, , 18, 2, 5
2020/1/8, 124, 57, 15, 15, 9, 3
2020/1/9, 113, 49, 23, 21, 7, 4
2020/1/10, 76, 57, 30, 26, 6, 11
2020/1/11, 88, 66, 37, 24, 1, 10
2020/1/12, 740, 74, 19, 41, 16, 19
2020/1/13, 333, 78, 30, 28, 10, 14
2020/1/14, 128, 75, 25, 19, 5, 9
2020/1/15, 128, 67, 8, 14, 3, 5
2020/1/16, 132, , , , , 
2019/12/3, 148, 75, 22, 22, 2, 13
2019/12/4, 128, 58, 25, 23, 9, 10
2019/12/5, 90, 61, 33, 19, 6, 4
2019/12/6, 99, 74, 21, 31, 8, 13
2019/12/7, 123, 88, 27, 31, 5, 13
2019/12/8, 148, 91, 20, 29, 4, 15
2019/12/9, 150, 85, 25, 34, 4, 15
2019/12/10, 151, 79, 11, 37, 3, 12
2019/12/11, 147, 72, 9, 34, 3, 10
2019/12/12, 127, 51, 7, 19, 1, 9
2019/12/13, 90, 48, 4, 25, 1, 8
2019/12/14, 103, 32, 4, 9, 1, 2
2019/12/15, 70, 41, 7, 14, 2, 3
2019/12/16, 82, 55, 9, 13, 7, 3
2019/12/17, 98, 65, 16, 25, 5, 5
2019/12/18, 117, 71, 26, 27, 3, 13
2019/12/19, 120, 65, 25, 22, 2, 11
2019/12/20, 119, 79, 27, 31, 4, 15
2019/12/21, 122, 68, 23, 19, 4, 4
2019/12/22, 100, 58, 24, 20, 4, 5
2019/12/23, 86, 83, 13, 28, 9, 21
2019/12/24, 128, 78, 13, 23, 2, 13
2019/12/25, 121, 77, 5, 19, 1, 8
2019/12/26, 118, 43, 16, 18, 12, 4
2019/12/27, 64, 50, 24, 19, 3, 8
2019/12/28, 77, 91, 1, 26, 1, 9
2019/12/29, 146, , , , , 
2020/1/1, , 56, 6, 19, 3, 5
2019/12/2, , 85, 13, 38, 4, 23
