date, pm25
2019/10/1, 16
2019/10/2, 15
2019/10/3, 16
2019/10/4, 19
2019/10/5, 20
2019/10/6, 10
2019/10/7, 19
2019/10/8, 15
2019/10/9, 10
2019/10/10, 8
2019/10/11, 17
2019/10/12, 10
2019/10/13, 12
2019/10/14, 12
2019/10/15, 16
2019/10/16, 18
2019/10/17, 19
2019/10/18, 11
2019/10/19, 16
2019/10/20, 15
2019/10/21, 15
2019/10/22, 15
2019/10/23, 18
2019/10/24, 16
2019/10/25, 17
2019/10/26, 12
2019/10/27, 17
2019/10/28, 13
2019/10/29, 19
2019/10/30, 17
2019/10/31, 19
2019/11/1, 17
2019/11/2, 35
2019/11/3, 31
2019/11/4, 28
2019/11/5, 29
2019/11/6, 20
2019/11/7, 18
2019/11/8, 17
2019/11/9, 17
2019/11/10, 15
2019/11/11, 16
2019/11/12, 17
2019/11/13, 27
2019/11/14, 25
2019/11/15, 19
2019/11/16, 23
2019/11/17, 23
2019/11/18, 34
2019/11/19, 43
2019/11/20, 15
2019/11/21, 34
2019/11/22, 13
2019/11/23, 10
2019/11/24, 18
2019/11/25, 50
2019/11/26, 11
2019/11/27, 21
2019/11/28, 29
2019/11/29, 58
2019/11/30, 29
2019/12/1, 18
2019/12/2, 20
2019/12/3, 14
2019/12/4, 17
2019/12/5, 22
2019/12/6, 22
2019/12/7, 39
2019/12/8, 20
2019/12/9, 40
2019/12/10, 21
2019/12/11, 16
2019/12/12, 21
2019/12/13, 16
2019/12/14, 24
2019/12/15, 20
2019/12/16, 23
2019/12/17, 42
2019/12/18, 45
2019/12/19, 30
2019/12/20, 31
2019/12/21, 31
2019/12/22, 22
2019/12/23, 38
2019/12/24, 39
2019/12/25, 39
2019/12/26, 37
2019/12/27, 35
2019/12/28, 31
2019/7/1, 41
2019/7/2, 42
2019/7/3, 28
2019/7/4, 23
2019/7/5, 36
2019/7/6, 38
2019/7/7, 45
2019/7/8, 37
2019/7/9, 39
2019/7/10, 23
2019/7/11, 21
2019/7/12, 35
2019/7/13, 36
2019/7/14, 29
2019/7/15, 33
2019/7/16, 37
2019/7/17, 27
2019/7/18, 39
2019/7/19, 35
2019/7/20, 40
2019/7/21, 53
2019/7/22, 40
2019/7/23, 64
2019/7/24, 49
2019/7/25, 51
2019/7/26, 41
2019/7/27, 43
2019/7/28, 44
2019/7/29, 44
2019/7/30, 51
2019/7/31, 46
2019/8/1, 37
2019/8/2, 28
2019/8/3, 20
2019/8/4, 29
2019/8/5, 20
2019/8/6, 55
2019/8/7, 13
2019/8/8, 14
2019/8/9, 42
2019/8/10, 24
2019/8/11, 23
2019/8/12, 34
2019/8/13, 31
2019/8/14, 30
2019/8/15, 25
2019/8/16, 29
2019/8/17, 30
2019/8/18, 31
2019/8/19, 55
2019/8/20, 51
2019/8/21, 37
2019/8/22, 34
2019/8/23, 45
2019/8/24, 43
2019/8/25, 8
2019/8/26, 14
2019/8/27, 22
2019/8/28, 29
2019/8/29, 58
2019/8/30, 22
2019/8/31, 29
2019/9/1, 35
2019/9/2, 32
2019/9/3, 30
2019/9/4, 33
2019/9/5, 29
2019/9/6, 31
2019/9/7, 35
2019/9/8, 48
2019/9/9, 44
2019/9/10, 28
2019/9/11, 14
2019/9/12, 34
2019/9/13, 27
2019/9/14, 21
2019/9/15, 21
2019/9/16, 26
2019/9/17, 23
2019/9/18, 20
2019/9/19, 26
2019/9/20, 25
2019/9/21, 25
2019/9/22, 25
2019/9/23, 27
2019/9/24, 28
2019/9/25, 36
2019/9/26, 18
2019/9/27, 38
2019/9/28, 27
2019/9/29, 26
2019/9/30, 20
2019/4/1, 42
2019/4/2, 35
2019/4/3, 33
2019/4/4, 27
2019/4/5, 24
2019/4/6, 19
2019/4/7, 18
2019/4/8, 20
2019/4/9, 28
2019/4/10, 23
2019/4/11, 15
2019/4/12, 15
2019/4/13, 15
2019/4/14, 13
2019/4/15, 14
2019/4/16, 15
2019/4/17, 19
2019/4/18, 22
2019/4/19, 16
2019/4/20, 15
2019/4/21, 13
2019/4/22, 11
2019/4/23, 22
2019/4/24, 19
2019/4/25, 27
2019/4/26, 20
2019/4/27, 16
2019/4/28, 18
2019/4/29, 16
2019/4/30, 14
2019/5/1, 20
2019/5/2, 33
2019/5/3, 31
2019/5/4, 28
2019/5/5, 15
2019/5/6, 17
2019/5/7, 35
2019/5/8, 14
2019/5/9, 14
2019/5/10, 21
2019/5/11, 13
2019/5/12, 9
2019/5/13, 14
2019/5/14, 10
2019/5/15, 17
2019/5/16, 18
2019/5/17, 17
2019/5/18, 13
2019/5/19, 13
2019/5/20, 19
2019/5/21, 13
2019/5/22, 17
2019/5/23, 11
2019/5/24, 12
2019/5/25, 14
2019/5/26, 14
2019/5/27, 13
2019/5/28, 15
2019/5/29, 25
2019/5/30, 16
2019/5/31, 15
2019/6/1, 15
2019/6/2, 32
2019/6/3, 56
2019/6/4, 36
2019/6/5, 49
2019/6/6, 67
2019/6/7, 27
2019/6/8, 47
2019/6/9, 27
2019/6/10, 17
2019/6/11, 23
2019/6/12, 30
2019/6/13, 30
2019/6/14, 27
2019/6/15, 35
2019/6/16, 20
2019/6/17, 31
2019/6/18, 59
2019/6/19, 61
2019/6/20, 58
2019/6/21, 50
2019/6/22, 59
2019/6/23, 84
2019/6/24, 71
2019/6/25, 65
2019/6/26, 46
2019/6/27, 43
2019/6/28, 53
2019/6/29, 67
2019/6/30, 36
2019/1/1, 28
2019/1/2, 30
2019/1/3, 26
2019/1/4, 26
2019/1/5, 46
2019/1/6, 43
2019/1/7, 39
2019/1/8, 52
2019/1/9, 38
2019/1/10, 33
2019/1/11, 35
2019/1/12, 39
2019/1/13, 40
2019/1/14, 38
2019/1/15, 39
2019/1/16, 44
2019/1/17, 42
2019/1/18, 36
2019/1/19, 35
2019/1/20, 38
2019/1/21, 61
2019/1/22, 42
2019/1/23, 56
2019/1/24, 55
2019/1/25, 50
2019/1/26, 51
2019/1/27, 43
2019/1/28, 45
2019/1/29, 42
2019/1/30, 35
2019/1/31, 39
2019/2/1, 42
2019/2/2, 30
2019/2/3, 33
2019/2/4, 40
2019/2/5, 39
2019/2/6, 36
2019/2/7, 41
2019/2/8, 37
2019/2/9, 44
2019/2/10, 44
2019/2/11, 45
2019/2/12, 34
2019/2/13, 34
2019/2/14, 35
2019/2/15, 36
2019/2/16, 35
2019/2/17, 21
2019/2/18, 24
2019/2/19, 39
2019/2/20, 39
2019/2/21, 30
2019/2/22, 25
2019/2/23, 27
2019/2/24, 31
2019/2/25, 25
2019/2/26, 33
2019/2/27, 39
2019/2/28, 30
2019/3/1, 44
2019/3/2, 43
2019/3/3, 63
2019/3/4, 30
2019/3/5, 26
2019/3/6, 35
2019/3/7, 56
2019/3/8, 49
2019/3/9, 33
2019/3/10, 28
2019/3/11, 32
2019/3/12, 44
2019/3/13, 45
2019/3/14, 37
2019/3/15, 28
2019/3/16, 28
2019/3/17, 31
2019/3/18, 34
2019/3/19, 30
2019/3/20, 29
2019/3/21, 30
2019/3/22, 32
2019/3/23, 28
2019/3/24, 27
2019/3/25, 38
2019/3/26, 26
2019/3/27, 30
2019/3/28, 22
2019/3/29, 36
2019/3/30, 36
2019/3/31, 32
2018/10/9, 50
2018/10/10, 39
2018/10/11, 32
2018/10/12, 43
2018/10/13, 24
2018/10/14, 35
2018/10/15, 30
2018/10/16, 35
2018/10/17, 29
2018/10/18, 29
2018/10/19, 31
2018/10/20, 37
2018/10/21, 27
2018/10/22, 33
2018/10/23, 39
2018/10/24, 42
2018/10/25, 27
2018/10/26, 17
2018/10/27, 22
2018/10/28, 23
2018/10/29, 31
2018/10/30, 34
2018/10/31, 32
2018/11/1, 34
2018/11/2, 51
2018/11/3, 63
