date, pm25, pm10, o3, no2, so2, co
2020/1/2, 109, 84, , 30, 5, 9
2020/1/3, 144, 41, 11, 25, 3, 8
2020/1/4, 80, 48, 27, 20, 3, 8
2020/1/5, 81, 20, 30, 11, 2, 6
2020/1/6, 49, 28, 28, 15, 2, 10
2020/1/7, 64, 44, 20, 12, 3, 10
2020/1/8, 103, 52, 14, 20, 5, 9
2020/1/9, 114, 59, , 24, 3, 9
2020/1/10, 105, 8, 15, 14, 2, 6
2020/1/11, 17, , , , , 
2020/1/15, 156, 16, 15, 19, 2, 6
2020/1/16, 36, , , , , 
2019/10/1, 23, 22, 22, 6, 2, 5
2019/10/2, 56, 20, 33, 10, 4, 5
2019/10/3, 63, 26, 39, 5, 2, 5
2019/10/4, 75, 31, 49, 9, 3, 5
2019/10/5, 77, 28, 36, 14, 3, 5
2019/10/6, 50, 43, 27, 12, 3, 7
2019/10/7, 84, 29, 16, 14, 3, 8
2019/10/8, 82, , , , , 
2019/10/11, 67, 38, 46, 15, 3, 4
2019/10/12, 83, 31, 21, 22, 3, 5
2019/10/13, 72, 29, 11, 18, 3, 4
2019/10/14, 72, 31, 31, 8, 3, 3
2019/10/15, 14, 35, 32, 16, 3, 4
2019/10/16, 65, 41, 37, 19, 3, 6
2019/10/17, 83, 38, 43, 23, 4, 6
2019/10/18, 84, 41, 57, 23, 4, 7
2019/10/19, 94, 44, 58, 23, 4, 7
2019/10/20, 97, , , , , 
2019/10/22, 121, 34, 50, 15, 3, 4
2019/10/23, 76, 44, 52, 24, 3, 5
2019/10/24, 92, 41, 49, 22, 4, 6
2019/10/25, 91, 33, 28, 15, 3, 6
2019/10/26, 83, 27, 10, 18, 4, 5
2019/10/27, 74, 16, 10, 25, 3, 7
2019/10/28, 60, 84, 32, 29, 4, 8
2019/10/29, 115, 127, 57, 31, 6, 7
2019/10/30, 151, 107, 63, 31, 6, 7
2019/10/31, 138, 76, 41, 33, 6, 7
2019/11/1, 119, 86, 62, 31, 7, 8
2019/11/2, 141, 71, 23, 33, 5, 8
2019/11/3, 125, 42, 46, 16, 3, 6
2019/11/4, 73, 37, 37, 19, 4, 5
2019/11/5, 59, 31, 38, 19, 3, 4
2019/11/6, 57, 45, 38, 21, 4, 6
2019/11/7, 91, 33, 34, 17, 4, 5
2019/11/8, 52, 35, 38, 23, 4, 5
2019/11/9, 70, 57, 47, 25, 6, 7
2019/11/10, 118, 67, 36, 32, 6, 9
2019/11/11, 121, 72, 26, 28, 5, 9
2019/11/12, 116, 65, 34, 18, 4, 6
2019/11/13, 115, 42, 31, 13, 4, 4
2019/11/14, 40, 40, 35, 13, 4, 4
2019/11/15, 57, 34, 35, 10, 3, 4
2019/11/16, 58, 44, 28, 12, 3, 4
2019/11/17, 91, 57, 22, 12, 3, 6
2019/11/18, 89, 65, 28, 10, 5, 6
2019/11/19, 58, 58, 22, 15, 4, 4
2019/11/20, 71, 53, 21, 23, 4, 5
2019/11/21, 87, 88, 8, 32, 6, 7
2019/11/22, 140, 81, , 37, 3, 11
2019/11/23, 144, 52, 19, 18, 3, 7
2019/11/24, 90, 19, 22, 7, 2, 5
2019/11/25, 21, 47, 8, 19, 3, 6
2019/11/26, 87, 24, 19, 13, 3, 3
2019/11/27, 47, 21, 22, 10, 3, 5
