date, pm25, pm10, o3, no2, so2
2020/1/2, 10, 8, 13, , 
2020/1/3, 6, 6, 15, , 
2020/1/4, 7, 6, 12, 1, 
2020/1/5, 16, 5, 9, 3, 
2020/1/6, 12, 4, 12, 3, 
2020/1/7, 10, 5, 12, 2, 
2020/1/8, 10, 9, 11, 2, 
2020/1/9, 20, 4, 10, 2, 
2020/1/10, 8, 6, 14, , 
2020/1/11, 11, 5, 13, 2, 
2020/1/12, 14, 5, 13, 1, 
2020/1/13, 11, 12, 12, 2, 
2020/1/14, 10, 6, 12, 1, 
2020/1/15, 7, , , , 
2019/10/1, 22, 14, 8, 2, 
2019/10/2, 19, 7, 10, 2, 
2019/10/3, 23, 8, 7, 2, 
2019/10/4, 16, 9, 8, 1, 
2019/10/5, 18, 9, 6, 2, 
2019/10/6, 29, 8, 11, 2, 
2019/10/7, 16, 5, 10, 2, 
2019/10/8, 11, 8, 11, 1, 
2019/10/9, 11, 12, 9, 3, 
2019/10/10, 21, 16, 8, 2, 
2019/10/11, 27, 13, 10, , 
2019/10/12, 27, 7, 12, , 
2019/10/13, 9, 11, 8, 1, 
2019/10/14, 36, 11, 7, 3, 1
2019/10/15, 34, 8, 10, 2, 
2019/10/16, 23, 8, 11, , 
2019/10/17, 18, 8, 10, 2, 
2019/10/18, 22, 6, 9, , 
2019/10/19, 20, 9, 8, 1, 
2019/10/20, 24, 6, 9, 3, 
2019/10/21, 11, 8, 10, 1, 
2019/10/22, 11, 12, 9, 2, 
2019/10/23, 16, 15, 4, 2, 
2019/10/24, 32, 10, 13, 2, 
2019/10/25, 24, 9, 12, , 
2019/10/26, 14, 9, 10, 1, 
2019/10/27, 15, 12, 8, , 
2019/10/28, 13, 10, 14, 1, 
2019/10/29, 17, 22, 11, 2, 
2019/10/30, 21, 22, 7, 3, 
2019/10/31, 32, 23, 7, 1, 
2019/11/1, 25, 15, 8, 1, 
2019/11/2, 17, 8, 8, 2, 
2019/11/3, 27, 18, 4, 4, 
2019/11/4, 29, 15, 7, 4, 
2019/11/5, 39, 11, 7, 1, 
2019/11/6, 11, , 3, 3, 
2019/11/7, 28, 20, 3, 3, 
2019/11/8, 43, 10, 4, 4, 
