date, pm25, pm10, o3, no2, so2, co
2020/1/2, 159, 72, 14, 19, 7, 10
2020/1/3, 165, 84, 6, 19, 6, 11
2020/1/4, 180, 46, 5, 15, 4, 10
2020/1/5, 136, 31, 9, 17, 4, 8
2020/1/6, 86, 48, 17, 14, 5, 9
2020/1/7, 132, 45, 14, 15, 4, 9
2020/1/8, 116, 44, 14, 14, 5, 10
2020/1/9, 99, 32, 8, 14, 7, 11
2020/1/10, 85, 44, 18, 15, 5, 11
2020/1/11, 117, 45, 19, 15, 7, 9
2020/1/12, 114, 57, 9, 15, 7, 8
2020/1/13, 146, 37, 12, 13, 7, 7
2020/1/14, 99, 27, 17, 11, 10, 7
2020/1/15, 87, 36, 6, 13, 7, 9
2020/1/16, 103, , , , , 
2019/10/1, 131, 55, 67, 19, 7, 8
2019/10/2, 144, 63, 66, 15, 6, 7
2019/10/3, 157, 47, 32, 6, 5, 8
2019/10/4, 106, 15, 19, 9, 4, 7
2019/10/5, 57, 41, 38, 10, 7, 7
2019/10/6, 102, 27, 20, 6, 4, 6
2019/10/7, 70, 22, 18, 10, 4, 7
2019/10/8, 68, 37, 17, 13, 4, 7
2019/10/9, 95, 13, 16, 10, 4, 7
2019/10/10, 58, 27, 27, 7, 3, 6
2019/10/11, 72, 39, 16, 13, 4, 6
2019/10/12, 98, 33, 19, 9, 4, 6
2019/10/13, 86, 26, 11, 11, 3, 6
2019/10/14, 81, 20, 24, 9, 5, 6
2019/10/15, 66, 18, 14, 9, 4, 7
2019/10/16, 57, 23, 20, 11, 5, 7
2019/10/17, 69, 27, 31, 10, 3, 6
2019/10/18, 79, 28, 38, 14, 6, 7
2019/10/19, 68, 46, 8, 18, 6, 8
2019/10/20, 112, 36, 5, 11, 4, 7
2019/10/21, 92, 15, 10, 12, 3, 7
2019/10/22, 58, 21, 22, 11, 5, 7
2019/10/23, 59, 27, 33, 13, 6, 6
2019/10/24, 72, 22, 15, 8, 4, 5
2019/10/25, 67, 15, 11, 8, 3, 5
2019/10/26, 59, 19, 12, 8, 3, 5
