date, pm25, pm10, o3, no2, so2, co
2018/4/1, 40, , 24, 6, , 3
2018/4/2, 33, , 27, 6, , 3
2018/4/3, 43, , 27, 4, , 3
2018/4/4, 36, , 23, 6, , 3
2018/4/5, 30, , 14, 6, , 3
2018/4/6, 10, , 29, 2, , 2
2018/4/7, 34, , 29, 3, , 3
2018/4/8, 35, , 27, 6, , 4
2018/4/9, 33, , 24, 5, , 3
2018/4/10, 26, , 32, 5, , 3
2018/4/11, 21, , 32, 5, , 4
2018/4/12, 34, , 29, 6, , 4
2018/4/13, 40, , 32, 4, , 4
2018/4/14, 40, , 28, 3, , 3
2018/4/15, 37, , 28, 6, , 4
2018/4/16, 27, , 26, 6, , 5
2018/4/17, 32, , 28, 6, , 4
2018/4/18, 32, , 25, 7, , 5
2018/4/19, 39, , 24, 6, , 4
2018/4/20, 41, , 25, 4, , 4
2018/4/21, 42, , 26, 4, , 4
2018/4/22, 42, , 32, 7, , 4
2018/4/23, 60, , 25, 4, , 4
2018/4/24, 54, , 26, 4, , 4
2018/4/25, 48, , 27, 3, , 4
2018/4/26, 46, , 29, 4, , 3
2018/4/27, 43, , 33, 5, , 2
2018/4/28, 31, , 26, 3, , 2
2018/4/29, 19, , 25, 5, , 3
2018/4/30, 38, , 25, 4, , 3
2018/5/1, 41, , 26, 3, , 2
2018/5/2, 50, , 22, 3, , 2
2018/5/3, 33, , 27, 4, , 3
2018/5/4, 40, , 23, 4, , 3
2018/5/5, 37, , 22, 3, , 2
2018/5/6, 22, , 26, 4, , 3
2018/5/7, 28, , 21, 4, , 3
2018/5/8, 30, , 24, 3, , 3
2018/5/9, 26, , 26, 4, , 3
2018/5/10, 40, , 37, 3, , 2
2018/5/11, 38, , 29, 2, , 2
2018/5/12, 39, , 24, 1, , 2
2018/5/13, 37, 21, 20, 2, , 2
2018/5/14, 20, 19, , 1, , 2
2018/5/15, 20, 7, , 4, 1, 3
2018/5/16, 20, 15, , 3, 1, 3
2018/5/17, 24, 18, , 2, , 3
2018/5/18, 28, 23, , 2, , 3
2018/5/19, 42, 12, , 2, , 3
2018/5/20, 41, , , 4, 1, 3
2018/5/21, 46, , , 2, , 3
2018/5/22, 44, , , 1, 1, 3
2018/5/23, 21, , , 2, , 3
2018/5/24, 17, , , , , 
2018/1/1, 75, , 7, 14, , 7
2018/1/2, 62, , 5, 16, , 9
2018/1/3, 88, , 13, 13, , 6
2018/1/4, 91, , 17, 10, , 5
2018/1/5, 43, , 18, 7, , 4
2018/1/6, 46, , 5, 9, , 7
2018/1/7, 76, , 9, 8, , 5
2018/1/8, 41, , 14, 6, , 4
2018/1/9, 23, , 19, 10, , 5
2018/1/10, 40, , 16, 9, , 6
2018/1/11, 56, , 11, 8, , 6
2018/1/12, 54, , 12, 6, , 5
2018/1/13, 56, , 10, 9, , 6
2018/1/14, 72, , 8, 11, , 6
2018/1/15, 74, , 7, 9, , 6
2018/1/16, 63, , 11, 7, , 5
2018/1/17, 59, , 22, 8, , 5
2018/1/18, 59, , 25, 10, , 6
2018/1/19, 48, , 19, 11, , 7
2018/1/20, 58, , 18, 9, , 6
2018/1/21, 56, , 21, 7, , 4
2018/1/22, 40, , 17, 11, , 7
2018/1/23, 49, , 22, 9, , 6
2018/1/24, 44, , 22, 12, , 6
2018/1/25, 42, , 20, 10, , 5
2018/1/26, 41, , 21, 8, , 5
2018/1/27, 45, , 15, 8, , 6
2018/1/28, 50, , 6, 11, , 8
2018/1/29, 55, , 10, 10, , 8
2018/1/30, 54, , 14, 11, , 7
2018/1/31, 55, , 7, 15, , 8
2018/2/1, 47, , 13, 13, , 9
2018/2/2, 54, , 20, 12, , 8
2018/2/3, 62, , 19, 10, , 8
2018/2/4, 62, , 16, 12, , 8
2018/2/5, 49, , 31, 12, , 6
2018/2/6, 38, , 32, 16, , 8
2018/2/7, 57, , 24, 16, , 8
2018/2/8, 60, , 22, 14, , 7
2018/2/9, 52, , 34, 7, , 6
2018/2/10, 38, , 28, 8, , 5
2018/2/11, 33, , 27, 8, , 6
2018/2/12, 33, , 27, 7, , 5
2018/2/13, 38, , 24, 12, , 7
2018/2/14, 50, , 29, 12, , 5
2018/2/15, 47, , 22, 14, , 5
2018/2/16, 49, , 23, 9, , 5
2018/2/17, 51, , 30, 6, , 4
2018/2/18, 37, , 27, 12, , 5
2018/2/19, 53, , 24, 13, , 6
2018/2/20, 44, , 26, 10, , 5
2018/2/21, 47, , 26, 13, , 7
2018/2/22, 48, , 27, 13, , 7
2018/2/23, 57, , 26, 10, , 6
2018/2/24, 51, , 26, 5, , 5
2018/2/25, 41, , 26, 5, , 3
2018/2/26, 33, , 29, 7, , 1
2018/2/27, 30, , 21, 10, , 2
2018/2/28, 39, 1, 29, 2, 37, 1
2018/3/1, 28, , 26, 9, , 3
2018/3/2, 40, , 26, 7, , 3
2018/3/3, 42, , 25, 6, , 3
2018/3/4, 42, , 26, 11, , 3
2018/3/5, 39, , 28, 11, , 2
2018/3/6, 42, , 34, 10, , 2
2018/3/7, 32, , 28, 7, , 1
2018/3/8, 30, , 19, 8, , 2
2018/3/9, 27, , 16, 9, , 2
2018/3/10, 41, , 25, 7, , 3
2018/3/11, 45, , 23, 8, , 2
2018/3/12, 34, , 28, 4, , 1
2018/3/13, 16, , 29, 7, , 2
2018/3/14, 22, , 26, 8, , 3
2018/3/15, 29, , 28, 7, , 2
2018/3/16, 24, , 26, 8, , 3
2018/3/17, 35, , 25, 8, , 3
2018/3/18, 36, , 28, 8, , 3
2018/3/19, 37, , 23, 9, , 3
2018/3/20, 32, , 16, 8, , 3
2018/3/21, 16, , 30, 2, , 2
2018/3/22, 18, , 31, 7, , 3
2018/3/23, 35, , 32, 3, , 2
2018/3/24, 28, , 29, 6, , 3
2018/3/25, 35, , 32, 6, , 3
2018/3/26, 30, , 30, 6, , 2
2018/3/27, 28, , 26, 9, , 4
2018/3/28, 41, , 28, 9, , 4
2018/3/29, 33, , 29, 9, , 4
2018/3/30, 33, , 25, 6, , 3
2018/3/31, 40, , 24, 3, , 2
2017/10/1, 31, , 33, 4, , 2
2017/10/2, 24, , 30, 7, , 3
