date, pm25, pm10, no2, so2, co
2020/1/2, 62, 51, 38, 1, 14
2020/1/3, 122, 69, 39, 2, 17
2020/1/4, 154, 32, 15, , 5
2020/1/5, 89, 9, 6, , 1
2020/1/6, 25, 58, 25, 1, 5
2020/1/7, 88, 26, 13, , 3
2020/1/8, 68, 40, 19, 1, 10
2020/1/9, 95, 58, 21, 2, 13
2020/1/10, 129, 48, 17, 1, 8
2020/1/11, 110, 30, 8, , 3
2020/1/12, 76, 39, 14, 1, 7
2020/1/13, 78, 65, 17, 1, 13
2020/1/14, 137, 58, 15, 1, 10
2020/1/15, 126, 57, 10, 1, 9
2020/1/16, 122, , , , 
2019/10/1, 58, 32, 29, 1, 9
2019/10/2, 63, 25, 26, 1, 6
2019/10/3, 45, 24, 20, , 7
2019/10/4, 52, 30, 30, 1, 11
2019/10/5, 53, 29, 29, 1, 9
2019/10/6, 49, 18, 17, , 5
2019/10/7, 39, 25, 13, , 5
2019/10/8, 46, 35, 37, 1, 8
2019/10/9, 62, 37, 31, 1, 9
2019/10/10, 59, 29, 31, 1, 9
2019/10/11, 54, 27, 30, 1, 8
2019/10/12, 52, 27, 29, 1, 8
2019/10/13, 47, 29, 35, 1, 9
2019/10/14, 63, 30, 33, 1, 9
2019/10/15, 70, 7, 22, , 4
2019/10/16, 36, 6, 30, , 
2019/10/19, 73, 5, 33, 1, 10
2019/10/21, 77, 48, 42, 2, 10
2019/10/22, 82, 62, 47, 2, 10
2019/10/23, 93, 59, 33, 1, 8
2019/10/24, 80, 47, 26, 1, 7
2019/10/25, 57, 39, 27, 1, 8
2019/10/26, 74, 38, 28, 1, 8
2019/10/27, 82, 46, 42, 1, 11
2019/10/28, 99, 49, 36, 1, 12
2019/10/29, 95, 39, 30, 1, 11
2019/10/30, 83, 32, 32, 1, 10
2019/10/31, 70, 24, 21, 1, 7
2019/11/1, 48, 21, 21, 1, 7
2019/11/2, 44, 21, 11, , 5
2019/11/3, 35, 24, 17, 1, 8
2019/11/4, 41, 31, 14, 1, 6
2019/11/5, 40, 32, 22, 1, 11
2019/11/6, 45, 33, 30, 1, 15
2019/11/7, 62, 40, 24, 1, 9
2019/11/8, 53, 23, 20, 1, 7
2019/11/9, 40, 17, 22, 1, 7
2019/11/10, 35, 88, 23, 1, 9
2019/11/11, 84, 43, 14, 1, 6
2019/11/12, 41, 32, 21, 1, 11
2019/11/13, 53, 42, 31, 1, 15
2019/11/14, 73, 46, 20, 1, 8
2019/11/15, 54, 49, 12, 1, 6
2019/11/16, 48, 44, 14, , 6
2019/11/17, 36, 32, 23, 1, 9
2019/11/18, 38, 30, 22, , 7
2019/11/19, 45, 26, 30, 1, 11
2019/11/20, 59, 27, 27, 1, 11
2019/11/21, 55, 32, 28, 1, 11
2019/11/22, 68, 40, 22, 1, 11
2019/11/23, 63, 16, 18, 1, 8
2019/11/24, 39, 17, 23, 1, 10
2019/11/25, 45, 47, 28, 1, 13
2019/11/26, 74, 25, 21, 1, 5
2019/11/27, 54, 21, 22, 1, 6
2019/11/28, 36, 26, 22, 1, 7
2019/11/29, 40, 35, 28, 1, 10
2019/11/30, 59, 27, 23, 1, 5
2019/12/1, 52, 45, 34, 1, 10
2019/12/2, 74, 29, , , 4
2019/12/3, 50, 21, 16, , 1
2019/12/4, 41, 26, 20, , 4
2019/12/5, 60, 45, 33, 1, 13
2019/12/6, 94, 34, 31, 1, 10
2019/12/7, 73, 37, 23, 1, 11
2019/12/8, 74, 41, , 2, 16
2019/12/9, 85, 27, 32, 1, 4
2019/12/10, 50, 28, 18, , 3
2019/12/11, 47, 49, 36, 2, 15
2019/12/12, 95, 35, 23, 1, 8
2019/12/13, 60, 32, 26, 2, 16
2019/12/14, 68, 48, 34, 3, 26
2019/12/15, 81, 59, 36, 2, 25
2019/12/16, 103, 58, 34, 2, 19
2019/12/17, 110, 49, 33, 1, 11
2019/12/18, 93, 33, 28, 1, 5
2019/12/19, 63, 34, 22, 1, 4
2019/12/20, 63, 32, 12, , 2
2019/12/21, 40, 29, 7, , 2
2019/12/22, 40, 24, 18, 1, 7
2019/12/23, 47, 39, 30, 1, 14
2019/12/24, 87, 43, 25, 1, 11
2019/12/25, 93, 26, 15, , 4
2019/12/26, 64, 32, 24, 1, 7
2019/12/27, 82, 16, 10, , 3
2019/12/28, 45, , , , 
2019/7/1, 50, 34, 38, 1, 9
2019/7/2, 58, 32, 36, 1, 10
2019/7/3, 55, 29, 36, 1, 9
2019/7/4, 55, 29, 31, 1, 8
2019/7/5, 50, 29, 27, 1, 8
2019/7/6, 58, 27, 24, 1, 8
2019/7/7, 53, 32, 27, 1, 10
2019/7/8, 60, 39, 28, 1, 10
2019/7/9, 55, 46, 24, 1, 8
2019/7/10, 56, 27, 23, , 7
2019/7/11, 43, 21, 32, 1, 9
2019/7/12, 38, 24, 23, 1, 8
2019/7/13, 42, 13, 16, , 5
2019/7/14, 37, 17, 29, 1, 7
2019/7/15, 40, 20, 8, , 5
2019/7/16, 39, 22, 32, 1, 7
2019/7/17, 49, 25, 32, 1, 7
2019/7/18, 46, 25, 29, 1, 9
2019/7/19, 38, 25, 27, 1, 8
2019/7/20, 47, 26, 25, , 8
2019/7/21, 62, 31, 37, 1, 10
2019/7/22, 66, 32, 39, 1, 10
2019/7/23, 55, 30, 28, 1, 8
2019/7/24, 55, 34, 34, 1, 9
2019/7/25, 68, 30, 36, 1, 11
2019/7/26, 68, 29, 21, 1, 9
2019/7/27, 56, 28, 15, , 7
2019/7/28, 42, 30, 23, 1, 9
2019/7/29, 42, 30, 25, 1, 8
2019/7/30, 46, 28, 24, 1, 9
2019/7/31, 40, 27, 27, 1, 9
2019/8/1, 44, 30, 33, 1, 10
2019/8/2, 60, 31, 32, 1, 9
2019/8/3, 56, 25, 19, , 7
2019/8/4, 51, 26, 32, 1, 10
2019/8/5, 50, 29, 35, 1, 10
