date, pm25
2020/1/2, 24
2020/1/3, 21
2020/1/4, 34
2020/1/5, 26
2020/1/6, 28
2020/1/7, 30
2020/1/8, 32
2020/1/9, 36
2020/1/10, 38
2020/1/11, 23
2020/1/12, 24
2020/1/13, 38
2020/1/14, 32
2020/1/15, 25
2019/10/1, 62
2019/10/2, 65
2019/10/3, 59
2019/10/4, 21
2019/10/5, 33
2019/10/6, 38
2019/10/7, 14
2019/10/8, 24
2019/10/9, 38
2019/10/10, 39
2019/10/11, 33
2019/10/12, 28
2019/10/13, 42
2019/10/14, 44
2019/10/15, 41
2019/10/16, 24
2019/10/17, 32
2019/10/18, 33
2019/10/19, 36
2019/10/20, 43
2019/10/21, 24
2019/10/22, 20
2019/10/23, 34
2019/10/24, 43
2019/10/25, 38
2019/10/26, 17
2019/10/27, 26
2019/10/28, 32
2019/10/29, 37
2019/10/30, 25
2019/10/31, 21
2019/11/1, 36
2019/11/2, 44
2019/11/3, 42
2019/11/4, 43
2019/11/5, 43
2019/11/6, 38
2019/11/7, 34
2019/11/8, 24
2019/11/18, 36
2019/11/19, 43
2019/11/20, 42
2019/11/21, 47
2019/11/22, 35
2019/11/23, 20
2019/11/24, 22
2019/11/25, 38
2019/11/26, 39
2019/11/27, 30
2019/11/28, 24
2019/11/29, 26
2019/11/30, 33
2019/12/1, 16
2019/12/2, 19
2019/12/3, 19
2019/12/4, 29
2019/12/5, 37
2019/12/6, 49
2019/12/7, 54
2019/12/8, 49
2019/12/9, 42
2019/12/10, 27
2019/12/11, 32
2019/12/12, 31
2019/12/13, 23
2019/12/14, 35
2019/12/15, 48
2019/12/16, 23
2019/12/17, 21
2019/12/18, 29
2019/12/19, 45
2019/12/20, 54
2019/12/21, 50
2019/12/22, 40
2019/12/23, 22
2019/12/24, 44
2019/12/25, 41
2019/12/26, 40
2019/12/27, 48
2019/12/28, 38
2019/7/1, 43
2019/7/2, 62
2019/7/3, 62
2019/7/4, 62
2019/7/5, 76
2019/7/6, 52
2019/7/7, 48
2019/7/8, 40
2019/7/9, 50
2019/7/10, 49
2019/7/11, 42
2019/7/12, 47
2019/7/13, 34
2019/7/14, 42
2019/7/15, 38
2019/7/16, 36
2019/7/17, 37
2019/7/18, 37
2019/7/19, 42
2019/7/20, 33
2019/7/21, 30
2019/7/22, 26
2019/7/23, 32
2019/7/24, 39
2019/7/25, 46
2019/7/26, 53
2019/7/27, 57
2019/7/28, 55
2019/7/29, 57
2019/7/30, 32
2019/7/31, 40
2019/8/1, 49
2019/8/2, 46
2019/8/3, 37
2019/8/4, 33
2019/8/5, 41
2019/8/6, 42
2019/8/7, 41
2019/8/8, 52
2019/8/9, 50
2019/8/10, 56
2019/8/11, 64
2019/8/12, 87
2019/8/13, 64
2019/8/14, 33
2019/8/15, 31
2019/8/16, 46
2019/8/17, 52
2019/8/18, 50
2019/8/19, 51
2019/8/20, 45
2019/8/21, 37
