date, pm25, pm10, o3, no2, so2, co
2020/1/2, 38, 19, 3, 12, , 3
2020/1/3, 54, 15, 3, 9, , 4
2020/1/4, 48, 4, 14, 2, , 1
2020/1/5, 10, 12, 9, 8, , 2
2020/1/6, 31, 13, 10, 8, , 2
2020/1/7, 31, 15, 13, 5, , 2
2020/1/8, 35, 11, 13, 4, , 1
2020/1/9, 15, 15, 8, 10, , 2
2020/1/10, 34, 22, 15, 5, , 1
2020/1/11, 46, 12, 14, 2, , 1
2020/1/12, 24, 14, 9, 6, , 2
2020/1/13, 32, 17, 7, 5, , 2
2020/1/14, 50, 17, 10, 6, , 3
2020/1/15, 47, 26, , 11, , 6
2020/1/16, 67, , , , , 
2019/10/1, 29, 17, 16, 7, , 2
2019/10/2, 37, 9, 9, 1, , 1
2019/10/3, 17, 8, 13, 2, , 1
2019/10/4, 11, 8, 13, 2, , 2
2019/10/5, 17, 16, 15, 4, , 2
2019/10/6, 30, 17, 15, 3, , 1
2019/10/7, 28, 10, 10, 4, , 1
2019/10/8, 20, 10, 6, 3, , 1
2019/10/9, 23, 10, 12, 1, , 1
2019/10/10, 15, 11, 12, 1, , 1
2019/10/11, 16, 7, 11, 2, , 1
2019/10/12, 15, 12, 13, 5, , 2
2019/10/13, 27, 16, 13, 8, , 2
2019/10/14, 41, 12, 11, 6, , 2
2019/10/15, 23, 15, 17, 4, , 2
2019/10/16, 30, 7, 13, 2, , 1
2019/10/17, 8, 5, 10, 1, , 1
2019/10/18, 8, 10, 12, 6, , 2
2019/10/19, 24, 14, 12, 5, , 3
2019/10/20, 42, 12, 13, 5, , 2
2019/10/21, 34, 10, 12, 6, , 2
2019/10/22, 25, 10, 15, 3, , 1
2019/10/23, 13, 17, 14, 9, , 3
2019/10/24, 31, 19, 11, 11, , 3
2019/10/25, 43, 13, 15, 4, , 2
2019/10/26, 34, 8, , , , 
2019/10/27, 16, 7, 11, 2, , 1
2019/10/28, 13, 6, 12, 3, , 1
2019/10/29, 13, 7, 10, 5, , 1
2019/10/30, 14, 22, 14, 5, , 1
2019/10/31, 39, 12, 13, 2, , 1
2019/11/1, 17, 11, 12, 6, , 2
2019/11/2, 30, 13, 13, 6, , 2
2019/11/3, 37, 13, 13, 6, , 2
2019/11/4, 27, 18, 10, 11, , 3
2019/11/5, 40, 19, 13, 8, , 3
2019/11/6, 36, 20, 10, 10, , 2
2019/11/7, 45, 5, 12, 1, , 1
2019/11/8, 9, 6, 10, 5, , 1
2019/11/9, 15, 17, 10, 10, , 4
2019/11/10, 46, 29, 13, 10, , 5
2019/11/11, 70, 13, 14, 4, , 2
2019/11/12, 32, 7, 15, 3, , 1
2019/11/13, 12, 18, 6, 13, , 3
2019/11/14, 40, 23, 10, 12, , 4
2019/11/15, 53, 10, 14, 3, , 1
2019/11/16, 19, 11, 11, 4, , 1
2019/11/17, 23, 10, 11, 3, , 1
2019/11/18, 21, 8, 10, 4, , 1
2019/11/19, 21, 8, 10, 2, , 1
2019/11/20, 20, 12, 13, 6, , 2
2019/11/21, 29, 16, 11, 5, , 1
2019/11/22, 41, 9, 12, 5, , 2
2019/11/23, 20, 8, 12, 4, , 2
2019/11/24, 22, 20, 8, 8, , 2
2019/11/25, 59, 28, 2, 14, , 7
2019/11/26, 68, 30, 11, 9, , 5
2019/11/27, 66, 5, 11, 1, , 1
