date, pm25, pm10, o3, no2
2020/1/2, 47, 23, 10, 14
2020/1/3, 60, , , 
2020/1/5, 51, 19, 24, 12
2020/1/6, 40, 20, 15, 12
2020/1/7, 48, 22, 18, 10
2020/1/8, 35, 17, 21, 12
2020/1/9, 36, 16, 14, 14
2020/1/10, 38, 13, 19, 9
2020/1/11, 34, 11, 25, 6
2020/1/12, 26, 25, 17, 14
2020/1/13, 48, 18, 25, 11
2020/1/14, 43, 29, 18, 17
2020/1/15, 57, 13, 13, 7
2020/1/16, 35, , , 
2019/10/1, 23, 11, 32, 8
2019/10/2, 12, 14, 33, 6
2019/10/3, 9, 16, 37, 9
2019/10/4, 10, 13, 34, 6
2019/10/5, 15, 10, 36, 5
2019/10/6, 12, 15, 30, 8
2019/10/7, 20, 13, 35, 7
2019/10/8, 10, 14, 28, 7
2019/10/9, 15, 19, 24, 10
2019/10/10, 22, 18, 38, 9
2019/10/11, 27, 18, 39, 7
2019/10/12, 34, 17, 29, 6
2019/10/13, 32, 24, 28, 10
2019/10/14, 34, 21, 25, 5
2019/10/15, 31, 15, 27, 9
2019/10/16, 20, 14, 24, 8
2019/10/17, 25, 13, 19, 10
2019/10/18, 22, 14, 30, 6
2019/10/19, 18, 20, 26, 8
2019/10/20, 30, 14, 13, 9
2019/10/21, 21, 23, 24, 8
2019/10/22, 26, 26, 34, 7
2019/10/23, 34, 19, 27, 12
2019/10/24, 27, 16, 13, 8
2019/10/25, 19, 17, 19, 7
2019/10/26, 25, 19, 24, 6
2019/10/27, 35, 24, 24, 11
2019/10/28, 38, 28, 24, 11
2019/10/29, 56, 21, 24, 8
2019/10/30, 46, 24, 19, 12
2019/10/31, 46, 12, 22, 4
2019/11/1, 15, 9, 24, 6
2019/11/2, 13, 12, 25, 2
2019/11/3, 7, 13, 27, 6
2019/11/4, 11, 14, 27, 5
2019/11/5, 10, 14, 22, 9
2019/11/6, 28, 12, 13, 9
2019/11/7, 14, 11, 15, 9
2019/11/8, 20, 10, 21, 8
2019/11/9, 24, 7, 11, 5
2019/11/10, 19, , , 
2019/11/12, 7, , 20, 10
2019/11/14, 16, 9, 23, 13
2019/11/15, 19, 7, 24, 6
2019/11/16, 16, 9, 21, 4
2019/11/17, 25, 9, 19, 11
2019/11/18, 20, 8, 26, 10
2019/11/19, 19, 10, 11, 14
2019/11/20, 22, 10, 12, 14
2019/11/21, 25, 7, 27, 9
2019/11/22, 13, 27, 30, 3
2019/11/23, 23, , 21, 7
2019/11/24, 14, , 11, 9
2019/11/25, 21, 26, 9, 10
2019/11/26, 27, 14, 16, 11
2019/11/27, 24, 13, 26, 6
2019/11/28, 17, 12, 27, 12
2019/11/29, 21, 13, 20, 10
2019/11/30, 26, 9, 18, 8
2019/12/1, 23, 13, 19, 11
2019/12/2, 23, 12, 11, 10
2019/12/3, 21, 18, 18, 10
2019/12/4, 28, 27, 14, 18
2019/12/5, 44, 23, 14, 16
2019/12/6, 40, 19, 15, 11
2019/12/7, 44, 16, 21, 6
2019/12/8, 41, 15, 27, 7
2019/12/9, 19, 17, 23, 17
2019/12/10, 23, 20, 16, 14
2019/12/11, 34, 21, 20, 16
2019/12/12, 39, 8, 30, 6
2019/12/13, 15, 19, 29, 9
2019/12/14, 29, 20, 19, 9
2019/12/15, 37, 25, 19, 12
2019/12/16, 46, 36, 27, 11
2019/12/17, 52, 33, 24, 11
2019/12/18, 50, 20, 27, 10
2019/12/19, 37, 37, 29, 6
2019/12/20, 41, 16, 24, 7
2019/12/21, 23, 15, 33, 1
2019/12/22, 13, 7, 32, 4
2019/12/23, 11, 13, 23, 8
2019/12/24, 27, 15, 18, 7
2019/12/25, 35, 20, 14, 11
2019/12/26, 46, 16, 19, 9
