date, pm25, pm10, o3, no2, so2, co
2020/1/2, 129, 71, 3, 35, 7, 9
2020/1/3, 154, 39, 19, 26, 3, 8
2020/1/4, 88, 48, 30, 22, 5, 8
2020/1/5, 92, 20, 30, 11, 3, 6
2020/1/6, 49, 28, 28, 15, 3, 9
2020/1/7, 64, 44, 20, 12, 3, 10
2020/1/8, 98, 54, 14, 28, 7, 9
2020/1/9, 124, 54, 3, 29, 8, 10
2020/1/10, 129, 8, 21, 19, 3, 6
2020/1/11, 25, , , , , 
2020/1/15, 163, 19, 19, 27, 4, 12
2020/1/16, 59, , , , , 
2019/10/1, 38, 23, 23, 11, 3, 5
2019/10/2, 68, 20, 33, 10, 4, 6
2019/10/3, 63, 26, 39, 5, 4, 5
2019/10/4, 75, 32, 63, 6, 5, 5
2019/10/5, 71, 24, 40, 8, 5, 5
2019/10/6, 59, 40, 46, 9, 3, 6
2019/10/7, 84, 38, 24, 18, 6, 8
2019/10/8, 85, , , , , 
2019/10/11, 78, 46, 58, 17, 6, 7
2019/10/12, 97, 41, 41, 27, 5, 7
2019/10/13, 84, 51, 19, 23, 6, 6
2019/10/14, 90, 30, 34, 8, 3, 3
2019/10/15, 17, 49, 41, 19, 5, 5
2019/10/16, 84, 49, 45, 21, 5, 6
2019/10/17, 97, 47, 53, 24, 5, 6
2019/10/18, 90, 57, 69, 26, 7, 7
2019/10/19, 115, 52, 68, 28, 7, 7
2019/10/20, 120, , , , , 
2019/10/22, 141, 49, 63, 21, 6, 6
2019/10/23, 102, 56, 65, 27, 6, 6
2019/10/24, 113, 58, 66, 27, 7, 7
2019/10/25, 113, 59, 36, 18, 4, 7
2019/10/26, 99, 44, 18, 21, 5, 6
2019/10/27, 75, 28, 18, 32, 6, 8
2019/10/28, 78, 99, 45, 32, 8, 9
2019/10/29, 127, 147, 81, 37, 12, 10
2019/10/30, 158, 123, 81, 37, 10, 8
2019/10/31, 151, 69, 55, 22, 8, 7
2019/11/1, 115, 91, 85, 31, 10, 8
2019/11/2, 145, 96, 39, 42, 8, 8
2019/11/3, 159, 50, 57, 18, 5, 6
2019/11/4, 82, 47, 49, 21, 6, 5
2019/11/5, 87, 55, 44, 30, 8, 6
2019/11/6, 101, 57, 46, 26, 7, 8
2019/11/7, 120, 40, 41, 19, 5, 6
2019/11/8, 67, 48, 45, 26, 7, 6
2019/11/9, 93, 67, 63, 35, 11, 8
2019/11/10, 126, 79, 52, 38, 11, 9
2019/11/11, 137, 89, 34, 40, 11, 11
2019/11/12, 149, 71, 43, 26, 7, 8
2019/11/13, 132, 49, 38, 19, 6, 5
2019/11/14, 53, 50, 41, 21, 8, 6
2019/11/15, 77, 41, 43, 18, 7, 5
2019/11/16, 71, 48, 31, 18, 5, 5
2019/11/17, 92, 58, 27, 19, 5, 8
2019/11/18, 93, 73, 33, 15, 6, 6
2019/11/19, 70, 68, 28, 20, 7, 5
2019/11/20, 88, 76, 28, 29, 6, 7
2019/11/21, 118, 89, 16, 36, 9, 8
2019/11/22, 154, 83, 5, 42, 7, 13
2019/11/23, 161, 50, 23, 23, 6, 8
2019/11/24, 99, 20, 25, 12, 4, 5
2019/11/25, 30, 49, 12, 25, 5, 7
2019/11/26, 88, 32, 26, 19, 4, 7
2019/11/27, 66, 28, 25, 11, 4, 7
2019/11/28, 53, 49, 20, 24, 6, 8
2019/11/29, 85, 60, 5, 30, 6, 8
2019/11/30, 118, 27, 12, 22, 3, 9
2019/12/1, 78, 58, 30, 20, 6, 9
2019/12/2, 142, 80, 38, 28, 9, 11
2019/12/3, 166, 84, 11, 35, 8, 11
2019/12/4, 163, 81, 31, 34, 8, 10
2019/12/5, 151, 23, 31, 14, 3, 6
2019/12/6, 53, 60, 36, 29, 7, 9
2019/12/7, 132, 96, 48, 39, 11, 12
2019/12/8, 171, 83, 34, 43, 10, 11
2019/12/9, 148, 67, 32, 38, 10, 8
2019/12/10, 135, 101, 38, 36, 10, 10
2019/12/11, 170, 72, 32, 32, 7, 10
2019/12/12, 121, 63, 33, 29, 10, 8
2019/12/13, 117, 84, 23, 35, 13, 10
2019/12/14, 154, 88, 16, 28, 12, 12
2019/12/15, 137, 43, 32, 28, 5, 7
2019/12/16, 87, 80, 30, 31, 7, 11
2019/12/17, 137, 35, 23, 16, 3, 9
2019/12/18, 60, 46, 17, 21, 3, 7
2019/12/19, 63, 46, 22, 31, 5, 7
2019/12/20, 89, 32, 21, 33, 4, 8
2019/12/21, 85, 18, 23, 26, 4, 6
2019/12/22, 58, 45, 18, 33, 6, 10
2019/12/23, 107, 23, 22, 32, 5, 6
