date, pm25, pm10, o3, no2, so2, co
2020/1/2, 165, 101, , 12, 6, 
2020/1/3, 207, 106, , 14, 7, 
2020/1/4, 215, 30, , 7, 4, 
2020/1/5, 87, 34, , 7, 4, 
2020/1/6, 97, 67, , 9, 5, 
2020/1/7, 156, 97, , 14, 5, 
2020/1/8, 202, 106, , 14, 7, 
2020/1/9, 217, 112, , 16, 8, 
2020/1/10, 225, 95, , 12, 5, 
2020/1/11, 203, 71, , 8, 5, 
2020/1/12, 173, 96, , 8, 6, 
2020/1/13, 202, 85, , 7, 6, 
2020/1/14, 187, 107, , 10, 6, 
2020/1/15, 226, 103, , 3, 5, 
2020/1/16, 214, , , , , 
2019/10/1, 46, 25, , 9, 4, 
2019/10/2, 59, 21, , 9, 3, 
2019/10/3, 59, 25, , 6, 2, 
2019/10/4, 78, 23, , 5, 2, 
2019/10/5, 74, 22, , 5, 2, 
2019/10/6, 65, 28, , 3, 2, 
2019/10/7, 82, 27, , 7, 2, 
2019/10/8, 84, 23, , 7, 2, 
2019/10/9, 68, 24, , 8, 3, 
2019/10/10, 71, 20, , 8, 2, 
2019/10/11, 64, 20, , 6, 2, 
2019/10/12, 62, , , , , 
2019/10/16, 89, 30, , 11, 2, 
2019/10/17, 84, 35, , 15, 3, 
2019/10/18, 95, 37, , 13, 3, 
2019/10/19, 100, 35, , 13, 2, 
2019/10/20, 99, 39, , 14, 2, 
2019/10/21, 106, 39, , 14, 2, 
2019/10/22, 109, 40, , 16, 2, 
2019/10/23, 109, 36, , 17, 3, 
2019/10/24, 99, 40, , 18, 4, 
2019/10/25, 110, 63, , 15, 3, 
2019/10/26, 157, 65, 9, 16, 3, 5
2019/10/27, 161, 64, , 20, 6, 
2019/10/28, 157, 82, , 17, 3, 
2019/10/29, 184, 30, , 9, 1, 
2019/10/30, 90, 17, , 7, 1, 
2019/10/31, 59, 18, , 8, 1, 
2019/11/1, 56, 26, , 10, 3, 
2019/11/2, 78, 24, , 10, 2, 
2019/11/3, 74, 19, , 9, 2, 
2019/11/4, 48, 21, , 10, 2, 
2019/11/5, 54, 21, , 10, 2, 
2019/11/6, 65, 40, , 4, 2, 
2019/11/7, 112, 25, , 7, 2, 
2019/11/8, 71, 33, , 7, 2, 
2019/11/9, 91, 30, , 7, 2, 
2019/11/10, 89, 54, , 7, 2, 
2019/11/11, 136, 37, , 9, 3, 
2019/11/12, 95, 27, , 9, 2, 
2019/11/13, 77, 35, , 9, 2, 
2019/11/14, 93, 37, , 8, 2, 
2019/11/15, 97, 24, , 9, 2, 
2019/11/16, 71, 21, , 6, 2, 
2019/11/17, 68, 34, , 10, 3, 
2019/11/18, 96, 33, , 10, 2, 
2019/11/19, 94, 35, , 8, 2, 
2019/11/20, 104, 46, , 7, 2, 
2019/11/21, 128, 10, , 5, 1, 
2019/11/22, 29, 21, , 5, 2, 
2019/11/23, 66, 37, , 5, 2, 
2019/11/24, 109, 17, , 6, 3, 
2019/11/25, 56, 25, , 7, 2, 
2019/11/26, 66, 52, , 9, 6, 
2019/11/27, 123, 31, , 8, 5, 
2019/11/28, 91, 45, , 9, 5, 
2019/11/29, 111, 31, , 7, 3, 
2019/11/30, 92, 53, , 9, 6, 
2019/12/1, 130, 60, , 12, 7, 
2019/12/2, 148, 32, , 6, 3, 
2019/12/3, 101, 50, , 9, 4, 
2019/12/4, 131, 62, , 11, 5, 
2019/12/5, 155, 80, , 11, 6, 
2019/12/6, 177, 105, , 7, 5, 
2019/12/7, 219, 84, , 4, 4, 
2019/12/8, 182, 20, , 13, 5, 
2019/12/9, 56, , , 6, 5, 
2019/12/16, 213, 110, , 13, 9, 
2019/12/17, 222, 98, , 14, 10, 
2019/12/18, 202, 97, , 12, 7, 
2019/12/19, 204, 74, , 10, 8, 
2019/12/20, 166, 26, , 7, 6, 
2019/12/21, 72, 16, , 6, 6, 
2019/12/22, 54, 10, , 6, 4, 
2019/12/23, 39, 12, , 4, 4, 
2019/12/24, 47, 27, , 6, 4, 
2019/12/25, 86, 22, , 5, 4, 
2019/12/26, 76, 31, , 8, 4, 
2019/12/27, 92, 24, , 5, 3, 
2019/12/28, 80, , , , , 
2019/8/1, 64, 26, , 5, , 
2019/8/2, 61, 17, , 4, , 
2019/8/3, 48, 24, , 3, , 
2019/8/4, 65, 24, , 4, , 
2019/8/5, 56, 23, , 5, , 
2019/8/6, 57, 23, , 5, , 
2019/8/7, 53, 24, , 7, , 
2019/8/8, 55, 23, , 8, , 
2019/8/9, 58, 27, , 6, , 
2019/8/10, 69, 25, , 6, , 
2019/8/11, 62, 21, , 6, , 
2019/8/12, 45, 19, , 10, 4, 
