date, pm25, o3, no2, so2, co
2020/1/2, 17, , 2, , 
2020/1/3, 29, , 1, , 
2020/1/4, 19, , 1, , 
2020/1/5, 19, , 3, , 
2020/1/6, 24, , 4, , 
2020/1/7, 32, , 2, , 
2020/1/8, 24, , 1, , 
2020/1/9, 21, , 4, , 
2020/1/10, 19, , 1, , 
2020/1/11, 15, , 2, , 
2020/1/12, 34, , 2, , 
2020/1/13, 36, , 2, , 
2020/1/14, 17, , 2, , 
2020/1/15, 30, , 2, , 
2020/1/16, 17, , , , 
2019/10/7, 15, 13, , , 
2019/10/8, 17, 9, 1, , 
2019/10/9, 21, 15, 1, , 
2019/10/10, 12, 17, 1, , 
2019/10/11, 14, 20, 2, , 
2019/10/12, 24, 16, 1, , 
2019/10/13, 30, 11, 1, , 
2019/10/14, 34, 21, 1, , 
2019/10/15, 37, 14, 1, , 
2019/10/16, 21, 13, 1, , 
2019/10/17, 16, 14, 1, , 
2019/10/18, 14, 15, 2, , 
2019/10/19, 24, 15, , , 
2019/10/20, 21, 12, , , 
2019/10/21, 19, 11, 1, , 
2019/10/22, 11, 14, 1, , 
2019/10/23, 27, 17, 1, , 
2019/10/24, 26, 8, 3, , 
2019/10/25, 22, 17, 2, , 
2019/10/26, 30, 13, 1, , 
2019/10/27, 18, 14, , , 
2019/10/28, 26, 12, , , 
2019/10/29, 11, 10, 1, , 
2019/10/30, 9, 11, 1, , 
2019/10/31, 11, 12, 1, , 
2019/11/1, 26, 12, 1, , 
2019/11/2, 26, 14, 2, , 
2019/11/3, 40, , 2, , 
2019/11/4, 27, , 3, , 
2019/11/5, 28, , 2, , 
2019/11/6, 37, , 3, , 
2019/11/7, 34, , , , 
2019/11/8, 25, , 2, , 
2019/11/9, 18, , 2, , 
2019/11/10, 40, , 2, , 
2019/11/11, 41, , 1, , 
2019/11/12, 27, , 1, , 
2019/11/13, 20, , 4, , 
2019/11/14, 35, , 1, , 
2019/11/15, 31, , 1, , 
2019/11/16, 33, , , , 
2019/11/17, 13, , 2, , 
2019/11/18, 20, , 2, , 
2019/11/19, 45, , 2, , 
2019/11/20, 46, , 2, , 
2019/11/21, 41, , 2, , 
2019/11/22, 46, , 1, , 
2019/11/23, 18, , 1, , 
2019/11/24, 29, , 4, , 
2019/11/25, 30, , 4, , 
2019/11/26, 43, , 2, , 
2019/11/27, 34, , , , 
2019/11/28, 24, , 1, , 
2019/11/29, 17, , 2, , 
2019/11/30, 35, , 1, , 
2019/12/1, 33, , 1, , 
2019/12/2, 22, , 2, , 
2019/12/3, 14, , 2, , 
2019/12/4, 22, , 4, , 
2019/12/5, 27, , 5, , 
2019/12/6, 40, , 2, , 
2019/12/7, 32, , , , 
2019/12/8, 19, , 2, , 
2019/12/9, 16, , 1, , 
2019/12/10, 33, , 2, , 
2019/12/11, 30, , 1, , 
2019/12/12, 26, , , , 
2019/12/13, 13, , 1, , 
2019/12/14, 17, , 2, , 
2019/12/15, 26, , 1, , 
2019/12/16, 34, , 2, , 
2019/12/17, 33, , 1, , 
2019/12/18, 19, , 4, , 
2019/12/19, 42, , 4, , 
2019/12/20, 45, , 3, , 
2019/12/21, 35, , 4, , 
2019/12/22, 60, , 4, , 
2019/12/23, 56, , 2, , 
2019/12/24, 54, , 2, , 
2019/12/25, 26, , 3, , 
2019/12/26, 42, , 2, , 
2019/12/27, 27, , 3, , 
2019/12/28, 43, , , , 
2018/10/1, 32, 17, 1, , 
2018/10/2, 27, 17, 1, , 
2018/10/3, 26, 18, 3, , 
2018/10/4, 39, 12, 1, , 
2018/10/5, 39, 14, , , 
2018/10/6, 21, 15, 1, , 
2018/10/7, 22, 14, , , 
2018/10/8, 16, 14, , , 
2018/10/9, 13, 14, 1, , 
2018/10/10, 17, 9, 1, , 
2018/10/11, 19, 15, 1, , 
2018/10/12, 43, 14, 1, , 
2018/10/13, 21, 16, 1, , 
2018/10/14, 19, 15, 2, , 
2018/10/15, 18, 13, , , 
2018/10/16, 13, 12, 2, , 
2018/10/17, 25, 14, 1, , 
2018/10/18, 17, 16, 2, , 
2018/10/19, 21, 12, 1, , 
2018/10/20, 30, 13, , , 
2018/10/21, 29, 13, 1, , 
2018/10/22, 22, 14, 1, , 
2018/10/23, 28, 12, , , 
2018/10/24, 25, 10, 2, , 
