date, pm25, o3
2020/1/1, 21, 
2020/1/2, 34, 
2020/1/3, 43, 
2020/1/4, 39, 
2020/1/5, 26, 
2020/1/6, 25, 
2020/1/9, 38, 
2020/1/10, 32, 
2020/1/11, 12, 
2020/1/12, 24, 
2020/1/13, 38, 
2020/1/14, 51, 
2020/1/15, 43, 
2020/1/16, 52, 
2019/10/1, 43, 23
2019/10/2, 28, 13
2019/10/3, 22, 22
2019/10/4, 25, 27
2019/10/5, 30, 27
2019/10/6, 25, 25
2019/10/7, 31, 32
2019/10/8, 32, 38
2019/10/9, 33, 25
2019/10/10, 40, 24
2019/10/11, 22, 31
2019/10/12, 18, 32
2019/10/13, 24, 26
2019/10/14, 30, 27
2019/10/15, 37, 19
2019/10/16, 27, 24
2019/10/17, 31, 30
2019/10/18, 26, 34
2019/10/19, 35, 29
2019/10/20, 39, 28
2019/10/21, 26, 24
2019/10/22, 26, 32
2019/10/23, 22, 18
2019/10/24, 31, 18
2019/10/25, 31, 13
2019/10/26, 45, 27
2019/10/27, 55, 11
2019/10/28, 51, 18
2019/11/4, 39, 22
2019/11/5, 39, 24
2019/11/6, 33, 21
2019/11/7, 24, 
2019/11/8, 32, 
2019/11/9, 34, 
2019/11/10, 60, 
2019/11/11, 32, 
2019/11/12, 21, 
2019/11/13, 30, 
2019/11/14, 50, 
2019/11/15, 64, 
2019/11/16, 76, 
2019/11/17, 71, 
2019/11/18, 44, 
2019/11/19, 52, 
2019/11/20, 45, 
2019/11/21, 38, 
2019/11/22, 28, 
2019/11/23, 43, 
2019/11/24, 32, 
2019/11/25, 43, 
2019/11/26, 52, 
2019/11/27, 29, 
2019/11/28, 20, 
2019/11/29, 43, 
2019/11/30, 28, 
2019/12/1, 20, 
2019/12/2, 16, 
2019/12/3, 34, 
2019/12/4, 25, 
2019/12/5, 29, 
2019/12/6, 39, 
2019/12/7, 33, 
2019/12/8, 60, 
2019/12/9, 49, 
2019/12/10, 27, 
2019/12/11, 58, 
2019/12/12, 38, 
2019/12/13, 43, 
2019/12/14, 68, 
2019/12/15, 50, 
2019/12/16, 62, 
2019/12/17, 44, 
2019/12/18, 51, 
2019/12/19, 69, 
2019/12/20, 65, 
2019/12/21, 55, 
2019/12/22, 54, 
2019/12/23, 59, 
2019/12/24, 44, 
2019/12/25, 29, 
2019/12/26, 36, 
2019/12/27, 58, 
2019/12/28, 56, 
2019/7/1, 31, 37
2019/7/2, 45, 39
2019/7/3, 29, 38
2019/7/4, 47, 38
2019/7/5, 36, 39
2019/7/6, 34, 37
2019/7/7, 78, 42
2019/7/8, 70, 48
2019/7/9, 54, 44
2019/7/10, 41, 37
2019/7/11, 30, 45
2019/7/12, 33, 46
2019/7/13, 40, 59
2019/7/14, 37, 27
2019/7/15, 46, 26
2019/7/16, 37, 33
2019/7/17, 29, 38
2019/7/18, 32, 39
2019/7/19, 42, 33
2019/7/20, 42, 33
2019/7/21, 34, 31
2019/7/22, 29, 32
2019/7/23, 43, 39
2019/7/24, 49, 41
2019/7/25, 37, 45
2019/7/26, 57, 41
2019/7/27, 51, 38
2019/7/28, 51, 39
2019/7/29, 39, 34
2019/7/30, 25, 36
2019/7/31, 26, 48
2019/8/1, 36, 48
2019/8/2, 39, 50
2019/8/3, 36, 50
2019/8/4, 40, 46
2019/8/5, 44, 48
2019/8/6, 26, 36
2019/8/7, 38, 37
2019/8/8, 36, 38
2019/8/9, 27, 41
2019/8/10, 37, 36
2019/8/11, 42, 32
2019/8/12, 28, 35
2019/8/13, 25, 31
2019/8/14, 28, 28
2019/8/15, 35, 33
2019/8/16, 35, 28
2019/8/17, 20, 36
2019/8/18, 37, 42
2019/8/19, 35, 35
2019/8/20, 30, 30
2019/8/21, 31, 34
2019/8/22, 27, 30
2019/8/23, 26, 32
2019/8/24, 24, 35
2019/8/25, 29, 27
2019/8/26, 20, 29
2019/8/27, 27, 25
2019/8/28, 31, 26
2019/8/29, 30, 25
2019/8/30, 23, 29
2019/8/31, 27, 23
2019/9/1, 35, 33
2019/9/2, 29, 30
2019/9/3, 41, 24
2019/9/4, 30, 30
2019/9/5, 21, 24
2019/9/6, 26, 31
2019/9/7, 34, 23
2019/9/8, 32, 39
2019/9/9, 41, 36
2019/9/10, 47, 41
2019/9/11, 53, 33
2019/9/12, 44, 23
2019/9/13, 26, 30
2019/9/14, 21, 33
2019/9/15, 42, 39
2019/9/16, 50, 39
2019/9/17, 47, 43
2019/9/18, 44, 50
2019/9/19, 45, 46
2019/9/20, 52, 30
2019/9/21, 45, 28
2019/9/22, 35, 25
2019/9/23, 24, 31
2019/9/24, 23, 29
2019/9/25, 39, 31
2019/9/26, 25, 32
2019/9/27, 33, 32
2019/9/28, 25, 25
2019/9/29, 32, 36
2019/9/30, 41, 28
2019/4/1, 22, 39
2019/4/2, 48, 35
2019/4/3, 35, 33
2019/4/4, 36, 28
2019/4/5, 50, 39
2019/4/6, 45, 36
2019/4/7, 43, 42
2019/4/8, 25, 41
2019/4/9, 21, 26
2019/4/10, 22, 40
2019/4/11, 35, 38
2019/4/12, 22, 42
2019/4/13, 22, 33
2019/4/14, 20, 37
2019/4/15, 30, 49
2019/4/16, 42, 45
2019/4/17, 40, 30
2019/4/18, 28, 38
2019/4/19, 17, 39
2019/4/20, 27, 46
2019/4/21, 30, 46
2019/4/22, 35, 25
2019/4/23, 42, 35
2019/4/24, 35, 38
2019/4/25, 59, 40
2019/4/26, 26, 30
2019/4/27, 28, 40
2019/4/28, 28, 30
2019/4/29, 40, 23
2019/4/30, 35, 36
2019/5/1, 22, 22
2019/5/2, 29, 33
2019/5/3, 26, 41
2019/5/4, 32, 48
2019/5/5, 29, 41
2019/5/6, 32, 25
2019/5/7, 44, 44
2019/5/8, 35, 29
2019/5/9, 29, 35
2019/5/10, 24, 32
2019/5/11, 20, 30
2019/5/12, 36, 39
2019/5/13, 34, 43
2019/5/14, 35, 45
2019/5/15, 42, 45
2019/5/16, 50, 45
2019/5/17, 32, 41
2019/5/18, 46, 47
2019/5/19, 26, 20
2019/5/20, 23, 22
2019/5/21, 20, 47
2019/5/22, 41, 40
2019/5/23, 33, 35
2019/5/24, 39, 42
2019/5/25, 26, 39
2019/5/26, 34, 38
2019/5/27, 31, 24
2019/5/28, 46, 38
2019/5/29, 21, 36
2019/5/30, 21, 38
2019/5/31, 29, 46
2019/6/1, 41, 36
2019/6/2, 47, 48
2019/6/3, 35, 49
2019/6/4, 48, 47
2019/6/5, 31, 55
2019/6/6, 38, 51
2019/6/7, 44, 44
2019/6/8, 47, 42
2019/6/9, 45, 37
2019/6/10, 23, 43
2019/6/11, 36, 37
2019/6/12, 35, 33
2019/6/13, 23, 45
2019/6/14, 32, 37
2019/6/15, 48, 41
2019/6/16, 37, 30
2019/6/17, 49, 53
2019/6/18, 41, 42
2019/6/19, 41, 32
2019/6/20, 29, 30
2019/6/21, 38, 43
2019/6/22, 30, 32
2019/6/23, 29, 32
2019/6/24, 17, 42
2019/6/25, 30, 40
2019/6/26, 37, 47
2019/6/27, 32, 41
2019/6/28, 36, 33
2019/6/29, 48, 42
2019/6/30, 34, 42
2019/1/1, 37, 16
2019/1/2, 37, 14
2019/1/3, 32, 17
2019/1/4, 42, 16
2019/1/5, 48, 18
2019/1/6, 47, 24
2019/1/7, 40, 24
2019/1/8, 23, 20
2019/1/9, 23, 19
2019/1/10, 35, 14
2019/1/11, 48, 18
2019/1/12, 61, 26
2019/1/13, 47, 26
2019/1/14, 49, 23
2019/1/15, 35, 18
2019/1/16, 51, 18
2019/1/17, 52, 19
2019/1/18, 64, 28
2019/1/19, 44, 28
2019/1/20, 20, 29
2019/1/21, 39, 22
2019/1/22, 41, 23
2019/1/23, 31, 
2019/2/4, 47, 18
2019/2/5, 53, 10
2019/2/6, 40, 23
2019/2/7, 35, 27
2019/2/8, 29, 25
2019/2/9, 29, 17
2019/2/10, 48, 12
2019/2/11, 45, 31
2019/2/12, 34, 29
2019/2/13, 39, 27
2019/2/14, 28, 27
2019/2/15, 35, 25
2019/2/16, 36, 20
2019/2/17, 49, 30
2019/2/18, 34, 29
2019/2/19, 45, 26
2019/2/20, 35, 33
2019/2/21, 60, 34
2019/2/22, 71, 21
2019/2/23, 61, 40
2019/2/24, 46, 30
2019/2/25, 23, 29
2019/2/26, 39, 29
2019/2/27, 52, 28
2019/2/28, 52, 29
2019/3/1, 60, 37
2019/3/2, 63, 32
2019/3/3, 31, 31
2019/3/4, 44, 33
2019/3/5, 30, 37
2019/3/6, 37, 36
2019/3/7, 54, 34
2019/3/8, 55, 26
2019/3/9, 49, 40
2019/3/10, 41, 42
2019/3/11, 32, 36
2019/3/12, 29, 34
2019/3/13, 38, 36
2019/3/14, 28, 34
2019/3/15, 24, 37
2019/3/16, 30, 38
2019/3/17, 29, 40
2019/3/18, 41, 42
2019/3/19, 47, 33
2019/3/20, 54, 35
2019/3/21, 38, 39
2019/3/22, 29, 40
2019/3/23, 23, 33
2019/3/24, 54, 35
2019/3/25, 32, 37
2019/3/26, 31, 42
2019/3/27, 31, 42
2019/3/28, 65, 29
2019/3/29, 47, 32
2019/3/30, 32, 35
2019/3/31, 23, 36
2018/10/1, 40, 12
2018/10/2, 37, 30
2018/10/3, 35, 22
2018/10/4, 21, 20
2018/10/5, 48, 16
2018/10/6, 32, 20
2018/10/7, 30, 29
2018/10/8, 43, 27
2018/10/9, 40, 22
2018/10/10, 23, 22
2018/10/11, 28, 17
2018/10/12, 22, 23
2018/10/13, 35, 22
2018/10/14, 45, 20
2018/10/15, 25, 27
2018/10/16, 25, 25
2018/10/17, 34, 29
2018/10/18, 27, 23
2018/10/19, 29, 27
2018/10/20, 28, 25
2018/10/21, 29, 28
2018/10/22, 34, 22
2018/10/23, 26, 22
2018/10/24, 29, 18
2018/10/25, 32, 9
2018/10/26, 56, 23
2018/10/27, 69, 24
2018/10/28, 38, 26
2018/10/29, 36, 28
2018/10/30, 40, 19
2018/10/31, 41, 23
2018/11/1, 24, 19
2018/11/2, 27, 23
2018/11/3, 40, 22
2018/11/4, 28, 15
2018/11/5, 29, 13
2018/11/6, 24, 13
2018/11/7, 27, 19
2018/11/8, 40, 21
2018/11/9, 41, 21
2018/11/10, 20, 20
2018/11/11, 42, 15
2018/11/12, 49, 23
2018/11/13, 33, 22
2018/11/14, 43, 19
2018/11/15, 66, 18
2018/11/16, 55, 13
2018/11/17, 59, 19
2018/11/18, 42, 21
2018/11/19, 49, 21
