date, pm25, pm10, o3, no2
2020/1/2, 36, 9, 28, 4
2020/1/3, 41, 6, 26, 3
2020/1/4, 32, 5, 26, 3
2020/1/5, 37, 8, 29, 4
2020/1/6, 41, 10, 24, 4
2020/1/7, 42, 13, 25, 9
2020/1/8, 45, 8, 27, 5
2020/1/9, 40, 8, 24, 9
2020/1/10, 45, 5, 30, 2
2020/1/11, 35, 3, 31, 3
2020/1/12, 32, 6, 31, 4
2020/1/13, 33, 8, 33, 3
2020/1/14, 34, 7, 29, 4
2020/1/15, 32, 11, 22, 4
2020/1/16, 42, , , 
2019/10/1, 32, 9, 23, 8
2019/10/2, 33, 11, 20, 12
2019/10/3, 41, 14, 23, 6
2019/10/4, 38, 11, 16, 5
2019/10/5, 33, 7, 28, 2
2019/10/6, 28, 9, 19, 8
2019/10/7, 36, 15, 24, 4
2019/10/8, 40, 9, 24, 4
2019/10/9, 33, 11, 21, 3
2019/10/10, 34, 4, 26, 4
2019/10/11, 27, 5, 23, 5
2019/10/12, 30, 4, 27, 4
2019/10/13, 29, 5, 20, 7
2019/10/14, 31, 9, 19, 10
2019/10/15, 41, 8, 23, 5
2019/10/16, 29, 8, 22, 6
2019/10/17, 38, 5, 28, 4
2019/10/18, 21, 7, 26, 3
2019/10/19, 28, 8, 22, 3
2019/10/20, 35, 8, 23, 3
2019/10/21, 36, 12, 21, 5
2019/10/22, 48, 16, 12, 7
2019/10/23, 57, 16, 11, 4
2019/10/24, 54, 6, 27, 4
2019/10/25, 27, 5, 30, 3
2019/10/26, 30, 10, 24, 3
2019/10/27, 30, 14, 21, 4
2019/10/28, 44, 12, 27, 4
2019/10/29, 28, 12, 23, 5
2019/10/30, 47, 26, 14, 7
2019/10/31, 75, 7, 18, 8
2019/11/1, 42, 6, 26, 3
2019/11/2, 23, 11, 20, 3
2019/11/3, 41, 13, 16, 5
2019/11/4, 43, 13, 18, 3
2019/11/5, 45, 21, 11, 8
2019/11/6, 88, 8, 20, 5
2019/11/7, 38, 10, 20, 5
2019/11/8, 41, 13, 18, 7
2019/11/9, 52, 11, 23, 4
2019/11/10, 59, 9, 26, 4
2019/11/11, 34, 7, 29, 4
2019/11/12, 26, 7, 19, 8
2019/11/13, 31, 6, 22, 4
2019/11/14, 29, 11, 22, 4
2019/11/15, 42, 19, 15, 4
2019/11/16, 64, 20, 13, 4
2019/11/17, 66, 12, 19, 4
2019/11/18, 43, 18, 4, 24
2019/11/19, 65, 12, 18, 14
2019/11/20, 55, 25, 11, 10
2019/11/21, 73, 12, 18, 10
2019/11/22, 44, 17, 12, 8
2019/11/23, 57, 24, 5, 10
2019/11/24, 71, 8, 16, 10
2019/11/25, 35, 9, 22, 7
2019/11/26, 28, 12, 17, 11
2019/11/27, 46, 9, 22, 6
2019/11/28, 37, 13, 17, 12
2019/11/29, 46, , 15, 10
2019/11/30, 56, , 23, 7
2019/12/1, 41, , 8, 18
2019/12/2, 70, , 14, 14
2019/12/3, 52, , 6, 21
2019/12/4, 81, 8, 21, 10
2019/12/5, 56, 4, 27, 3
2019/12/6, 22, 6, 24, 3
2019/12/7, 26, 9, 32, 2
2019/12/8, 35, 13, 27, 7
2019/12/9, 37, 9, 27, 6
2019/12/10, 32, 9, 23, 7
2019/12/11, 32, 4, 22, 11
2019/12/12, 25, 7, 27, 3
2019/12/13, 31, 6, 31, 2
2019/12/14, 33, 4, 32, 3
2019/12/15, 26, 16, 23, 12
2019/12/16, 41, 17, 6, 13
2019/12/17, 59, 10, 21, 12
2019/12/18, 43, 7, 25, 6
2019/12/19, 36, 7, 25, 7
2019/12/20, 30, 6, 25, 6
2019/12/21, 34, 5, 26, 4
2019/12/22, 37, 7, 24, 5
2019/12/23, 37, 8, 29, 4
2019/12/24, 37, 8, 24, 6
2019/12/25, 46, 11, 21, 6
2019/12/26, 54, 15, 15, 7
2019/12/27, 67, 8, 19, 6
2019/12/28, 56, , , 
2019/7/1, 33, 9, 29, 4
2019/7/2, 43, 11, 36, 4
2019/7/3, 43, 12, 44, 6
2019/7/4, 45, 10, 40, 6
2019/7/5, 44, , 15, 4
2019/7/6, 39, , 32, 2
2019/7/7, 38, , 34, 3
2019/7/8, 45, 13, 26, 8
2019/7/9, 47, 11, 25, 6
2019/7/10, 42, 7, 20, 4
2019/7/11, 38, 7, 27, 3
2019/7/12, 38, 9, 24, 3
2019/7/13, 40, 9, 24, 2
2019/7/14, 39, 9, 28, 4
2019/7/15, 42, 15, 42, 6
