date, pm25, pm10, no2, so2, co
2020/1/2, 137, 66, 11, 4, 13
2020/1/3, 145, 55, 13, 4, 14
2020/1/4, 139, 21, 9, 4, 9
2020/1/5, 54, 50, 17, 5, 14
2020/1/6, 106, 66, 17, 6, 19
2020/1/7, 150, 62, 18, 4, 15
2020/1/8, 153, 51, 14, 5, 12
2020/1/9, 137, 93, 29, 13, 22
2020/1/10, 176, 58, 16, 6, 14
2020/1/11, 134, 58, 8, 4, 13
2020/1/12, 135, 49, 12, 4, 11
2020/1/13, 127, 57, 16, 5, 9
2020/1/14, 143, 72, 14, 5, 11
2020/1/15, 157, 74, 14, 4, 12
2020/1/16, 153, , , , 
2019/12/15, 89, 86, 37, 10, 19
2019/12/16, 141, 89, 38, 11, 21
2019/12/17, 158, 93, 35, 11, 23
2019/12/18, 164, 65, 19, 6, 13
2019/12/19, 155, 42, 17, 8, 9
2019/12/20, 85, 25, 11, 8, 7
2019/12/21, 59, 15, 8, 7, 7
2019/12/22, 44, 6, 7, 5, 7
2019/12/23, 23, 19, 12, 5, 8
2019/12/24, 42, 25, 14, 5, 10
2019/12/25, 74, 18, 12, 4, 8
2019/12/26, 57, 28, 13, 4, 9
2019/12/27, 69, 17, 10, 4, 8
2019/12/28, 56, , , , 
2020/1/1, , 61, 20, 5, 16
2019/12/14, , 47, 28, 11, 14
