date, pm10, o3, no2, so2, co
2020/1/2, 39, 9, 15, , 
2020/1/3, 17, 13, 5, , 
2020/1/4, 11, 25, 15, , 
2020/1/5, 11, 23, 19, , 
2020/1/6, 18, 16, 20, , 
2020/1/7, 20, 8, 21, , 
2020/1/8, 25, 3, 22, , 
2020/1/9, 27, 9, 15, , 
2020/1/10, 9, 21, 17, , 
2020/1/11, 13, 24, 14, , 
2020/1/12, 20, 14, 22, , 
2020/1/13, 27, 9, 26, , 
2020/1/14, 26, 13, 26, , 
2020/1/15, 39, 9, 26, , 
2020/1/16, 18, 2, , , 
2019/10/1, 12, 20, 11, , 
2019/10/2, 8, 22, 6, , 
2019/10/3, 9, 18, 15, , 
2019/10/4, 13, 19, 8, , 
2019/10/5, 6, 17, 13, , 
2019/10/6, 12, 13, 21, , 
2019/10/7, 19, 8, 15, , 
2019/10/8, 17, 19, 11, , 
2019/10/9, 10, 23, 10, , 
2019/10/10, 6, 16, 17, , 
2019/10/11, 13, 23, 16, , 
2019/10/12, 15, 25, 13, , 
2019/10/13, 17, 18, 29, , 
2019/10/14, 33, 18, 22, , 
2019/10/15, 31, 24, 11, , 
2019/10/16, 9, 19, 24, , 
2019/10/17, 16, 22, 19, , 
2019/10/18, 14, 17, 18, , 
2019/10/19, 11, 10, 15, , 
2019/10/20, 19, 2, 20, , 
2019/10/21, 33, 9, 23, , 
2019/10/22, 27, 12, 21, , 
2019/10/23, 33, 5, 18, , 
2019/10/24, 37, 22, 19, , 
2019/10/25, 26, 16, 16, , 
2019/10/26, 25, 24, 10, , 
2019/10/27, 18, 22, 20, , 
2019/10/28, 18, 14, 24, , 
2019/10/29, 24, 20, 24, , 
2019/10/30, 21, 17, 26, , 
2019/10/31, 29, 11, 10, , 
2019/11/1, 22, 17, 13, , 
2019/11/2, 8, 17, 13, , 
2019/11/3, 10, 21, 15, , 
2019/11/4, 7, 20, 21, , 
2019/11/5, 14, 16, 18, , 
2019/11/6, 14, 15, 21, , 
2019/11/7, 15, 5, 26, , 
2019/11/8, 25, 19, 12, , 
2019/11/9, 12, 14, 16, , 
2019/11/10, 20, 13, 18, , 
2019/11/11, 25, 9, 21, , 
