date, pm25, o3
2020/1/2, 27, 22
2020/1/3, 39, 25
2020/1/4, 34, 22
2020/1/5, 27, 22
2020/1/6, 22, 19
2020/1/7, 26, 24
2020/1/8, 19, 25
2020/1/9, 25, 20
2020/1/10, 37, 27
2020/1/11, 13, 24
2020/1/12, 25, 14
2020/1/13, 36, 16
2020/1/14, 50, 8
2020/1/15, 54, 16
2020/1/16, 48, 
2019/10/1, 33, 20
2019/10/2, 22, 16
2019/10/3, 22, 24
2019/10/4, 14, 22
2019/10/5, 25, 27
2019/10/6, 28, 20
2019/10/7, 26, 28
2019/10/8, 25, 32
2019/10/9, 28, 26
2019/10/10, 29, 23
2019/10/11, 24, 28
2019/10/12, 18, 28
2019/10/13, 15, 19
2019/10/14, 30, 27
2019/10/15, 32, 21
2019/10/16, 14, 18
2019/10/17, 14, 21
2019/10/18, 30, 31
2019/10/19, 36, 23
2019/10/20, 50, 24
2019/10/21, 44, 19
2019/10/24, 18, 18
2019/10/25, 29, 12
2019/10/26, 40, 23
2019/10/27, 29, 13
2019/10/28, 36, 20
2019/10/29, 23, 23
2019/10/30, 14, 20
2019/10/31, 12, 20
2019/11/1, 26, 20
2019/11/2, 29, 24
2019/11/3, 12, 22
2019/11/4, 17, 23
2019/11/5, 30, 24
2019/11/6, 29, 25
2019/11/7, 17, 23
2019/11/8, 26, 19
2019/11/9, 34, 19
2019/11/10, 40, 26
2019/11/11, 13, 25
2019/11/12, 17, 20
2019/11/13, 27, 13
2019/11/14, 56, 16
2019/11/15, 64, 22
2019/11/16, 53, 15
2019/11/17, 50, 5
2019/11/18, 75, 
2019/12/1, 15, 28
2019/12/2, 17, 19
2019/12/3, 27, 25
2019/12/4, 27, 22
2019/12/5, 27, 26
2019/12/6, 27, 19
2019/12/7, 36, 21
2019/12/8, 50, 18
2019/12/9, 42, 19
2019/12/10, 29, 14
2019/12/11, 58, 19
2019/12/12, 41, 15
2019/12/13, 37, 12
2019/12/14, 68, 16
2019/12/15, 58, 26
2019/12/16, 44, 26
2019/12/17, 38, 28
2019/12/18, 30, 20
2019/12/19, 43, 12
2019/12/20, 70, 20
2019/12/21, 57, 24
2019/12/22, 50, 20
2019/12/23, 57, 24
2019/12/24, 58, 26
2019/12/25, 34, 21
2019/12/26, 30, 10
2019/12/27, 59, 7
2019/12/28, 66, 
2019/7/1, 33, 46
2019/7/2, 43, 47
2019/7/3, 39, 38
2019/7/4, 51, 46
2019/7/5, 50, 46
2019/7/6, 65, 23
2019/7/7, 55, 38
2019/7/8, 35, 51
2019/7/9, 53, 55
2019/7/10, 43, 33
2019/7/11, 23, 52
2019/7/12, 26, 57
2019/7/13, 43, 37
2019/7/14, 36, 29
2019/7/15, 36, 24
2019/7/16, 36, 39
2019/7/17, 33, 29
2019/7/18, 33, 33
2019/7/19, 42, 29
2019/7/20, 33, 31
2019/7/21, 18, 25
2019/7/22, 17, 31
2019/7/23, 27, 24
2019/7/24, 21, 39
2019/7/25, 36, 41
2019/7/26, 48, 38
2019/7/27, 47, 39
2019/7/28, 53, 30
2019/7/29, 37, 25
2019/7/30, 23, 26
2019/7/31, 12, 35
2019/8/1, 22, 45
2019/8/2, 40, 53
2019/8/3, 49, 40
2019/8/4, 53, 53
2019/8/5, 48, 44
2019/8/6, 23, 44
2019/8/7, 43, 34
2019/8/8, 29, 32
2019/8/9, 32, 50
2019/8/10, 47, 39
2019/8/11, 38, 41
2019/8/12, 58, 43
2019/8/13, 43, 38
2019/8/14, 34, 30
2019/8/15, 28, 33
2019/8/16, 37, 27
2019/8/17, 29, 33
2019/8/18, 24, 37
2019/8/19, 29, 22
2019/8/20, 35, 43
2019/8/21, 35, 31
2019/8/22, 27, 24
2019/8/23, 35, 26
2019/8/24, 23, 31
2019/8/25, 28, 20
2019/8/26, 23, 33
2019/8/27, 27, 26
2019/8/28, 25, 32
2019/8/29, 30, 35
2019/8/30, 17, 30
2019/8/31, 26, 28
2019/9/1, 34, 39
2019/9/2, 50, 24
2019/9/3, 33, 22
2019/9/4, 18, 26
2019/9/5, 20, 23
2019/9/6, 22, 38
2019/9/7, 20, 15
2019/9/8, 32, 29
2019/9/9, 40, 38
2019/9/10, 49, 33
2019/9/11, 52, 35
2019/9/12, 31, 22
2019/9/13, 31, 28
2019/9/14, 24, 27
2019/9/15, 29, 34
2019/9/16, 42, 30
2019/9/17, 53, 36
2019/9/18, 37, 49
2019/9/19, 43, 40
2019/9/20, 51, 26
2019/9/21, 52, 26
2019/9/22, 36, 28
2019/9/23, 24, 29
2019/9/24, 25, 29
2019/9/25, 32, 28
2019/9/26, 23, 28
2019/9/27, 24, 26
2019/9/28, 25, 15
2019/9/29, 26, 29
2019/9/30, 40, 26
2019/4/1, 20, 38
