date, pm25, pm10, o3, no2, so2, co
2019/1/1, 50, 9, 29, 6, 3, 
2019/1/2, 45, 7, 29, 7, 3, 
2019/1/3, 34, 10, 26, 14, 6, 
2019/1/4, 47, 17, 35, 13, 4, 
2019/1/5, 63, 14, 30, 5, 3, 
2019/1/6, 52, 16, 21, 19, 5, 
2019/1/7, 64, 18, 31, 18, 6, 
2019/1/8, 68, 9, 28, 9, 4, 
2019/1/9, 39, 17, 12, 22, 7, 
2019/1/10, 66, 14, 26, 14, 5, 
2019/1/11, 57, 14, 26, 12, 3, 
2019/1/12, 60, 11, 30, 10, 3, 
2019/1/13, 50, 11, 27, 15, 5, 
2019/1/14, 52, 22, 26, 21, 5, 
2019/1/15, 79, 18, 31, 11, 4, 
2019/1/16, 67, 11, 28, 13, 5, 
2019/1/17, 52, 15, 27, 15, 4, 
2019/1/18, 58, 15, 29, 22, 5, 
2019/1/19, 66, 20, 35, 11, 5, 
2019/1/20, 71, 12, 29, 11, 4, 
2019/1/21, 52, 12, 26, 15, 4, 
2019/1/22, 49, 23, 36, 17, 5, 
2019/1/23, 78, 13, 30, 9, 4, 
2019/1/24, 55, 20, 29, 21, 5, 
2019/1/25, 69, 6, 29, 5, 3, 
2019/1/26, 36, 11, 31, 10, 4, 
2019/1/27, 48, 12, 32, 16, 4, 
2019/1/28, 56, 12, 30, 10, 3, 
2019/1/29, 52, 17, 24, 23, 5, 
2019/1/30, 65, 19, 24, 18, 4, 
2019/1/31, 67, 8, 25, 13, 4, 
2019/2/1, 41, 16, 31, 18, 5, 
2019/2/2, 59, 23, 16, 12, 3, 
2019/2/3, 77, 21, 32, 10, 4, 
2019/2/4, 62, 23, 30, 13, 4, 
2019/2/5, 73, 20, 21, 20, 3, 
2019/2/6, 67, 32, 22, 18, 5, 
2019/2/7, 88, 12, 28, 9, 5, 
2019/2/8, 48, 11, 29, 10, 4, 
2019/2/9, 48, 11, 32, 4, 4, 
2019/2/10, 47, 17, 24, 11, 4, 
2019/2/11, 65, 15, 31, 14, 5, 
2019/2/12, 59, 22, 36, 16, 5, 
2019/2/13, 75, 16, 31, 11, 5, 
2019/2/14, 58, 12, 26, 14, 4, 
2019/2/15, 51, 16, 34, 14, 6, 
2019/2/16, 67, 13, 33, 9, 4, 
2019/2/17, 58, 20, 35, 13, 4, 
2019/2/18, 74, 25, 23, 22, 4, 
2019/2/19, 74, 25, 32, 17, 8, 
2019/2/20, 67, 23, 33, 9, 5, 
2019/2/21, 79, 33, 38, 14, 5, 
2019/2/22, 109, 17, 36, 8, 3, 
2019/2/23, 70, 18, 37, 10, 4, 
2019/2/24, 69, 27, 38, 23, 13, 
2019/2/25, 88, 24, 38, 11, 5, 
2019/2/26, 78, 15, 31, 15, 5, 
2019/2/27, 61, 19, 32, 15, 4, 
2019/2/28, 66, 24, 40, 13, 7, 
2019/3/1, 74, 27, 42, 11, 4, 
2019/3/2, 87, 18, 34, 7, 4, 
2019/3/3, 68, 8, 38, 8, 5, 
2019/3/4, 35, 23, 40, 18, 6, 
2019/3/5, 77, 24, 26, 18, 5, 
2019/3/6, 77, 17, 45, 7, 5, 
2019/3/7, 64, 12, 34, 11, 6, 
2019/3/8, 55, 12, 36, 12, 4, 
2019/3/9, 49, 11, 30, 9, 3, 
2019/3/10, 44, 11, 37, 9, 6, 
2019/3/11, 34, 22, 45, 16, 5, 
2019/3/12, 69, 14, 35, 12, 8, 
2019/3/13, 52, 14, 37, 14, 5, 
2019/3/14, 57, 16, 36, 14, 5, 
2019/3/15, 60, 8, 37, 8, 3, 
2019/3/16, 37, 9, 37, 6, 3, 
2019/3/17, 46, , , , , 
2018/10/1, 46, 14, 36, 10, 6, 
2018/10/2, 55, 16, 42, 9, 5, 
2018/10/3, 62, 16, 27, 10, 4, 
2018/10/4, 57, 17, 35, 8, 4, 
2018/10/5, 56, 11, 27, 4, 6, 
2018/10/6, 41, 8, 35, 2, 7, 
2018/10/7, 32, 10, 33, 5, 7, 
2018/10/8, 36, 18, 37, 6, 6, 
2018/10/9, 61, 23, 21, 12, 6, 
2018/10/10, 68, 15, 30, 11, 4, 
2018/10/11, 57, 8, 29, 7, 4, 
2018/10/12, 32, 8, 32, 7, 6, 
2018/10/13, 39, 12, 35, 6, 5, 
2018/10/14, 47, 17, 42, 10, 6, 
2018/10/15, 59, 13, 34, 7, 5, 
2018/10/16, 54, 14, 36, 5, 5, 
2018/10/17, 52, 11, 40, 8, 6, 
2018/10/18, 50, 14, 39, 7, 5, 
2018/10/19, 55, 5, 31, 3, 5, 
2018/10/20, 31, 11, 34, 5, 5, 
2018/10/21, 44, 14, 30, 9, 4, 
2018/10/22, 53, 20, 15, 13, 4, 
2018/10/23, 64, 20, 37, 10, 4, 
2018/10/24, 57, 20, 33, 10, 4, 
2018/10/25, 65, 18, 28, 12, 4, 
2018/10/26, 63, 16, 30, 11, 5, 
2018/10/27, 57, 10, 34, 8, 5, 
2018/10/28, 49, 13, 36, 12, 5, 
2018/10/29, 53, 11, 32, 7, 5, 
2018/10/30, 50, 12, 28, 9, 5, 
2018/10/31, 47, 9, 28, 9, 4, 
2018/11/1, 42, 12, 27, 12, 5, 
2018/11/2, 53, 12, 33, 7, 3, 
2018/11/3, 54, 27, 41, 8, 5, 
2018/11/4, 90, 25, 34, 14, 5, 
2018/11/5, 84, 18, 31, 10, 4, 
2018/11/6, 64, 13, 31, 11, 5, 
2018/11/7, 55, 20, 29, 11, 4, 
2018/11/8, 68, 19, 32, 14, 5, 
2018/11/9, 59, 17, 38, 8, 5, 
2018/11/10, 62, 25, 41, 10, 5, 
2018/11/11, 83, 29, 19, 15, 5, 
2018/11/12, 92, 11, 29, 8, 3, 
2018/11/13, 46, 7, 29, 8, 3, 
2018/11/14, 35, 12, 29, 13, 4, 
2018/11/15, 49, 16, 21, 17, 4, 
2018/11/16, 64, 19, 29, 10, 5, 
2018/11/17, 65, 16, 32, 9, 3, 
2018/11/18, 57, 12, 27, 8, 4, 
2018/11/19, 50, 13, 31, 11, 4, 
2018/11/20, 54, 28, 30, 19, 4, 
2018/11/21, 95, 16, 28, 11, 4, 
2018/11/22, 57, 9, 27, 9, 4, 
2018/11/23, 44, 11, 27, 14, 5, 
2018/11/24, 51, 20, 26, 12, 5, 
2018/11/25, 67, 28, 23, 19, 4, 
2018/11/26, 88, 40, 22, 24, 8, 
2018/11/27, 113, 50, 14, 18, 4, 
2018/11/28, 126, 25, 27, 12, 5, 
2018/11/29, 67, 25, 30, 19, 5, 
2018/11/30, 72, 31, 32, 13, 5, 
2018/12/1, 78, 25, 28, 8, 4, 
2018/12/2, 74, 30, 20, 17, 3, 
2018/12/3, 68, 39, 13, 19, 5, 
2018/12/4, 68, 6, 27, 7, 4, 
2018/12/5, 28, 12, 14, 13, 4, 
2018/12/6, 44, 10, 26, 10, 4, 
2018/12/7, 45, 7, 27, 6, 4, 
2018/12/8, 35, 9, 24, 9, 5, 
2018/12/9, 40, 9, 21, 16, 4, 
2018/12/10, 46, 7, 18, 13, 3, 
2018/12/11, 37, 9, 27, 10, 4, 
2018/12/12, 36, 11, 27, 14, 5, 
2018/12/13, 51, 8, 27, 9, 4, 
2018/12/14, 45, 9, 26, 11, 3, 
2018/12/15, 48, 13, 19, 9, 3, 
2018/12/16, 56, 17, 28, 11, 4, 
2018/12/17, 61, 16, 26, 12, 5, 
2018/12/18, 60, 17, 28, 18, 6, 
2018/12/19, 64, 29, 8, 24, 4, 
2018/12/20, 80, 25, 26, 15, 4, 
2018/12/21, 75, 31, 18, 16, 3, 
2018/12/22, 70, 21, 24, 12, 5, 
2018/12/23, 61, 9, 29, 7, 2, 
2018/12/24, 38, 15, 21, 17, 5, 
2018/12/25, 59, 19, 18, 19, 5, 
2018/12/26, 70, 10, 28, 9, 4, 
2018/12/27, 41, 5, 27, 7, 4, 
2018/12/28, 28, 5, 28, 8, 3, 
2018/12/29, 30, 5, 27, 5, 3, 
2018/12/30, 27, , , , , 
2018/7/1, 49, 21, 15, 3, 3, 
2018/7/2, 48, 20, 11, 2, 3, 
2018/7/3, 41, 18, 32, 11, 5, 
2018/7/4, 47, 13, 13, 10, 4, 
2018/7/5, 37, 8, 14, 11, 3, 
2018/7/6, 28, 10, 35, 8, 3, 
2018/7/7, 29, 14, 14, 5, 4, 
2018/7/8, 37, 15, 22, 5, 4, 
2018/7/9, 44, 21, 20, 6, 5, 
2018/7/10, 49, 26, 47, 10, 5, 
2018/7/11, 59, 35, 40, 13, 9, 
2018/7/12, 64, 40, 52, 12, 7, 
2018/7/13, 83, 46, 76, 14, 9, 
2018/7/14, 95, 48, 60, 11, 9, 
2018/7/15, 98, 53, 61, 10, 9, 
2018/7/16, 106, 59, 73, 13, 10, 
2018/7/17, 125, 57, 78, 13, 10, 
2018/7/18, 120, 56, 68, 11, 10, 
2018/7/19, 114, 33, 30, 6, 6, 
2018/7/20, 72, 18, 21, 4, 5, 
2018/7/21, 41, 22, 42, 9, 6, 
2018/7/22, 54, 32, 39, 15, 10, 
2018/7/23, 63, 30, 53, 8, 7, 
2018/7/24, 70, 40, 73, 9, 8, 
2018/7/25, 82, 44, 61, 8, 7, 
2018/7/26, 82, 31, 44, 6, 6, 
2018/7/27, 65, 25, 30, 3, 7, 
2018/7/28, 63, 21, 30, 4, 6, 
2018/7/29, 47, 18, 31, 7, 5, 
2018/7/30, 46, 18, 31, 7, 5, 
2018/7/31, 47, 30, 27, 5, 5, 
2018/8/1, 60, 38, 44, 8, 6, 
2018/8/2, 72, 41, 55, 14, 9, 
2018/8/3, 75, 29, 65, 10, 8, 
2018/8/4, 65, 42, 67, 14, 9, 
2018/8/5, 84, 32, 45, 7, 7, 
2018/8/6, 64, 15, 36, 3, 7, 
2018/8/7, 35, 13, 32, 3, 9, 
2018/8/8, 42, 13, 21, 5, 6, 
2018/8/9, 38, 16, 29, 6, 5, 
2018/8/10, 40, 33, 37, 4, 6, 
2018/8/11, 72, 21, 26, 4, 5, 
2018/8/12, 52, 26, 32, 4, 5, 
2018/8/13, 55, 14, 15, 2, 4, 
2018/8/14, 36, 17, 16, 3, 3, 
2018/8/15, 36, 16, 13, 5, 5, 
2018/8/16, 34, 11, 24, 3, 8, 
2018/8/17, 32, 15, 36, 6, 9, 
2018/8/18, 44, 18, 43, 4, 8, 
2018/8/19, 55, 19, 49, 7, 7, 
2018/8/20, 51, 23, 12, 2, 3, 
2018/8/21, 38, 20, 11, 2, 4, 
2018/8/22, 46, 15, 20, 5, 4, 
2018/8/23, 39, 19, 20, 6, 4, 
2018/8/24, 48, 21, 29, 7, 4, 
2018/8/25, 50, 21, 30, 7, 7, 
2018/8/26, 52, 21, 30, 10, 6, 
2018/8/27, 57, 28, 28, 11, 7, 
2018/8/28, 66, 35, 55, 12, 8, 
2018/8/29, 77, 28, 33, 11, 8, 
2018/8/30, 66, 21, 24, 8, 6, 
2018/8/31, 56, 14, 25, 8, 5, 
2018/9/1, 42, 16, 40, 2, 5, 
2018/9/2, 45, 14, 25, 5, 5, 
2018/9/3, 45, 15, 10, 5, 3, 
2018/9/4, 36, 17, 44, 10, 7, 
2018/9/5, 52, 25, 37, 15, 8, 
2018/9/6, 65, 27, 30, 9, 6, 
2018/9/7, 60, 14, 41, 7, 5, 
2018/9/8, 48, 9, 29, 4, 3, 
2018/9/9, 25, 8, 32, 6, 4, 
2018/9/10, 26, 10, 35, 7, 5, 
2018/9/11, 35, 14, 26, 10, 5, 
2018/9/12, 45, 18, 27, 12, 5, 
2018/9/13, 57, 17, 30, 11, 4, 
2018/9/14, 46, 25, 16, 13, 5, 
2018/9/15, 55, 27, 35, 9, 4, 
2018/9/16, 62, 19, 27, 5, 5, 
2018/9/17, 48, 22, 42, 8, 6, 
2018/9/18, 59, 25, 43, 8, 6, 
2018/9/19, 69, 16, 19, 13, 4, 
2018/9/20, 49, 14, 20, 10, 4, 
2018/9/21, 45, 15, 33, 7, 3, 
2018/9/22, 44, 17, 35, 4, 4, 
2018/9/23, 51, 25, 27, 6, 4, 
2018/9/24, 68, 19, 35, 5, 4, 
2018/9/25, 57, 13, 28, 6, 5, 
2018/9/26, 45, 9, 28, 5, 4, 
2018/9/27, 37, 10, 34, 10, 5, 
2018/9/28, 44, 7, 27, 5, 3, 
2018/9/29, 35, 3, 25, 1, 2, 
2018/9/30, 24, 11, 35, 6, 6, 
2018/4/1, 75, 38, 41, 20, 12, 
2018/4/2, 93, 39, 39, 21, 13, 
2018/4/3, 101, 30, 33, 17, 12, 
2018/4/4, 79, 8, 35, 8, 6, 
2018/4/5, 36, 24, 27, 15, 7, 
2018/4/6, 58, 26, 36, 8, 4, 
2018/4/7, 68, 16, 45, 7, 4, 
2018/4/8, 54, 22, 42, 16, 7, 
2018/4/9, 63, 28, 52, 12, 6, 
2018/4/10, 78, 34, 24, 21, 8, 
2018/4/11, 81, 26, 45, 20, 8, 
2018/4/12, 69, 16, 43, 8, 6, 
2018/4/13, 52, 18, 43, 8, 5, 
2018/4/14, 55, 12, 37, 4, 4, 
2018/4/15, 39, 28, 41, 8, 5, 
2018/4/16, 61, 43, 28, 15, 6, 
2018/4/17, 79, 40, 42, 16, 7, 
2018/4/18, 84, 37, 49, 20, 9, 
2018/4/19, 84, 36, 52, 20, 13, 
2018/4/20, 88, 38, 68, 16, 11, 
2018/4/21, 92, 44, 70, 11, 12, 
2018/4/22, 104, 36, 54, 11, 10, 
2018/4/23, 90, 23, 26, 9, 6, 
2018/4/24, 51, 10, 40, 6, 5, 
2018/4/25, 31, 14, 46, 12, 6, 
2018/4/26, 45, 25, 54, 18, 8, 
2018/4/27, 69, 35, 55, 16, 10, 
2018/4/28, 91, 30, 64, 10, 10, 
2018/4/29, 78, 30, 44, 9, 8, 
2018/4/30, 78, 36, 58, 10, 10, 
2018/5/1, 97, 28, 33, 10, 8, 
2018/5/2, 75, 27, 50, 10, 7, 
2018/5/3, 57, 16, 54, 7, 6, 
2018/5/4, 46, 22, 56, 13, 9, 
2018/5/5, 59, 25, 41, 11, 8, 
2018/5/6, 70, 21, 25, 13, 4, 
2018/5/7, 50, 10, 34, 8, 3, 
2018/5/8, 35, 12, 38, 3, 4, 
2018/5/9, 46, 16, 39, 10, 8, 
2018/5/10, 50, 19, 43, 15, 9, 
2018/5/11, 59, 22, 58, 9, 7, 
2018/5/12, 68, 18, 31, 10, 5, 
2018/5/13, 56, 25, 45, 17, 8, 
2018/5/14, 65, 29, 61, 20, 10, 
2018/5/15, 74, 30, 54, 12, 10, 
2018/5/16, 82, 44, 52, 14, 12, 
2018/5/17, 109, 53, 37, 16, 11, 
2018/5/18, 126, 9, 38, 3, 6, 
2018/5/19, 30, 10, 39, 5, 5, 
2018/5/20, 30, 14, 41, 8, 7, 
2018/5/21, 46, 16, 43, 9, 8, 
2018/5/22, 51, 14, 32, 10, 5, 
2018/5/23, 48, 17, 40, 15, 7, 
2018/5/24, 49, 28, 55, 20, 11, 
2018/5/25, 75, 33, 62, 18, 10, 
2018/5/26, 85, 42, 83, 16, 12, 
2018/5/27, 109, 30, 44, 11, 9, 
2018/5/28, 82, 22, 36, 9, 6, 
2018/5/29, 59, 21, 24, 12, 5, 
2018/5/30, 49, 34, 41, 14, 7, 
2018/5/31, 69, 18, 50, 10, 7, 
2018/6/1, 57, 19, 57, 9, 8, 
2018/6/2, 58, 19, 62, 6, 7, 
2018/6/3, 61, 18, 51, 8, 7, 
2018/6/4, 56, 17, 41, 8, 6, 
2018/6/5, 57, 9, 33, 8, 3, 
2018/6/6, 37, 11, 48, 8, 4, 
2018/6/7, 40, 28, 24, 10, 4, 
2018/6/8, 66, 36, 52, 8, 6, 
2018/6/9, 81, 18, 32, 6, 5, 
2018/6/10, 59, 13, 25, 8, 4, 
2018/6/11, 37, 7, 32, 4, 4, 
2018/6/12, 27, 9, 35, 5, 5, 
2018/6/13, 32, 9, 36, 7, 5, 
2018/6/14, 43, 13, 37, 9, 5, 
2018/6/15, 53, 11, 37, 4, 6, 
2018/6/16, 34, 14, 44, 5, 5, 
2018/6/17, 50, 16, 38, 12, 6, 
2018/6/18, 52, 22, 23, 14, 6, 
2018/6/19, 60, 20, 28, 15, 5, 
2018/6/20, 48, 28, 51, 16, 9, 
2018/6/21, 73, 31, 69, 10, 10, 
2018/6/22, 84, 27, 39, 9, 7, 
2018/6/23, 75, 35, 69, 12, 6, 
2018/6/24, 84, 43, 75, 14, 10, 
2018/6/25, 102, 44, 50, 10, 8, 
2018/6/26, 101, 35, 20, 13, 10, 
2018/6/27, 82, 28, 25, 12, 8, 
2018/6/28, 69, 14, 7, 8, 5, 
2018/6/29, 44, 15, 11, 4, 4, 
2018/6/30, 45, 20, 13, 2, 4, 
2018/1/1, 43, 11, 29, 5, 4, 
2018/1/2, 40, 16, 29, 6, 5, 
2018/1/3, 47, 9, 24, 11, 4, 
2018/1/4, 32, 11, 18, 14, 3, 
2018/1/5, 34, 21, 26, 19, 5, 
2018/1/6, 70, 12, 25, 10, 4, 
2018/1/7, 46, 12, 18, 14, 3, 
2018/1/8, 42, 26, 27, 13, 5, 
2018/1/9, 64, 15, 22, 14, 6, 
2018/1/10, 57, 9, 21, 8, 4, 
2018/1/11, 38, 11, 24, 13, 5, 
2018/1/12, 38, 12, 25, 12, 5, 
2018/1/13, 46, 10, 26, 12, 3, 
2018/1/14, 41, 19, 14, 25, 6, 
2018/1/15, 63, 35, 13, 25, 6, 
2018/1/16, 99, 35, 14, 25, 5, 
2018/1/17, 83, 13, 28, 16, 5, 
2018/1/18, 46, 34, 28, 19, 5, 
2018/1/19, 95, 28, 29, 14, 6, 
2018/1/20, 79, 19, 33, 9, 5, 
2018/1/21, 64, 16, 20, 19, 4, 
2018/1/22, 57, 16, 30, 15, 5, 
2018/1/23, 59, 10, 28, 10, 6, 
2018/1/24, 38, 12, 25, 12, 6, 
2018/1/25, 44, 10, 28, 11, 5, 
2018/1/26, 45, 10, 28, 11, 4, 
2018/1/27, 34, 18, 15, 15, 4, 
2018/1/28, 63, 19, 30, 12, 5, 
2018/1/29, 60, 15, 28, 14, 5, 
2018/1/30, 52, 17, 26, 21, 5, 
2018/1/31, 55, 14, 27, 20, 5, 
2018/2/1, 52, 18, 21, 22, 4, 
2018/2/2, 65, 18, 32, 16, 5, 
2018/2/3, 60, 11, 29, 7, 5, 
2018/2/4, 40, 10, 27, 9, 5, 
2018/2/5, 41, 11, 28, 12, 5, 
2018/2/6, 43, 13, 29, 14, 5, 
2018/2/7, 46, 16, 30, 18, 6, 
2018/2/8, 52, 20, 28, 20, 6, 
2018/2/9, 71, 25, 18, 24, 5, 
2018/2/10, 78, 14, 32, 9, 5, 
2018/2/11, 49, 15, 31, 8, 5, 
2018/2/12, 52, 13, 30, 14, 4, 
2018/2/13, 50, 17, 28, 25, 7, 
2018/2/14, 51, 26, 24, 27, 7, 
2018/2/15, 78, 22, 30, 18, 6, 
2018/2/16, 70, 20, 36, 11, 6, 
2018/2/17, 62, 14, 31, 10, 5, 
2018/2/18, 42, 18, 22, 19, 6, 
2018/2/19, 53, 27, 34, 20, 6, 
2018/2/20, 77, 23, 34, 15, 5, 
2018/2/21, 67, 15, 30, 16, 5, 
2018/2/22, 49, 21, 37, 16, 6, 
2018/2/23, 71, 35, 42, 16, 6, 
2018/2/24, 99, 26, 35, 9, 5, 
2018/2/25, 77, 30, 36, 14, 7, 
2018/2/26, 92, 24, 32, 22, 8, 
2018/2/27, 79, 28, 42, 18, 6, 
2018/2/28, 68, 20, 41, 11, 6, 
2018/3/1, 56, 20, 39, 14, 5, 
2018/3/2, 63, 24, 29, 19, 6, 
2018/3/3, 74, 25, 37, 13, 6, 
2018/3/4, 71, 15, 31, 13, 4, 
2018/3/5, 40, 10, 33, 3, 3, 
2018/3/6, 35, 14, 32, 12, 4, 
2018/3/7, 49, 11, 22, 16, 3, 
2018/3/8, 40, 11, 35, 5, 3, 
2018/3/9, 37, 14, 35, 12, 5, 
2018/3/10, 44, 20, 40, 12, 6, 
2018/3/11, 60, 23, 32, 17, 6, 
2018/3/12, 72, 30, 34, 23, 9, 
2018/3/13, 85, 32, 36, 22, 11, 
2018/3/14, 87, 35, 36, 20, 10, 
2018/3/15, 91, 11, 33, 9, 4, 
2018/3/16, 36, 10, 34, 10, 5, 
2018/3/17, 41, 14, 31, 12, 6, 
2018/3/18, 47, 19, 24, 18, 6, 
2018/3/19, 54, 6, 36, 5, 3, 
2018/3/20, 24, 5, 30, 6, 3, 
