date, pm25
2020/1/1, 22
2020/1/2, 24
2020/1/3, 32
2020/1/4, 14
2020/1/5, 13
2020/1/6, 21
2020/1/7, 21
2020/1/8, 13
2020/1/9, 27
2020/1/10, 34
2020/1/11, 24
2020/1/12, 43
2020/1/13, 44
2020/1/14, 41
2020/1/15, 52
2020/1/16, 17
2019/10/1, 18
2019/10/2, 15
2019/10/3, 24
2019/10/4, 28
2019/10/5, 29
2019/10/6, 43
2019/10/7, 31
2019/10/8, 32
2019/10/9, 32
2019/10/10, 26
2019/10/11, 34
2019/10/12, 38
2019/10/13, 35
2019/10/14, 39
2019/10/15, 41
2019/10/16, 40
2019/10/17, 44
2019/10/18, 45
2019/10/19, 42
2019/10/20, 37
2019/10/21, 31
2019/10/22, 38
2019/10/23, 39
2019/10/24, 35
2019/10/25, 36
2019/10/26, 13
2019/10/27, 15
2019/10/28, 16
2019/10/29, 29
2019/10/30, 14
2019/10/31, 14
2019/11/1, 18
2019/11/2, 13
2019/11/3, 11
2019/11/4, 17
2019/11/5, 19
2019/11/6, 31
2019/11/7, 14
2019/11/8, 22
2019/11/9, 26
2019/11/10, 33
2019/11/11, 14
2019/11/12, 22
2019/11/13, 21
2019/11/14, 38
2019/11/15, 39
2019/11/16, 34
2019/11/17, 20
2019/11/18, 23
2019/11/19, 15
2019/11/20, 27
2019/11/21, 15
2019/11/22, 25
2019/11/23, 23
2019/11/24, 20
2019/11/25, 14
2019/11/26, 16
2019/11/27, 16
2019/11/28, 13
2019/11/29, 11
2019/11/30, 11
2019/12/1, 27
2019/12/2, 13
2019/12/3, 11
2019/12/4, 14
2019/12/5, 29
2019/12/6, 24
2019/12/7, 24
2019/12/8, 25
2019/12/9, 41
2019/12/10, 35
2019/12/11, 40
2019/12/12, 34
2019/12/13, 74
2019/12/14, 45
2019/12/15, 26
2019/12/16, 62
2019/12/17, 40
2019/12/18, 39
2019/12/19, 30
2019/12/20, 31
2019/12/21, 39
2019/12/22, 42
2019/12/23, 41
2019/12/24, 26
2019/12/25, 41
2019/12/26, 50
2019/12/27, 39
2019/12/28, 48
2019/7/1, 28
2019/7/2, 34
2019/7/3, 28
2019/7/4, 38
2019/7/5, 18
2019/7/6, 22
2019/7/7, 31
2019/7/8, 34
2019/7/9, 26
2019/7/10, 17
2019/7/11, 26
2019/7/12, 19
2019/7/13, 11
2019/7/14, 12
2019/7/15, 27
2019/7/16, 21
2019/7/17, 35
2019/7/18, 42
2019/7/19, 43
2019/7/20, 40
2019/7/21, 19
2019/7/22, 26
2019/7/23, 39
2019/7/24, 40
2019/7/25, 43
2019/7/26, 51
2019/7/27, 55
2019/7/28, 52
2019/7/29, 33
2019/7/30, 29
2019/7/31, 21
2019/8/1, 29
2019/8/2, 38
2019/8/3, 43
2019/8/4, 52
2019/8/5, 45
2019/8/6, 30
2019/8/7, 33
2019/8/8, 29
2019/8/9, 30
2019/8/10, 28
2019/8/11, 16
2019/8/12, 25
2019/8/13, 26
2019/8/14, 25
2019/8/15, 23
2019/8/16, 26
2019/8/17, 15
2019/8/18, 28
2019/8/19, 27
2019/8/20, 48
2019/8/21, 24
2019/8/22, 22
2019/8/23, 37
2019/8/24, 42
2019/8/25, 35
2019/8/26, 21
2019/8/27, 27
2019/8/28, 27
2019/8/29, 33
2019/8/30, 27
2019/8/31, 28
2019/9/1, 30
2019/9/2, 27
2019/9/3, 42
2019/9/4, 33
2019/9/5, 41
2019/9/6, 34
2019/9/7, 27
2019/9/8, 17
2019/9/9, 30
2019/9/10, 29
2019/9/11, 33
2019/9/12, 27
2019/9/13, 25
2019/9/14, 34
2019/9/15, 47
2019/9/16, 57
2019/9/17, 56
2019/9/18, 52
2019/9/19, 40
2019/9/20, 43
2019/9/21, 26
2019/9/22, 19
2019/9/23, 25
2019/9/24, 30
2019/9/25, 20
2019/9/26, 30
2019/9/27, 31
2019/9/28, 26
2019/9/29, 13
2019/9/30, 29
2019/4/1, 27
2019/4/2, 34
2019/4/3, 35
2019/4/4, 37
2019/4/5, 57
2019/4/6, 46
2019/4/7, 29
2019/4/8, 18
2019/4/9, 19
2019/4/10, 39
2019/4/11, 29
2019/4/12, 14
2019/4/13, 17
2019/4/14, 25
2019/4/15, 42
2019/4/16, 56
2019/4/17, 38
2019/4/18, 22
2019/4/19, 28
2019/4/20, 37
2019/4/21, 48
2019/4/22, 15
2019/4/23, 20
2019/4/24, 38
2019/4/25, 33
2019/4/26, 25
2019/4/27, 31
2019/4/28, 19
2019/4/29, 22
2019/4/30, 23
2019/5/1, 28
2019/5/2, 28
2019/5/3, 25
2019/5/4, 28
2019/5/5, 20
2019/5/6, 31
2019/5/7, 22
2019/5/8, 16
2019/5/9, 16
2019/5/10, 28
2019/5/11, 22
2019/5/12, 12
2019/5/13, 20
2019/5/14, 23
2019/5/15, 28
2019/5/16, 31
2019/5/17, 34
2019/5/18, 19
2019/5/19, 15
2019/5/20, 14
