date, pm25, pm10, o3, no2, so2, co
2020/1/2, 26, 12, 12, , , 
2020/1/3, 29, 10, 14, , , 
2020/1/4, 27, 7, 15, , , 
2020/1/5, 23, 10, 14, , , 
2020/1/6, 34, 11, 17, , , 
2020/1/7, 30, 11, 17, , , 
2020/1/8, 25, 14, 17, , , 
2020/1/9, 24, 20, 15, , , 
2020/1/10, 33, 19, 12, , , 
2020/1/11, 39, 18, 12, , , 
2020/1/12, 39, 18, 16, , , 
2020/1/13, 37, 14, 13, , , 
2020/1/14, 29, 18, 17, , , 
2020/1/15, 35, , , , , 
2019/10/1, 32, 15, 16, 1, , 
2019/10/2, 22, 12, 14, 2, , 
2019/10/3, 21, 11, 13, 2, , 9
2019/10/4, 21, 11, 9, , , 
2019/10/5, 20, 9, 8, , , 
2019/10/6, 32, 15, 15, 1, , 
2019/10/7, 26, 9, 12, 1, , 
2019/10/8, 16, 8, 12, 1, , 
2019/10/9, 14, 14, 13, 1, , 
2019/10/10, 25, 13, 16, 2, , 
2019/10/11, 22, 11, 16, 1, , 
2019/10/12, 20, 10, 17, 1, , 
2019/10/13, 17, 13, 17, 2, , 9
2019/10/14, 23, 11, 16, 1, , 
2019/10/15, 21, 12, 13, 1, , 
2019/10/16, 23, 12, 16, 1, , 
2019/10/17, 32, 16, 16, 2, , 
2019/10/18, 37, 9, 13, , , 
2019/10/19, 20, 12, 13, 1, , 
2019/10/20, 24, 15, 11, 2, , 9
2019/10/21, 31, 14, 11, 3, , 9
2019/10/22, 34, 17, 18, 1, , 
2019/10/23, 22, 18, 13, 1, , 
2019/10/24, 25, 16, 12, 1, , 
2019/10/25, 30, 12, 11, 1, , 
2019/10/26, 22, 12, 10, 1, , 
2019/10/27, 23, 15, 16, 3, , 9
2019/10/28, 29, 11, 10, 1, , 9
2019/10/29, 22, 9, 10, 1, , 9
2019/10/30, 21, 12, 12, 1, , 
2019/10/31, 22, 15, 12, 1, , 
2019/11/1, 28, 14, 14, 1, , 
2019/11/2, 27, 13, 17, , , 
2019/11/3, 26, 15, 16, 1, , 
2019/11/4, 24, 13, 13, 2, , 9
2019/11/5, 21, 10, 14, 1, , 
2019/11/6, 21, 11, 12, 1, , 
2019/11/7, 22, 10, 12, 3, , 9
2019/11/8, 23, 12, 17, , , 
2019/11/9, 26, 12, 17, , , 
2019/11/10, 26, 10, 16, 2, , 
2019/11/11, 20, 11, 17, 2, , 9
2019/11/12, 22, 12, 15, 1, , 
2019/11/13, 26, 16, 13, 2, , 9
2019/11/14, 30, 6, 11, 1, , 
2019/11/15, 17, 4, 10, , , 
2019/11/16, 13, 6, 10, , , 
2019/11/17, 29, 10, 16, 2, , 9
2019/11/18, 35, 13, 18, 4, , 9
2019/11/19, 48, 17, 17, 6, , 9
2019/11/20, 53, 15, 16, 2, , 9
2019/11/21, 41, 14, 19, 3, , 9
2019/11/22, 37, 16, 19, 4, , 9
2019/11/23, 43, 10, 13, 1, , 9
2019/11/24, 25, 11, 12, 5, , 9
2019/11/25, 42, 14, 16, 8, 1, 9
2019/11/26, 46, 14, 18, 8, , 9
2019/11/27, 47, 12, 16, 3, , 9
2019/11/28, 39, 12, 17, 1, , 
2019/11/29, 26, 11, 19, 3, , 
2019/11/30, 29, 12, 14, 1, , 
