date, pm25, o3, no2, so2, co
2020/1/2, 23, 18, 11, , 2
2020/1/3, 35, 21, 5, , 1
2020/1/4, 16, 25, 4, , 1
2020/1/5, 15, 20, 13, , 2
2020/1/6, 27, 21, 13, , 2
2020/1/7, 24, 24, 9, , 1
2020/1/8, 26, 24, 6, , 1
2020/1/9, 13, 17, 16, , 3
2020/1/10, 46, 19, 10, , 2
2020/1/11, 34, 26, 3, , 1
2020/1/12, 15, 21, 8, , 1
2020/1/13, 35, 19, 8, , 2
2020/1/14, 40, 13, 15, , 2
2020/1/15, 53, 3, 20, , 3
2020/1/16, 53, , , , 
2019/10/1, 40, 15, 3, , 1
2019/10/2, 16, 19, 3, , 1
2019/10/3, 12, 19, 2, , 1
2019/10/4, 15, 20, 4, , 1
2019/10/5, 18, 22, 4, , 1
2019/10/6, 19, 23, 4, , 1
2019/10/7, 23, 20, 6, , 1
2019/10/8, 18, 20, 6, , 1
2019/10/9, 22, 23, 6, , 1
2019/10/10, 25, 26, 5, , 1
2019/10/11, 24, 18, 4, , 1
2019/10/12, 24, 27, 4, , 1
2019/10/13, 22, 19, 6, , 1
2019/10/14, 13, 19, 4, , 1
2019/10/15, 19, 22, 6, , 2
2019/10/16, 21, 24, 2, , 1
2019/10/17, 15, 19, 2, , 1
2019/10/18, 11, 18, 5, , 2
2019/10/19, 20, 19, 5, , 2
2019/10/20, 36, 23, 8, , 2
2019/10/21, 45, 16, 8, , 2
2019/10/22, 37, 22, 5, , 1
2019/10/23, 21, 21, 6, , 2
2019/10/24, 14, 15, 6, , 2
2019/10/25, 13, 21, 4, , 1
2019/10/26, 20, 18, 4, , 1
2019/10/27, 22, 18, 6, , 2
2019/10/28, 18, 28, 6, , 2
2019/10/29, 23, 22, 4, , 1
2019/10/30, 23, 9, 3, , 2
2019/10/31, 13, 20, 2, , 1
2019/11/1, 12, 13, 8, , 3
2019/11/2, 17, 18, 5, , 2
2019/11/3, 25, 17, 10, , 2
2019/11/4, 17, 21, 5, , 1
2019/11/5, 23, 21, 4, , 1
2019/11/6, 14, 23, 4, , 1
2019/11/7, 19, 20, 3, , 1
2019/11/8, 6, 17, 8, , 1
2019/11/9, 18, 19, 6, , 1
2019/11/10, 29, 23, 3, , 1
2019/11/11, 6, 24, 3, , 1
2019/11/12, 5, 22, 7, , 1
2019/11/13, 12, 17, 12, , 2
2019/11/14, 32, 28, 7, , 1
2019/11/15, 42, 24, 7, , 1
2019/11/16, 31, 22, 11, , 2
2019/11/17, 49, 24, 10, , 1
2019/11/18, 36, 21, 13, , 2
2019/11/19, 40, 19, 10, , 2
2019/11/20, 36, 18, 15, , 3
2019/11/21, 45, 25, 5, , 1
2019/11/22, 17, 25, 8, , 1
2019/11/23, 20, 17, 11, , 2
2019/11/24, 46, 15, 14, , 2
2019/11/25, 47, 9, 16, , 3
2019/11/26, 58, 17, 8, , 2
2019/11/27, 38, 23, 3, , 1
2019/11/28, 12, 22, 2, , 1
2019/11/29, 11, 26, 3, , 1
2019/11/30, 11, 25, 5, , 1
2019/12/1, 17, 29, 4, , 1
2019/12/2, 16, 23, 8, , 2
2019/12/3, 16, 5, 20, , 3
2019/12/4, 57, 19, 6, , 1
2019/12/5, 28, 24, 5, , 1
2019/12/6, 14, 24, 8, , 2
2019/12/7, 21, 21, 14, , 2
2019/12/8, 28, 19, 12, , 2
2019/12/9, 43, 23, 4, , 1
2019/12/10, 23, 27, 6, , 1
2019/12/11, 21, 24, 7, , 1
2019/12/12, 23, 20, 12, , 2
2019/12/13, 35, 13, 6, , 2
2019/12/14, 33, 29, 2, , 1
2019/12/15, 15, 25, 14, , 2
2019/12/16, 18, 11, 19, , 3
2019/12/17, 41, 21, 8, , 1
2019/12/18, 29, 22, 5, , 1
2019/12/19, 17, 25, 7, , 1
2019/12/20, 19, 17, 12, , 2
2019/12/21, 50, 13, 16, , 3
2019/12/22, 88, 19, 11, , 2
2019/12/23, 63, 23, 4, , 1
2019/12/24, 22, 24, 4, , 1
2019/12/25, 27, 23, 4, , 1
2019/12/26, 20, 16, 9, , 2
2019/12/27, 46, 20, 5, , 1
2019/12/28, 15, , , , 
2019/7/1, 20, 30, 2, , 2
2019/7/2, 38, 30, 4, , 2
2019/7/3, 57, 34, 6, , 2
2019/7/4, 55, 30, 6, , 2
2019/7/5, 53, 29, 1, , 2
2019/7/6, 42, 24, 1, , 1
2019/7/7, 15, 27, 2, , 1
2019/7/8, 25, 22, 4, , 1
2019/7/9, 32, 36, 4, , 1
2019/7/10, 37, 34, 6, , 2
2019/7/11, 48, 24, 3, , 2
2019/7/12, 39, 34, 3, , 2
2019/7/13, 28, 20, 1, , 1
2019/7/14, 10, 22, 2, , 1
2019/7/15, 15, 29, 3, , 1
2019/7/16, 26, 26, 2, , 1
2019/7/17, 29, 33, 2, , 1
2019/7/18, 31, 32, 4, , 1
2019/7/19, 107, 32, 2, , 1
2019/7/24, 26, 24, 4, , 1
2019/7/25, 29, 34, 4, , 2
2019/7/26, 43, 43, 3, , 2
2019/7/27, 49, 40, 2, , 2
2019/7/28, 36, 38, 3, , 2
2019/7/29, 34, 34, 3, , 2
2019/7/30, 37, 20, 2, , 1
2019/7/31, 15, 28, 2, , 1
2019/8/1, 13, 29, 4, , 1
2019/8/2, 23, 25, 1, , 1
2019/8/3, 25, 22, 1, , 1
2019/8/4, 18, 31, 2, , 1
2019/8/5, 17, 33, 5, , 2
2019/8/6, 29, 24, 5, , 2
2019/8/7, 29, 27, 5, , 1
2019/8/8, 21, 17, 3, , 1
2019/8/9, 12, 13, 1, , 1
2019/8/10, 11, 17, 2, , 1
2019/8/11, 13, 23, 4, , 2
2019/8/12, 21, 18, 3, , 1
2019/8/13, 25, 15, 2, , 1
2019/8/14, 8, 22, 3, , 1
2019/8/15, 15, 31, 5, , 1
2019/8/16, 21, 26, 5, , 2
2019/8/17, 35, 27, 5, , 2
2019/8/18, 27, 29, 5, , 2
2019/8/19, 24, 29, 6, , 1
2019/8/20, 14, 33, 4, , 2
2019/8/21, 23, 27, 2, , 1
2019/8/22, 26, 16, 1, , 1
2019/8/23, 12, 18, 1, , 1
2019/8/24, 12, 13, 3, , 2
2019/8/25, 26, 30, 3, , 2
2019/8/26, 30, 31, 4, , 2
2019/8/27, 27, 20, 3, , 2
2019/8/28, 28, 21, 3, , 1
2019/8/29, 21, 26, 2, , 1
2019/8/30, 13, 18, 1, , 1
2019/8/31, 13, 21, 2, , 2
2019/9/1, 20, 25, 1, , 1
2019/9/2, 21, 21, 2, , 1
2019/9/3, 13, 20, 2, , 2
2019/9/4, 26, 22, 3, , 1
2019/9/5, 18, 21, 3, , 1
2019/9/6, 20, 17, 1, , 1
2019/9/7, 15, 14, , , 1
2019/9/8, 13, 19, 1, , 1
2019/9/9, 15, 13, 4, , 1
2019/9/10, 22, 19, 4, , 2
2019/9/11, 35, 19, 1, , 1
2019/9/12, 8, 21, 3, , 1
2019/9/13, 13, 22, 1, , 1
2019/9/14, 19, 21, 1, , 1
2019/9/15, 11, 22, 4, , 2
2019/9/16, 12, 21, 3, , 1
2019/9/17, 15, 25, 5, , 1
2019/9/18, 23, 24, 6, , 2
2019/9/19, 24, 33, 7, , 2
2019/9/20, 26, 41, 4, , 2
2019/9/21, 39, 40, 3, , 2
2019/9/22, 36, 35, 3, , 1
2019/9/23, 28, 12, 1, , 1
2019/9/24, 10, 29, 3, , 1
2019/9/25, 15, 30, 3, , 1
2019/9/26, 21, 25, 4, , 1
2019/9/27, 12, 19, 3, , 1
2019/9/28, 18, 19, 1, 1, 1
2019/9/29, 13, 19, 3, , 1
2019/9/30, 16, 13, 5, , 2
2019/4/1, 14, 36, 8, , 2
2019/4/2, 28, 36, 5, , 2
2019/4/3, 27, 32, 2, , 1
2019/4/4, 15, 30, 11, , 2
2019/4/5, 28, 31, 7, , 2
2019/4/6, 28, 29, 10, , 2
2019/4/7, 32, 33, 4, , 2
2019/4/8, 20, 28, 5, , 2
2019/4/9, 19, 31, 3, , 1
2019/4/10, 16, 29, 5, , 1
2019/4/11, 14, 30, 7, , 2
2019/4/12, 34, 40, 7, , 2
2019/4/13, 30, 29, 4, , 1
2019/4/14, 14, 31, 4, , 1
2019/4/15, 11, 31, 4, , 1
2019/4/16, 11, 38, 9, , 2
2019/4/17, 11, 31, 8, , 2
2019/4/18, 28, 30, 3, , 2
2019/4/19, 22, 35, 3, , 1
2019/4/20, 16, 27, 3, , 2
2019/4/21, 25, 30, 4, , 2
2019/4/22, 18, 32, 4, , 2
2019/4/23, 19, 24, 2, , 2
2019/4/24, 15, 33, 4, , 1
2019/4/25, 17, 24, 4, , 2
2019/4/26, 19, 24, 2, , 1
2019/4/27, 15, 33, 1, , 1
2019/4/28, 15, 33, 4, , 1
2019/4/29, 13, 34, 2, , 1
2019/4/30, 17, 34, 4, , 1
2019/5/1, 24, 35, 4, , 1
2019/5/2, 20, 24, 6, , 2
