date, pm25, pm10, o3, so2, co
2019/4/1, 21, 14, , 1, 5
2019/4/4, 5, 12, , , 4
2019/4/7, 53, 22, 8, , 5
2019/4/11, 31, 7, , , 4
2019/4/13, 42, 7, , , 3
2019/4/15, 10, 7, , , 4
2019/4/17, 51, 33, , , 5
2019/4/21, 38, 7, 11, , 4
2019/4/22, 30, 12, , , 4
2019/4/28, 39, 8, , , 3
2019/4/30, 36, 15, , , 5
2019/5/1, 42, 15, , , 4
2019/5/2, 70, 17, , , 6
2019/5/3, 60, 15, 12, , 6
2019/5/4, 57, 15, , , 5
2019/5/5, 97, 21, , , 5
2019/5/7, 77, 17, , , 5
2019/5/9, 21, 14, , , 5
2019/5/12, 82, 23, , , 6
2019/5/14, 98, 21, , , 6
2019/5/18, 6, 9, , , 5
2019/5/19, 60, 6, , , 5
2019/5/20, 1, 10, , , 5
2019/5/23, 7, 16, , , 6
2019/5/25, 28, 16, , , 6
2019/5/26, 20, 10, , , 6
2019/5/27, 28, 9, , , 6
2019/5/30, 22, 6, 4, , 7
2019/6/1, 30, 8, , , 6
2019/6/3, 43, 15, , , 6
2019/6/4, 92, 13, , , 7
2019/6/5, 69, 25, 32, , 6
2019/6/6, 63, 7, , , 5
2019/6/9, 80, 12, , , 5
2019/6/10, 76, 16, , , 6
2019/6/11, 57, 18, , , 6
2019/6/12, 52, 14, , , 6
2019/6/13, 54, 15, , , 6
2019/6/14, 45, 14, , , 6
2019/6/15, 65, 13, , , 8
2019/6/17, 62, 15, , , 6
2019/6/19, 54, 12, , , 5
2019/6/22, 53, 9, , , 5
2019/6/26, 71, 14, , , 6
2019/6/27, 68, 17, , , 7
2019/6/29, 98, 21, , , 6
2019/6/30, 102, 19, , , 7
2019/2/2, 77, 12, , 1, 5
2019/2/4, 8, 7, , 1, 5
2019/2/9, 21, 14, , 1, 3
2019/2/16, 30, 5, , 1, 6
2019/2/17, 12, 3, , 1, 5
2019/2/23, 29, 5, , 1, 5
2019/2/24, 24, 3, , 1, 4
2019/2/27, 20, 15, , 1, 7
2019/3/2, 59, 13, , 1, 6
2019/3/3, 65, 9, , 1, 5
2019/3/7, 50, 6, , 1, 5
2019/3/14, 60, 12, , , 5
2019/3/16, 48, 17, , 1, 7
2019/3/20, 71, 28, , 1, 4
2019/3/22, 97, 28, , 1, 5
2019/3/24, 72, 6, , 1, 3
2019/3/27, 10, 12, , 1, 4
2018/2/4, 26, 23, 27, , 11
2018/2/5, 16, 15, 29, , 9
2018/2/6, 21, 20, 27, , 10
2018/2/7, 24, 25, 17, , 
2018/2/8, 19, 33, 30, , 
2018/2/9, 25, 23, , , 
2020/1/2, , 14, , 2, 7
2020/1/3, , 26, , 1, 4
2020/1/4, , 11, , , 5
2020/1/5, , 10, , 1, 5
2020/1/6, , 6, , 1, 6
2020/1/7, , 14, , 1, 5
2020/1/8, , 12, , , 4
2020/1/9, , 9, , , 4
2020/1/10, , 13, , , 5
2020/1/11, , 6, , , 4
2020/1/12, , 5, , , 4
2020/1/13, , 7, , 1, 5
2020/1/14, , 8, , , 4
2020/1/15, , 7, , , 3
2020/1/16, , 8, , , 
2019/10/1, , 13, , 1, 2
2019/10/2, , 14, , , 3
2019/10/3, , 21, , 1, 3
2019/10/4, , 12, , 1, 3
2019/10/5, , 10, , , 3
2019/10/6, , 12, , 1, 4
2019/10/7, , 22, , 1, 4
2019/10/8, , 18, , , 2
2019/10/9, , 10, , 1, 3
2019/10/10, , 15, , 1, 3
2019/10/11, , 21, , 1, 4
2019/10/12, , 25, , 1, 4
2019/10/13, , 28, , 1, 4
2019/10/14, , 30, , 1, 6
2019/10/15, , 29, , 2, 6
2019/10/16, , 42, , 1, 3
2019/10/17, , 19, , 1, 4
2019/10/18, , 15, , , 2
2019/10/19, , 9, , , 2
2019/10/20, , 6, , 1, 4
2019/10/21, , 14, , 1, 5
2019/10/22, , 15, , , 3
2019/10/23, , 12, , 1, 4
2019/10/24, , 20, , 1, 6
2019/10/25, , 29, , 1, 4
2019/10/26, , 19, , , 2
2019/10/27, , 9, , , 3
2019/10/28, , 14, , 1, 2
