date, pm25, pm10, o3, no2
2020/1/2, 20, 7, , 5
2020/1/3, 18, 6, , 6
2020/1/4, 16, 4, , 2
2020/1/5, 12, 9, , 3
2020/1/6, 25, 11, , 5
2020/1/7, 30, 19, , 8
2020/1/8, 48, 8, , 7
2020/1/9, 22, 7, , 11
2020/1/10, 25, 8, , 2
2020/1/11, 21, 4, , 2
2020/1/12, 10, 6, , 5
2020/1/13, 16, 9, , 3
2020/1/14, 21, 6, , 5
2020/1/15, 12, 12, , 6
2020/1/16, 26, , , 
2019/10/1, 15, 7, , 3
2019/10/2, 16, 11, , 8
2019/10/3, 31, 14, , 7
2019/10/4, 35, 10, , 5
2019/10/5, 32, 7, , 5
2019/10/6, 14, 7, , 1
2019/10/7, 17, 13, , 3
2019/10/8, 30, 7, , 3
2019/10/9, 15, 10, , 3
2019/10/10, 22, 5, , 3
2019/10/11, 12, 6, , 5
2019/10/12, 13, 5, , 3
2019/10/13, 10, 6, , 8
2019/10/14, 15, 8, , 7
2019/10/15, 19, 8, , 6
2019/10/16, 18, 8, , 8
2019/10/17, 19, 9, , 3
2019/10/18, 18, 7, , 4
2019/10/19, 16, 9, , 5
2019/10/20, 29, 8, , 7
2019/10/21, 20, 12, , 11
2019/10/22, 35, 17, , 12
2019/10/23, 51, 17, , 8
2019/10/24, 48, 7, , 4
2019/10/25, 15, 7, , 4
2019/10/26, 19, 7, , 5
2019/10/27, 19, 12, , 9
2019/10/28, 39, 8, , 7
2019/10/29, 20, 12, , 8
2019/10/30, 37, 29, , 13
2019/10/31, 76, 9, , 6
2019/11/1, 25, 7, , 2
2019/11/2, 15, 12, , 5
2019/11/3, 32, 12, , 9
2019/11/4, 30, 12, , 7
2019/11/5, 39, 18, , 12
2019/11/6, 56, 7, , 8
2019/11/7, 22, 10, , 10
2019/11/8, 31, 12, , 13
2019/11/9, 45, 11, , 6
2019/11/10, 32, 9, , 4
2019/11/11, 24, 5, , 2
2019/11/12, 14, 7, , 11
2019/11/13, 20, 6, , 9
2019/11/14, 19, 10, , 7
2019/11/15, 35, 15, , 11
2019/11/16, 51, 17, , 11
2019/11/17, 57, 8, , 12
2019/11/18, 25, 16, , 17
2019/11/19, 53, 10, , 10
2019/11/20, 31, 20, , 12
2019/11/21, 65, 10, , 11
2019/11/22, 29, 12, , 8
2019/11/23, 43, 17, , 10
2019/11/24, 53, 6, , 7
2019/11/25, 16, 8, , 5
2019/11/26, 19, 8, , 9
2019/11/27, 22, 8, , 7
2019/11/28, 24, 11, , 15
2019/11/29, 34, 12, , 15
2019/11/30, 45, 8, , 10
2019/12/1, 29, 15, , 15
2019/12/2, 50, 12, , 19
2019/12/3, 41, 19, , 19
2019/12/4, 63, 15, , 9
2019/12/5, 47, 3, , 3
2019/12/6, 8, 6, , 3
2019/12/7, 15, 10, , 1
2019/12/8, 25, 9, , 7
2019/12/9, 21, 7, , 7
2019/12/10, 20, 8, , 8
2019/12/11, 20, 5, , 7
2019/12/12, 13, 8, , 3
2019/12/13, 20, 6, , 3
2019/12/14, 16, 6, , 2
2019/12/15, 14, 8, , 13
2019/12/16, 22, 12, , 15
2019/12/17, 45, 8, , 8
2019/12/18, 25, 9, , 6
2019/12/19, 23, 4, , 8
2019/12/20, 12, 6, , 6
2019/12/21, 17, 6, , 4
2019/12/22, 16, 9, , 6
2019/12/23, 22, 12, , 3
2019/12/24, 32, 8, , 5
2019/12/25, 23, 8, , 5
2019/12/26, 26, 11, , 7
2019/12/27, 41, 10, , 7
2019/12/28, 36, , , 
2019/7/16, 20, 13, , 8
2019/7/17, 36, 7, , 6
2019/7/18, 17, 10, , 4
2019/7/19, 22, 11, , 6
2019/7/20, 19, 6, , 2
2019/7/21, 13, 8, , 2
2019/7/22, 19, 14, , 4
2019/7/23, 30, 14, , 6
2019/7/24, 34, 19, , 6
2019/7/25, 39, 9, , 8
2019/7/26, 22, 8, , 5
2019/7/27, 18, 8, , 
2019/7/28, 14, 7, , 
2019/7/29, 15, 9, , 3
2019/7/30, 20, 8, , 4
2019/7/31, 19, 8, , 3
2019/8/1, 23, 11, , 4
2019/8/2, 30, 12, , 4
2019/8/3, 33, 11, , 7
2019/8/4, 30, 10, , 6
2019/8/5, 22, 14, , 3
2019/8/6, 22, 7, , 3
2019/8/7, 13, 7, , 3
2019/8/8, 17, 9, , 3
2019/8/9, 23, 12, , 2
2019/8/10, 25, 8, , 1
2019/8/11, 18, 8, , 1
2019/8/12, 16, 5, , 4
2019/8/13, 12, 6, , 4
2019/8/14, 14, 7, , 4
2019/8/15, 15, 6, , 3
2019/8/16, 14, 10, , 3
2019/8/17, 19, 8, , 2
2019/8/18, 19, 9, , 1
2019/8/19, 20, 9, , 2
2019/8/20, 23, 11, , 3
2019/8/21, 27, 9, , 4
2019/8/22, 23, 9, , 3
2019/8/23, 21, 14, , 6
2019/8/24, 35, 16, , 10
2019/8/25, 43, 18, , 7
2019/8/26, 52, 20, , 7
2019/8/27, 53, 7, , 7
2019/8/28, 19, 7, , 3
2019/8/29, 16, 8, , 3
2019/8/30, 21, , , 3
2019/9/1, 15, 7, , 1
2019/9/2, 16, 7, , 3
2019/9/3, 16, 6, , 3
2019/9/4, 12, 9, , 2
2019/9/5, 18, 8, , 6
2019/9/6, 19, 7, , 5
2019/9/7, 19, 7, , 6
2019/9/8, 18, 8, , 8
2019/9/9, 25, 9, , 7
2019/9/10, 27, 6, , 6
2019/9/11, 15, 7, , 3
2019/9/12, 19, 9, , 4
2019/9/13, 16, 11, , 7
2019/9/14, 28, 9, , 12
2019/9/15, 27, 10, , 5
2019/9/16, 31, 11, , 5
2019/9/17, 22, 14, , 5
2019/9/18, 28, 13, , 10
2019/9/19, 30, 14, , 12
2019/9/20, 29, 16, , 10
2019/9/21, 34, 11, , 10
2019/9/22, 30, 6, , 6
2019/9/23, 13, 6, , 3
2019/9/24, 12, 5, , 3
2019/9/25, 9, 7, , 3
2019/9/26, 14, 10, , 2
2019/9/27, 22, 6, , 2
2019/9/28, 13, 4, , 2
2019/9/29, 7, 6, , 1
2019/9/30, 14, 7, , 4
2019/4/1, 43, 16, , 8
2019/4/2, 34, 13, , 7
2019/4/3, 35, 10, , 3
2019/4/4, 29, 14, , 4
2019/4/5, 34, 17, , 2
2019/4/6, 46, 41, , 3
2019/4/7, 108, 47, , 6
2019/4/8, 116, 34, , 4
2019/4/9, 76, 20, 30, 1
2019/4/10, 37, 19, 33, 5
2019/4/11, 38, 21, 30, 5
2019/4/12, 53, 19, 31, 3
2019/4/13, 51, 20, 36, 2
2019/4/14, 54, 39, 36, 5
2019/4/15, 88, 56, 8, 12
2019/4/16, 137, 49, , 9
2019/4/17, 106, 50, , 9
2019/4/18, 114, 43, , 6
2019/4/19, 84, 43, , 9
2019/4/20, 83, 37, 63, 8
