date, pm25, pm10
2017/8/8, 313, 33
2017/1/2, 88, 35
2017/1/5, 150, 29
2017/1/10, 62, 32
2017/1/12, 71, 42
2017/1/15, 90, 27
2017/1/16, 75, 30
2017/1/17, 68, 33
2017/1/18, 108, 38
2017/1/19, 76, 27
2017/1/20, 58, 32
2017/1/21, 108, 33
2017/1/22, 76, 58
2017/1/24, 68, 31
2017/1/25, 84, 37
2017/1/26, 108, 42
2017/1/31, 69, 42
2017/2/7, 92, 61
2017/2/9, 107, 51
2017/2/10, 78, 48
2017/2/12, 20, 42
2017/2/13, 65, 41
2017/2/14, 91, 28
2017/2/16, 81, 41
2017/2/17, 6, 41
2020/1/2, , 31
2020/1/3, , 26
2020/1/4, , 22
2020/1/5, , 34
2020/1/6, , 29
2020/1/7, , 30
2020/1/8, , 34
2020/1/9, , 40
2020/1/10, , 26
2020/1/11, , 20
2020/1/12, , 34
2020/1/16, , 27
2019/10/1, , 93
2019/10/2, , 295
2019/10/5, , 140
2019/10/6, , 144
2019/10/7, , 70
2019/10/8, , 80
2019/10/9, , 98
2019/10/10, , 506
2019/10/13, , 61
2019/10/14, , 325
2019/10/15, , 407
2019/10/16, , 187
2019/10/17, , 126
2019/10/19, , 41
2019/11/6, , 68
2019/11/7, , 73
2019/11/8, , 131
2019/11/9, , 144
2019/11/10, , 94
2019/11/11, , 110
2019/11/12, , 172
2019/11/13, , 291
2019/11/14, , 67
2019/11/15, , 30
2019/11/16, , 50
2019/11/17, , 56
2019/11/18, , 58
2019/11/19, , 56
2019/11/20, , 37
2019/11/21, , 32
2019/11/22, , 38
2019/11/23, , 32
2019/11/24, , 33
2019/11/25, , 36
2019/11/26, , 32
2019/11/27, , 39
2019/11/28, , 36
2019/11/29, , 29
2019/11/30, , 42
2019/12/1, , 44
2019/12/2, , 36
2019/12/3, , 26
2019/12/4, , 33
2019/12/5, , 35
2019/12/6, , 46
2019/12/7, , 34
2019/12/8, , 22
2019/12/9, , 37
2019/12/10, , 26
2019/12/11, , 44
2019/12/12, , 28
2019/12/13, , 37
2019/12/14, , 36
